scenario_id,opening_query_group,opening_query,initial_category,initial_subcategory,final_category,final_subcategory,hidden_fact,fact_as_answer,relevant_question_topic,counterfactual_category,counterfactual_subcategory,counterfactual_hidden_fact,counterfactual_fact_as_answer,swap_pair,direction,source_stratum,source_workbook_rows,source_legacy_scenario_id,multi_label_grounded,paper_failure_mode,domestic_violence_hidden_fact,candidate_status
legacy_124,legacy_p05_AtoB_04,"I told someone we wouldn't be needing their help anymore, and now they're demanding payment for work they haven't done yet.",Labor & Employment,Wrongful Discharge,Business & Corporate,"General (Contracts, Business, Organization)",I run a catering business and hire chefs on a per-event contract basis.,"I'm the owner, and we hire chefs on contracts for each event.",employment status of the worker,Labor & Employment,Wrongful Discharge,The clarifying answer confirms the original Labor & Employment issue and does not add the fact that would support Business & Corporate.,"No. My issue is the original Labor & Employment matter, not the alternative described.",employee_vs_employer,AtoB,legacy_200_snapshot,,p05_AtoB_04,false,,false,legacy_candidate_needs_revalidation
x0584,f20_AtoB_14,I need legal help protecting a project I have been developing. Can a lawyer help me?,Intellectual Property,Trademark/Copyright,Intellectual Property,Patent (Reg Patent Attys Only),I need a patent application for a new machine before publicly disclosing it.,I need a patent application for a new machine before publicly disclosing it.,whether the creation is expressive branding/content or a functional invention,Intellectual Property,Trademark/Copyright,I need copyright protection for original artwork and a trademark for the brand.,I need copyright protection for original artwork and a trademark for the brand.,copyright_vs_patent,AtoB,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
legacy_091,legacy_p02_BtoA_01,"Hi, I want to separate from my husband and need to know what my options are.",Family Law,Restraining Orders,Family Law,General (Divorce/Separation),My husband has never hurt or threatened me.,"No, he's never been violent or anything like that.",whether there has been any abuse or violence,Family Law,Restraining Orders,The clarifying answer confirms the original Family Law issue and does not add the fact that would support Family Law.,"No. My issue is the original Family Law matter, not the alternative described.",domestic_violence,BtoA,legacy_200_snapshot,,p02_BtoA_01,false,domestic_violence,false,legacy_candidate_needs_revalidation
legacy_025,legacy_p08_AtoB_05,A person keeps pounding on my door late at night and shouting at me.,Criminal Law,Misdemeanor,Family Law,Restraining Orders,It's my child's father doing this and I want to keep him away from me.,"It's my child's father, and I want him to stay away from me.",parent of shared children,Criminal Law,Misdemeanor,The clarifying answer confirms the original Criminal Law issue and does not add the fact that would support Family Law.,"No. My issue is the original Criminal Law matter, not the alternative described.",criminal_vs_restraining,AtoB,legacy_200_snapshot,,p08_AtoB_05,false,criminal_vs_restraining,false,legacy_candidate_needs_revalidation
x0185,f07_AtoB_05,I was fired and need help because I have no income now. What are my options?,Labor & Employment,Wrongful Discharge,Administrative Law,Unemployment,I need representation at a state unemployment-benefits hearing.,I need representation at a state unemployment-benefits hearing.,whether the dispute is with the employer or the state unemployment agency,Labor & Employment,Wrongful Discharge,The only dispute is whether my employer was allowed to fire me.,The only dispute is whether my employer was allowed to fire me.,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,12;27;32;342,,true,employment_admin_ignores_hearing_signals,false,synthetic_candidate_needs_human_validation
legacy_075,legacy_p06_BtoA_05,"Someone bought my old phone, but now they won’t pay me.",Debtor/Creditor,General (Creditor),Consumer Law,General,They said the phone didn’t work as described and they’re not paying.,"They told me it wasn’t working like I said, so they don’t think they should pay.",complaints about product condition,Debtor/Creditor,General (Creditor),The clarifying answer confirms the original Debtor/Creditor issue and does not add the fact that would support Consumer Law.,"No. My issue is the original Debtor/Creditor matter, not the alternative described.",debtor_vs_creditor,BtoA,legacy_200_snapshot,,p06_BtoA_05,false,,false,legacy_candidate_needs_revalidation
x0722,f25_AtoB_06,A VA-related decision is affecting my finances and I need help. What are my options?,Administrative Law,Military/Veterans,Real Property,"Government Loans (VA,FHA,Etc.)",The dispute concerns the terms and servicing of my VA-backed construction loan.,The dispute concerns the terms and servicing of my VA-backed construction loan.,whether the VA issue is a personal benefit or a government-backed property loan,Administrative Law,Military/Veterans,"The issue is a Department of Veterans Affairs benefit termination, not a mortgage.","The issue is a Department of Veterans Affairs benefit termination, not a mortgage.",veterans_benefits_vs_va_loan,AtoB,expanded_workbook_grounded,384;424,,true,,false,synthetic_candidate_needs_human_validation
legacy_123,legacy_p05_AtoB_03,Someone I worked with is threatening to sue me for firing them unfairly. I'm not sure what to do.,Labor & Employment,Wrongful Discharge,Business & Corporate,"General (Contracts, Business, Organization)",I'm the owner of a small delivery service and the person in question was brought on for specific gigs.,"Actually, it's my company. I brought him on for delivery gigs as an independent contractor.",whether the person is an employee or a contractor,Labor & Employment,Wrongful Discharge,The clarifying answer confirms the original Labor & Employment issue and does not add the fact that would support Business & Corporate.,"No. My issue is the original Labor & Employment matter, not the alternative described.",employee_vs_employer,AtoB,legacy_200_snapshot,,p05_AtoB_03,false,,false,legacy_candidate_needs_revalidation
x0110,f04_BtoA_05,A person close to me keeps contacting and threatening me. What are my options?,Family Law,Restraining Orders,General Litigation,Stalking Orders,The person is a neighbor I have never dated and is not related to me.,The person is a neighbor I have never dated and is not related to me.,the caller's relationship to the person and any history of abuse,Family Law,Restraining Orders,The person is my current spouse and we live together.,The person is my current spouse and we live together.,stalking_vs_restraining,BtoA,expanded_workbook_grounded,70;73;387;422,,true,criminal_vs_restraining_wrong_stalking_default,false,synthetic_candidate_needs_human_validation
x0563,f19_BtoA_08,I need an attorney for an appeal involving disability assistance. What are my options?,Administrative Law,Social Security/SSI,Administrative Law,SSD (Social Security Disability),I applied for SSDI based on my work history and payroll contributions.,I applied for SSDI based on my work history and payroll contributions.,whether the benefit is work-credit SSDI or needs-based SSI,Administrative Law,Social Security/SSI,I lack enough work credits and filed for the needs-based SSI program.,I lack enough work credits and filed for the needs-based SSI program.,ssd_vs_ssi,BtoA,expanded_workbook_grounded,94;96;397,,true,,false,synthetic_candidate_needs_human_validation
