priority_tier,priority_score,row_number,problem_description,current_ai_primary,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,internal_priority_reason,recommended_human_action,original_rank1_pattern,priority_signals,audit_justification
P1 - human decision essential,131,27,Possible wrongful termination and/or discrimination,Labor & Employment / Wrongful Discharge,uncertain,uncertain,yes,uncertain,Labor & Employment / Wrongful Discharge,Labor & Employment / Discrimination,"The text merely says wrongful termination and/or discrimination, with no facts supporting either theory.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,primary assessment uncertain; multi-label decision uncertain; original rank-1 disagreement; repeated multi-label signal; very sparse description,"With only a bare statement (“Possible wrongful termination and/or discrimination”), it’s unclear whether one or both are truly supported; both are plausible, but details are insufficient for high confidence."
P1 - human decision essential,121,325,Possible wrongful termination and/or discrimination,Labor & Employment / Wrongful Discharge,uncertain,uncertain,yes,uncertain,Labor & Employment / Wrongful Discharge,Labor & Employment / Discrimination,"The text contains only two possible labels and no supporting facts, so neither can be validated confidently.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,primary assessment uncertain; multi-label decision uncertain; repeated multi-label signal; very sparse description,The text asserts both wrongful termination and discrimination but lacks detail to confidently pick one primary; current primary could fit but is not clearly supported over discrimination.
P1 - human decision essential,121,419,Divorce. Eviction. Criminal Case.,Family Law / General (Divorce/Separation),uncertain,uncertain,yes,uncertain,Family Law / General (Divorce/Separation),Real Property / Tenant (Residential),"The row lists divorce, eviction, and a criminal case with no facts; both prioritization and the two-label cap require human input.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,primary assessment uncertain; multi-label decision uncertain; repeated multi-label signal; very sparse description,"The description lists three topics (divorce, eviction, criminal case) with no facts. Divorce is supported only by the word itself, and eviction is separately requested, so two labels may be appropriate, but the lack of details makes both fit and the need for multi-label classification uncertain."
P1 - human decision essential,117,17,administrative law dmv licensure,Administrative Law / DMV (Non-Criminal),uncertain,uncertain,yes,uncertain,Administrative Law / DMV (Non-Criminal),,The description is only 'administrative law dmv licensure'; there is not enough factual detail to validate the subcategory.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,primary assessment uncertain; multi-label decision uncertain; very sparse description,"DMV administrative licensing is the best fit given the minimal text, but the lack of detail makes support uncertain."
P1 - human decision essential,105,299,I am an inventor with an invention that I need to patent. The courts are interfering with my ability to create a prototype and have a patent made for reasons that have never been explained to me. I need an attorney too prevent the courts from interfering with my livelihood as an inventor.,Intellectual Property / Patent (Reg Patent Attys Only),uncertain,uncertain,yes,uncertain,Intellectual Property / Patent (Reg Patent Attys Only),General Litigation / General Litigation,"Patent work is explicit, but the alleged court interference is unspecified; the need for a second litigation label is unclear.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,primary assessment uncertain; multi-label decision uncertain,"Patent help is requested, but the dominant issue may be an unspecified court matter; without details, it is unclear whether a second litigation label is truly supported."
P1 - human decision essential,99,213,"My husband was on Alderstone Life disability short term to long-term. They gave us overpayments and now want us to repay over $4000 to them. We were receiving barely anything to live off of from them and now they want us to pay it all back. They sent us to collections without talking to us. I’ve requested multiple times for them to send us all the information and we never received stuff in the mail but just received another collections letter. We could’ve received food stamps, and Oregon health plan if they paid us the right amount, qualifying for other programs also.",Debtor/Creditor / General (Debtor),needs_change,needs_change,no,one_label_sufficient,Labor & Employment / Pensions/Benefits/Erisa,,"Disability-benefit overpayment and collections could fit ERISA/benefits, disability insurance, or debtor/collection categories.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,all three differ,existing primary absent from audit set; three-way original disagreement; repeated multi-label signal,"Current 'General (Debtor)' is not the best fit because the conflict is with a disability benefits plan/insurer over overpayment and collections, aligning more with benefits/ERISA-type disputes."
P1 - human decision essential,97,28,I was injured at work on 6/25/23. Was on worker’s compensation for about 6 months. Broke my hip and l4 & l5 on a slip and fall at Hawthorn Market’s distribution center while working in the freezer. Wondering what my options are for my personal injury.,Workers' Comp / Third Party litigation,needs_change,needs_change,no,two_labels_supported,Workers' Comp / State,General Litigation / Personal Injury,"The audit rejected Third Party litigation because no third party is identified, but the original passes split on the workers-comp subtype.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; two labels proposed; original rank-1 disagreement; repeated multi-label signal,Current label (Workers’ Comp Third Party litigation) is not supported because no third party (someone other than employer/coworker) is identified. Workers’ comp is clearly present; a separate PI inquiry is explicitly requested.
P1 - human decision essential,97,252,"I need help in processing a divorce or an annulment. My husband and I got married 5/29/2023, in California. I have been living in Portland, since 12/22/2023. He enlisted in the Navy and was in training for several months, in Boston. He says he is in California, now, but I’m not sure if he’s telling the truth. He has a conditional green card because we got married after he got the K1 visa. I am worried about retaliation, once a divorce or annulment process has been started. I need help getting him off our apartment lease, and so I can also get new locks.",Family Law / General (Divorce/Separation),needs_change,needs_change,no,two_labels_supported,Family Law / Military,Real Property / Tenant (Residential),The audit omitted the explicit divorce request and substituted Military plus Tenant; the two-label limit likely distorted the result.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; two labels proposed; original rank-1 disagreement; repeated multi-label signal,"Current label (Family Law / General (Divorce/Separation)) is partly supported by the divorce request, but the spouse’s Navy status makes Family Law / Military a better fit under the taxonomy. A distinct additional issue is removal from a residential lease/locks, supporting a second label."
P1 - human decision essential,97,384,"A specific real estate property situation in which we are deciding if it would be more beneficial to transfer ownership a property or put it in a trust. Must be experienced with disabled veterans (for questions related to property taxes and VA construction loan.) Questions would be about property transfer, trusts, tax liability, and possibly the terms of a VA construction loan.",Wills & Trusts / Living Trusts,needs_change,needs_change,no,two_labels_supported,"Wills & Trusts / General (Wills, Trusts, Estates)","Real Property / Government Loans (VA,FHA,Etc.)","Trust/ownership transfer, VA loan, disability-veteran considerations, and tax liability exceed the two-label limit.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; two labels proposed; original rank-1 disagreement; repeated multi-label signal,"This is not specifically about creating a living trust; it’s broader trust/ownership transfer planning, plus a distinct VA construction loan component."
P1 - human decision essential,95,128,we need an attorney who will complete the foreclosure on a business. We have filed the notice of liens and neither party answered. We sold my husbands business in 2016 on a sales contract. the other party has not made any payments in 2021 so we filed for foreclosure on the security in the sales contract.,Business & Corporate / Litigation,needs_change,needs_change,no,one_label_sufficient,Debtor/Creditor / General (Creditor),,"Foreclosure of business-sale collateral could route as creditor collection, sale-of-business litigation, or real-property foreclosure.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,all three differ,existing primary absent from audit set; three-way original disagreement,"This is primarily a creditor remedy/collection via foreclosure of collateral after nonpayment, not a corporate litigation dispute between two businesses as entities needing business-litigation counsel."
