group,observations,scenarios,initial_expected_category_present_pct,initial_expected_exact_present_pct,initial_any_plausible_exact_present_pct,question_match_coverage_pct,final_expected_category_present_among_matched_pct,final_expected_exact_present_among_matched_pct,expected_final_category_present_initially_pct,expected_final_exact_present_initially_pct,expected_final_category_newly_added_pct_of_matched,expected_final_exact_newly_added_pct_of_matched,expected_final_exact_added_count,expected_final_exact_lost_count,provider_error_count
benefit_agency,24,8,100.0,83.33,87.5,79.17,100.0,100.0,62.5,50.0,33.33,40.0,6,0,0
business_entity_specifics,18,6,83.33,77.78,83.33,88.89,92.31,92.31,72.22,72.22,30.77,30.77,4,1,0
capacity_and_protection,18,6,100.0,94.44,94.44,77.78,100.0,100.0,66.67,50.0,10.0,40.0,4,0,0
charge_severity,27,9,96.3,81.48,88.89,96.3,100.0,73.68,96.3,70.37,0.0,15.79,3,2,0
consumer_service_route,15,5,80.0,80.0,100.0,80.0,100.0,100.0,46.67,26.67,40.0,60.0,6,0,0
creditor_judgment_bankruptcy,18,6,94.44,94.44,94.44,72.22,100.0,100.0,16.67,16.67,88.89,88.89,8,0,0
criminal_posture,18,6,100.0,77.78,100.0,44.44,100.0,100.0,100.0,44.44,0.0,33.33,2,0,0
custody_safety,24,8,100.0,100.0,100.0,66.67,76.92,76.92,87.5,45.83,0.0,30.77,4,0,0
debt_posture,24,8,87.5,50.0,79.17,66.67,100.0,100.0,54.17,54.17,18.18,18.18,2,0,0
discharge_reason,27,9,85.19,85.19,85.19,62.96,90.91,90.91,77.78,33.33,0.0,54.55,6,0,0
divorce_context,21,7,100.0,95.24,95.24,52.38,100.0,50.0,95.24,57.14,0.0,0.0,0,0,0
employment_paper_and_pay,9,3,100.0,100.0,100.0,66.67,100.0,100.0,66.67,0.0,50.0,100.0,6,0,0
estate_posture,21,7,100.0,66.67,95.24,85.71,100.0,100.0,90.48,57.14,0.0,40.0,6,0,0
government_defendant,18,6,83.33,83.33,83.33,55.56,100.0,100.0,83.33,38.89,0.0,42.86,3,0,0
home_loan_posture,12,4,100.0,100.0,100.0,100.0,100.0,83.33,100.0,100.0,0.0,0.0,0,1,0
immigration_posture,15,5,100.0,93.33,93.33,60.0,75.0,75.0,40.0,33.33,0.0,12.5,1,0,0
injury_mechanism,6,2,100.0,100.0,100.0,50.0,100.0,100.0,50.0,50.0,100.0,100.0,2,0,0
insurance_route,18,6,100.0,94.44,100.0,77.78,100.0,72.73,66.67,50.0,54.55,54.55,6,2,0
ip_protection_type,18,6,100.0,72.22,94.44,66.67,87.5,87.5,50.0,33.33,12.5,37.5,3,0,0
land_taking_posture,9,3,100.0,88.89,88.89,66.67,100.0,50.0,66.67,33.33,50.0,50.0,2,0,0
license_action_source,18,6,94.44,94.44,100.0,61.11,100.0,75.0,66.67,50.0,0.0,0.0,0,0,0
neighbor_dispute_nature,18,6,100.0,100.0,100.0,50.0,100.0,100.0,66.67,38.89,12.5,62.5,5,0,0
professional_negligence,18,6,77.78,44.44,83.33,50.0,100.0,100.0,72.22,50.0,14.29,42.86,3,0,0
protective_order_relationship,18,6,100.0,100.0,100.0,94.44,92.86,92.86,55.56,44.44,28.57,42.86,6,0,0
relationship_legal_status,12,4,66.67,50.0,75.0,58.33,100.0,100.0,100.0,75.0,0.0,33.33,2,0,0
reputation_harm_type,18,6,94.44,94.44,100.0,61.11,100.0,100.0,83.33,61.11,25.0,37.5,3,0,0
small_claims_vs_construction,27,9,62.96,44.44,74.07,22.22,100.0,50.0,51.85,40.74,0.0,50.0,1,0,0
ssi_vs_ssd,27,9,88.89,81.48,85.19,59.26,91.67,91.67,88.89,74.07,0.0,16.67,2,1,0
tax_dispute_route,9,3,100.0,66.67,100.0,77.78,66.67,66.67,88.89,66.67,0.0,16.67,1,1,0
tenancy_property_type,24,8,100.0,100.0,100.0,62.5,100.0,100.0,87.5,16.67,0.0,90.91,10,0,0
vehicle_purchase_source,18,6,94.44,66.67,100.0,61.11,100.0,100.0,100.0,44.44,0.0,25.0,2,0,0
wc_state_vs_third_party,24,8,91.67,79.17,91.67,62.5,100.0,53.85,66.67,41.67,7.69,30.77,4,4,0
wc_system_identity,9,3,77.78,44.44,66.67,44.44,100.0,100.0,77.78,66.67,0.0,0.0,0,0,0
