scenario_id,runs_observed,usable_runs,question_matched_runs,domestic_violence_explicit_probe_runs,expected_category_present_initial_runs,expected_category_is_initial_top_runs,expected_category_present_final_runs,expected_category_is_final_top_runs,expected_exact_label_present_final_runs,distinct_question_sets,distinct_final_label_sets,swap_pair,domestic_violence_hidden_fact,paper_failure_mode
legacy_001,2,2,1,0,0,0,1,1,0,2,1,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_002,2,2,2,0,1,0,2,2,0,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_003,2,2,1,0,0,0,1,0,0,2,1,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_004,2,2,2,0,0,0,2,2,0,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_005,2,2,1,0,0,0,1,1,0,2,1,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_006,2,2,2,0,0,0,2,1,0,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_007,2,2,2,0,0,0,2,2,0,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_008,2,2,2,0,0,0,2,1,0,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_009,2,2,2,0,0,0,2,2,0,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_010,2,2,2,0,0,0,2,2,0,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_011,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_012,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_013,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_014,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_015,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_016,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_017,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_018,2,2,0,0,2,2,0,0,0,2,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_019,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_020,2,2,0,0,2,2,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_021,2,2,2,1,0,0,2,0,2,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_022,2,2,2,1,0,0,2,0,2,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_023,2,2,2,1,0,0,2,1,0,2,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_024,2,2,2,2,0,0,2,2,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_025,2,2,2,2,0,0,1,0,1,2,2,criminal_vs_restraining,False,criminal_vs_restraining
