run,scenario_id,boundary_id,direction,flip_type,mechanism,safety_sensitive,opening_query,hidden_fact,expected_initial_label,expected_final_label,initial_labels,initial_category_present,initial_exact_present,plausible_initial_present,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_labels,final_category_present,final_exact_present,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,expected_final_exact_lost,provider_error,latency_ms
variability_b3_20260719T074220Z,v2_benefit_agency_06,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My daughter keeps getting in trouble at school and I think it's connected to her struggles.,"She has diagnosed ADHD and dyslexia, and the school refuses to evaluate her for an IEP — the 'trouble' is them disciplining her disability.",Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights || Family Law > Juvenile/DHS Issues,True,True,True,3,What is the main school problem you need help with? || Does your daughter have an IEP (special education plan) or a 504 plan (school supports for a disability) right now? || Do you think her school trouble is connected to a disability or another condition that may mean she needs special education help?,True,Do you think her school trouble is connected to a disability or another condition that may mean she needs special education help?,,,,True,True,False,False,False,,47056
variability_b3_20260719T074220Z,v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,"The contract is with the state's Medicaid coordinated-care organization — 235 of our clients are covered through it, so this is a Medicaid provider-network fight.","Business and Corporate > General (contracts, entities)",Administrative Law > Medicare/Medicaid,"Business and Corporate > Litigation || Business and Corporate > General (contracts, entities) || General Litigation > Health Law/HIPAA",True,True,True,3,"Who is the contract with? || Does the contract say they can end it for any reason, even if you did nothing wrong (sometimes called “termination for convenience”)? || What kind of help do you want with this contract ending?",False,,,,,False,False,False,False,False,,45378
variability_b3_20260719T074220Z,v2_benefit_agency_13,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I was let go unfairly and now I have no income coming in at all. I need legal help this week.,The urgent piece is my unemployment denial — my appeal hearing with the state is Tuesday and I can't do it alone.,Labor & Employment > Wrongful Discharge - Employee,Administrative Law > Unemployment,Labor & Employment > Wrongful Discharge - Employee,True,True,True,2,"What do you need help with most right now? || Do you think you were fired because of your race, religion, sex, disability, age, or another protected characteristic (a reason the law says an employer cannot use)?",True,What do you need help with most right now?,Administrative Law > Unemployment || Labor & Employment > Wrongful Discharge - Employee,True,True,False,False,True,True,False,,44909
variability_b3_20260719T074220Z,v2_benefit_agency_26,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The pharmacy board flagged my dispensing records and suspended me while they 'investigate'.,Federal agents served a subpoena on the pharmacy the same week — my lawyer friend says the parallel criminal fraud investigation is the bigger danger.,Administrative Law > Professional Licensing,Criminal Law > White Collar Crime,Administrative Law > Professional Licensing || Labor & Employment > General - Employee || Criminal Law > Other,True,True,True,3,Who suspended you? || Are you a pharmacist or pharmacy technician? || Did the board say you might have done something wrong?,False,,,,,True,False,False,False,False,,10853
variability_b3_20260719T074220Z,v2_benefit_agency_44,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The housing authority terminated our rental assistance over paperwork we never received.,"It's our Section 8 voucher — the termination skipped the informal hearing HUD rules require, and our landlord starts eviction the day the subsidy stops.",Administrative Law > Welfare,Real Property > Section 8/HUD,Real Property > Section 8/HUD || Real Property > Tenant (Residential) || Administrative Law > Welfare,True,True,True,2,"Are you trying to get your rental assistance back, or are you trying to fight being removed from the housing program? || Did you get a notice that you were behind on paperwork?",True,"Are you trying to get your rental assistance back, or are you trying to fight being removed from the housing program?",Real Property > Section 8/HUD || Real Property > Tenant (Residential) || Administrative Law > Welfare,True,True,True,True,False,False,False,,46765
variability_b3_20260719T074220Z,v2_benefit_agency_46,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,"The state overpaid me pandemic unemployment through their own error and now wants $23,000 with penalties.","I lost my waiver appeal — the debt is final, collection has begun, and with my other debts the realistic question is whether bankruptcy reaches an agency overpayment.",Administrative Law > Unemployment,Bankruptcy > Personal,Administrative Law > Unemployment || Debtor/Creditor > General (Debtor) || Debtor/Creditor > Judgment Collection,True,True,True,1,"Are you trying to get help with the unemployment benefits themselves, or with the debt and penalties you owe?",True,"Are you trying to get help with the unemployment benefits themselves, or with the debt and penalties you owe?",Bankruptcy > Personal || Debtor/Creditor > Collection/Harassment || Administrative Law > Unemployment,True,True,False,False,True,True,False,,13199
variability_b3_20260719T074220Z,v2_benefit_agency_61,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The state suspended my foster-parent certification over an allegation that was withdrawn the next day.,They also removed our foster daughter of two years during the suspension — getting her placement back through the dependency court is the fight that matters most.,Administrative Law > General (State),Family Law > Juvenile/DHS Issues,Administrative Law > Professional Licensing || Family Law > Juvenile/DHS Issues || Administrative Law / General (State),True,False,False,3,Is your main goal to fight the state agency’s suspension of your foster‑parent certification (license) or is this mostly about issues in an open child welfare case? || Did you get a letter or notice about the suspension? || Do you want to get your certification back?,True,Is your main goal to fight the state agency’s suspension of your foster‑parent certification (license) or is this mostly about issues in an open child welfare case?,Family Law > Juvenile/DHS Issues || Administrative Law > Professional Licensing || Administrative Law > General (State),True,True,True,True,False,False,False,,21897
variability_b3_20260719T074220Z,v2_benefit_agency_63,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our church's food pantry got shut down by an inspector over rules we've never heard of.,The citation hinges on our nonprofit status paperwork — our 501(c)(3) food-handling exemption lapsed when a filing was missed; restoring the nonprofit compliance stack reopens us.,Administrative Law > General (Local/Municipal),Business and Corporate > Non-Profit,Administrative Law > General (Local/Municipal) || Administrative Law > General (State) || Business and Corporate > Non-Profit,True,True,True,3,Which agency shut it down? || Was the inspector from the state or a local city/county government? || Did the inspector give you a written notice or order to shut down?,False,,,,,True,True,False,False,False,,11789
variability_b3_20260719T074220Z,v2_business_entity_specifics_01,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,I'm starting an organization with two friends and we need help setting it up properly.,It's a charity for veterans' housing — we need 501(c)(3) status so donations are deductible.,"Business and Corporate > General (contracts, entities)",Business and Corporate > Non-Profit,"Business and Corporate > General (contracts, entities) || Business and Corporate > Non-Profit || Labor & Employment > ADA (Disability) Act Issues",True,True,True,1,Is this organization a for-profit business or a nonprofit (like a charity)?,True,Is this organization a for-profit business or a nonprofit (like a charity)?,Business and Corporate > Non-Profit || Taxation > Business & Corporate || Taxation > Estate & Gift,True,True,True,True,False,False,False,,12832
variability_b3_20260719T074220Z,v2_business_entity_specifics_06,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,Our board got a letter from a lawyer about the site next to our property and we don't know his angle.,The site is a Superfund cleanup area and the letter concerns contamination migration — this is environmental liability territory.,"Business and Corporate > General (contracts, entities)",Business and Corporate > Environmental,Real Property > Land Use/Zoning || Real Property > Homeowners Assoc || General Litigation > General Litigation,False,False,False,3,What kind of board are you? || What is the lawyer’s letter mostly about? || Is the lawyer writing for the owner or developer of the property next door?,True,What is the lawyer’s letter mostly about?,,,,False,False,False,False,False,,38377
