row_number,problem_description,original_human_category,original_human_subcategory,internal_review_label,ai_multilabel_assessment,supported_candidate_count,candidate_labels,candidate_support,candidate_rank1_support,candidate_models,candidate_justifications
4,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Business & Corporate,"General (Contracts, Business, Organization)",Real Property / Construction/Contractors,three-label candidate,3,"Real Property / Construction/Contractors || Business & Corporate / General (Contracts, Business, Organization) || Debtor/Creditor / General (Creditor)",3 || 3 || 2,2 || 1 || 0,"Real Property / Construction/Contractors: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Business & Corporate / General (Contracts, Business, Organization): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Debtor/Creditor / General (Creditor): Gemini 3.1 Pro Preview, GPT-5.2","Real Property / Construction/Contractors: DeepSeek v4: The need to file property liens suggests a construction payment dispute, but the primary request is for business contracts and lien procedures, making business law the better fit. / Gemini 3.1 Pro Preview: The user is a construction contractor seeking to file property liens due to non-payment for their work. / GPT-5.2: Sole proprietor construction-related business is not getting paid and is seeking help with contracts and filing property liens, which aligns with contractor payment disputes and lien rights tied to a project/property. || Business & Corporate / General (Contracts, Business, Organization): DeepSeek v4: The user needs help with contracts and lien filing for their sole proprietor construction/cleaning business, which fits core business contract and organization matters. / Gemini 3.1 Pro Preview: The user is a sole proprietor also asking for a lawyer to help 'do contracts' for their company. Included as a third option since contract drafting is a general corporate need. / GPT-5.2: They also want help “do contracts,” but this is secondary to the nonpayment/lien enforcement problem covered more directly by construction/contractor disputes. || Debtor/Creditor / General (Creditor): Gemini 3.1 Pro Preview: The user is owed money for their services and is seeking to collect on overdue invoices using legal tools. Included as a lower match because the context revolves specifically around construction property liens. / GPT-5.2: They are owed money on overdue invoices and want to pursue collection; this is a fit if the matter is primarily collecting debts rather than construction lien remedies."
8,"I was served a petition for custody and parenting time and child support. The father of my child wants parenting time. He lives in another state. I have 30 days to ""appear"" in this case. I need to file and show proof that his lawyer was formally served. I need to know what to expect and some advice what I should do. My daughter is 14 and does not want to be forced to be with her dad. She will be 15 in August. I know she has rights too.",Family Law,Child Custody/Visitation,Family Law / Child Custody/Visitation,possible two-label candidate,2,Family Law / Child Custody/Visitation || Family Law / Child Support/Modification,3 || 3,3 || 0,"Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Support/Modification: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Child Custody/Visitation: DeepSeek v4: The user was served a petition for custody and parenting time involving the father of her child, which directly concerns custody and visitation. / Gemini 3.1 Pro Preview: The user is responding to a petition involving custody and parenting time across state lines and needs advice on how to represent their teenager's wishes. / GPT-5.2: User was served with a petition involving custody/parenting time and needs to respond; child’s preferences and out-of-state parent context are part of parenting-time disputes. || Family Law / Child Support/Modification: DeepSeek v4: The petition also involves child support, but the primary issue is custody/parenting time; support is secondary. / Gemini 3.1 Pro Preview: The petition served on the user also explicitly includes child support. Included as a secondary match because custody and parenting time seem to be the primary concerns in the narrative. / GPT-5.2: The petition also includes child support, but the main urgency described is responding to custody/parenting time; support is ancillary."
9,"I was assaulted. Cops were called for the assault. I went to er I’m ambulance after the police arrived and took my statement. The police falsified the statement, the report and did not include the witnesses statement. The police left out their body cam footage of the interview and left out the video footage of the assault. (Should be able to supena from the company the assault happened at) Before sending the case to the DA the police mixed up my name, address and number giving the DA no way to get ahold of me. I’ve provided proof that I still have a concussion and seeing medical professionals regarding the assault. The police falsified the report by leaving out information, falsifying my statement, and not mentioning the assault at all instead charged the attacker with harassment (a false charge) the man came out of no where and attacked me hitting me in the head repeatedly until I blacked out. The police seen this on camera.
Need aggressive lawyer",General Litigation,Crime Victim,General Litigation / Actions Against Police,three-label candidate,3,General Litigation / Actions Against Police || General Litigation / Crime Victim || General Litigation / Personal Injury,3 || 2 || 2,3 || 0 || 0,"General Litigation / Actions Against Police: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Crime Victim: Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Personal Injury: DeepSeek v4, GPT-5.2","General Litigation / Actions Against Police: DeepSeek v4: The user alleges police falsified reports and mishandled their assault case, seeking an aggressive lawyer; this is a civil rights claim against police for misconduct. / Gemini 3.1 Pro Preview: The user intends to take legal action against the police for allegedly falsifying a report, mishandling evidence, and failing to properly investigate an assault. / GPT-5.2: User alleges police falsified reports, omitted body-cam/video, and mishandled identity/contact info, seeking an “aggressive lawyer,” which points to a civil claim for police misconduct. || General Litigation / Crime Victim: Gemini 3.1 Pro Preview: The user was the victim of a violent assault and may also want to sue the perpetrator civilly for damages related to their concussion and medical bills. / GPT-5.2: They were seriously assaulted with documented injuries and may pursue civil damages against the attacker; this is separate from the police-misconduct aspect. || General Litigation / Personal Injury: DeepSeek v4: The user suffered assault injuries and could file a civil suit against the attacker, but the core complaint is about police misconduct, making Actions Against Police the stronger match. / GPT-5.2: The core harm includes concussion and medical treatment from an assault, but because it’s an intentional attack (and police conduct is central), Crime Victim/Actions Against Police fit better than negligence-based PI."
10,"I am a writer, but am not represented by an agent, manager, or attorney. My current project, a fantasy/adventure trilogy for young adults has already generated tremendous interest, and I need very much to ask someone many Question about intellectual property, copyright, and the creation of a specialty asset trust to manage the various brands and licensing opportunities that will spin off of the books.",Intellectual Property,Trademark/Copyright,Intellectual Property / Trademark/Copyright,possible two-label candidate,2,"Intellectual Property / Trademark/Copyright || Wills & Trusts / General (Wills, Trusts, Estates)",3 || 2,3 || 0,"Intellectual Property / Trademark/Copyright: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Wills & Trusts / General (Wills, Trusts, Estates): DeepSeek v4, Gemini 3.1 Pro Preview","Intellectual Property / Trademark/Copyright: DeepSeek v4: The writer has questions about intellectual property and copyright for their book project and spin-off brands, which fits trademark/copyright protection and licensing. / Gemini 3.1 Pro Preview: The user is an author looking for advice on copyright and intellectual property rights to protect their creative work and subsequent spin-off brands. / GPT-5.2: Author seeks advice on copyright and protecting brands/licensing arising from a book trilogy, which is core trademark/copyright protection. || Wills & Trusts / General (Wills, Trusts, Estates): DeepSeek v4: The user also wants to create a specialty asset trust for brand management, touching on estate planning, but the primary need is IP guidance. / Gemini 3.1 Pro Preview: The user specifically mentions needing to create a specialty asset trust to manage their brands. Included as a secondary match because the core underlying issue involves intellectual property protection."
12,Hours was deleted from my pay and when I said something about it to the manager I was terminated,Labor & Employment,Wage and Hour Claims,Labor & Employment / Wage and Hour Claims,two-label candidate,2,Labor & Employment / Wage and Hour Claims || Labor & Employment / Wrongful Discharge,3 || 3,2 || 1,"Labor & Employment / Wage and Hour Claims: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Labor & Employment / Wrongful Discharge: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Labor & Employment / Wage and Hour Claims: DeepSeek v4: The user alleges hours were deleted from pay and was terminated after complaining; this is a wage and hour dispute under state law. / Gemini 3.1 Pro Preview: The incident stems from the employer deleting hours from the user's pay. Included as a secondary match because while the wage theft is the cause, the termination is the most legally severe outcome. / GPT-5.2: User reports hours deleted from pay (unpaid wages) and then termination after complaining, indicating wage-payment violations as the core issue. || Labor & Employment / Wrongful Discharge: DeepSeek v4: Termination after complaining about pay could constitute wrongful discharge in retaliation for asserting wage rights, but the immediate issue is unpaid wages. / Gemini 3.1 Pro Preview: The user was fired immediately after complaining about missing pay, which constitutes illegal retaliation and an exception to at-will employment. / GPT-5.2: Termination appears retaliatory for raising a wage issue; this can support a wrongful discharge/retaliation theory, but the wage underpayment is the primary fact pattern provided."
15,"I owed IRS $273,393.00 because I withdrew all of my IRA accounts due to a scam on the internet. The scammers posed as Apple tech support and Fedelity Senior Fraud analyst instructed me to close all of my accounts and deposit them to secure separate accounts where the hackers cannot reach. After they can revalidate my identity then I can move the money back . I did not receive a penny from the scammers. I heard from a representative from IRS today informing me the balance due on my Federal tax return is now $279,498.57. I desperately need a tax attorney that can help me reduce taxes owed because I do not have any income besides our social security payments.",Taxation,Personal Income,Taxation / Personal Income,possible two-label candidate,2,Taxation / Personal Income || Taxation / Other,3 || 2,3 || 0,"Taxation / Personal Income: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Taxation / Other: Gemini 3.1 Pro Preview, GPT-5.2","Taxation / Personal Income: DeepSeek v4: The individual owes a large federal tax debt due to a scam-related IRA withdrawal and seeks a tax attorney to reduce personal income tax liability. / Gemini 3.1 Pro Preview: The user is facing a massive personal income tax liability from the IRS due to withdrawing funds from their IRA and needs legal help with the dispute. / GPT-5.2: Individual owes large federal income tax after IRA withdrawals and seeks a tax attorney to reduce/resolve IRS balance due while living on Social Security—this is a personal income tax liability dispute. || Taxation / Other: Gemini 3.1 Pro Preview: The user has no income beyond social security and needs help reducing the tax owed, which often requires negotiating an 'Offer in Compromise'. Included as a secondary match due to the specialized nature of settling a tax debt for less than the full amount. / GPT-5.2: The user appears to need negotiation/settlement tools (e.g., compromise/payment relief) due to inability to pay; this fits specialized tax-resolution work if not framed as an audit/dispute over calculations alone."
22,"Being sued by Midland Credit for roughly $2,500. Attempted to settle but Vernon, Pike, & Tolland, PC are saying they can’t offer any settlements lower than 90% of the amount owed. What steps can I take to reach fair settlement? My summons was received today and says Subject to mandatory arbitration. How might I go about that process? Thank you for your help.",Debtor/Creditor,Collection/Harassment,Debtor/Creditor / Debt Counseling/Workouts,two-label candidate,2,Debtor/Creditor / General (Debtor) || Debtor/Creditor / Debt Counseling/Workouts,3 || 2,2 || 1,"Debtor/Creditor / General (Debtor): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Debtor/Creditor / Debt Counseling/Workouts: Gemini 3.1 Pro Preview, GPT-5.2","Debtor/Creditor / General (Debtor): DeepSeek v4: The user is being sued for a debt and wants to settle, which is a core debtor issue. The mention of mandatory arbitration and dealing with a collection law firm confirms they are a debtor facing a lawsuit. / Gemini 3.1 Pro Preview: The user owes money and has received a summons regarding a debt they cannot fully pay. This is a lower match because Debt Counseling better captures their desire to negotiate a settlement. / GPT-5.2: User has been sued by a debt buyer (Midland Credit) for $2,500 and is asking about settlement steps and mandatory arbitration referenced in the summons—this is defending a collection lawsuit over an unpaid debt. || Debtor/Creditor / Debt Counseling/Workouts: Gemini 3.1 Pro Preview: The user acknowledges the debt to Midland Credit and is seeking legal help to negotiate a fair settlement rather than paying the full amount or going to trial. / GPT-5.2: They also want to negotiate a lower payoff/settlement; however the primary issue is already active litigation (summons/arbitration), which fits General (Debtor) better."
23,"I am looking for a lawyer to help me get on my sons birth certificate ,also full custody and establishing paternity with my son.",Family Law,Birth Certificate/Name Changes,Family Law / Paternity,possible two-label candidate,2,Family Law / Paternity || Family Law / Child Custody/Visitation,3 || 2,3 || 0,"Family Law / Paternity: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Custody/Visitation: Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Paternity: DeepSeek v4: Establishing paternity is explicitly requested, which is the legal process to determine the biological father. The issues of birth certificate and custody are direct consequences of establishing paternity. / Gemini 3.1 Pro Preview: The user needs to legally establish that he is the biological father to be added to the birth certificate and gain parental rights. / GPT-5.2: User wants to be added to the child’s birth certificate and to establish paternity, which is the core legal mechanism for being recognized as the father. || Family Law / Child Custody/Visitation: Gemini 3.1 Pro Preview: The user is also seeking full custody of his son, a legal action that typically follows or is combined with an action to establish paternity. / GPT-5.2: They also request full custody; custody is typically addressed after or alongside establishing parentage, but paternity is the threshold issue mentioned explicitly."
24,"My mother was transported to St. Elora hospital in Redmond. She was stabilized for the reason admitted. She then fell out of the bed in the ER at 1222 am, hitting her head. She broke two vertebrae, cracked her skull and split her head open. The wound was substantial and required a blood transfusion later. She was found 10 minutes later without a pulse. They performed CPR and life flighted her to Alderstone University Hospital. She had a DNR order in place. The doctors at Alderstone University Hospital said she was likely paralyzed from the neck down and was without oxygen to the brain for the time on the floor in the ER. How can an 85 year old woman, who is confined to a wheel chair ""fall"" out of an ER bed and die? I need help in making the hospital pay for their incompetence and wrongful death, as well as doing CPR against her wishes (which also caused several broken ribs).",General Litigation,Wrongful Death,General Litigation / Wrongful Death,two-label candidate,2,General Litigation / Wrongful Death || General Litigation / Malpractice-Medical,3 || 3,2 || 1,"General Litigation / Wrongful Death: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Malpractice-Medical: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","General Litigation / Wrongful Death: DeepSeek v4: The family seeks compensation for the death of their mother due to alleged hospital negligence, which is a classic wrongful death claim. The mention of 'making the hospital pay for their incompetence and wrongful death' directly aligns with this subcategory. / Gemini 3.1 Pro Preview: The user is a surviving family member seeking compensation because the medical negligence allegedly caused their mother's death. / GPT-5.2: An elderly mother died after an alleged hospital safety failure (fall from ER bed) and the user seeks to make the hospital pay for the death—this is a wrongful death claim. || General Litigation / Malpractice-Medical: DeepSeek v4: The underlying facts describe medical negligence (fall from bed, failure to follow DNR) causing injury and death. A medical malpractice claim would be the foundation of the wrongful death suit, but wrongful death is the more specific and appropriate final action. / Gemini 3.1 Pro Preview: The user is alleging that hospital staff and doctors were negligent in their care, resulting in a severe fall, a delayed response, and inappropriate CPR. / GPT-5.2: The allegations involve negligent ER care and performing CPR despite a DNR, which are medical-provider standard-of-care issues; wrongful death is ranked higher because death resulted."
27,Possible wrongful termination and/or discrimination,Labor & Employment,Wrongful Discharge,Labor & Employment / Wrongful Discharge,two-label candidate,2,Labor & Employment / Wrongful Discharge || Labor & Employment / Discrimination,3 || 3,2 || 1,"Labor & Employment / Wrongful Discharge: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Labor & Employment / Discrimination: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Labor & Employment / Wrongful Discharge: DeepSeek v4: Wrongful termination is also explicitly mentioned, which could fall under wrongful discharge if it was for an illegal reason. However, without more facts, discrimination is the more specific match. / Gemini 3.1 Pro Preview: The user explicitly mentions potentially being fired for an illegal reason (wrongful termination). / GPT-5.2: User reports possible wrongful termination; the core issue is being fired for an allegedly illegal reason. || Labor & Employment / Discrimination: DeepSeek v4: The phrase 'possible wrongful termination and/or discrimination' directly invokes employment discrimination. The mention of 'discrimination' as a primary issue fits this subcategory. / Gemini 3.1 Pro Preview: The user also suspects discrimination, indicating the adverse employment action may have been based on a protected characteristic. / GPT-5.2: They also suspect discrimination, but no protected class facts are provided; kept as a secondary fit due to the explicit mention."
