run,scenario_id,boundary_id,direction,flip_type,mechanism,safety_sensitive,opening_query,hidden_fact,expected_initial_label,expected_final_label,initial_labels,initial_category_present,initial_exact_present,plausible_initial_present,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_labels,final_category_present,final_exact_present,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,expected_final_exact_lost,provider_error,latency_ms
final_run_1_20260718T002609Z,v2_benefit_agency_01,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My benefits got cut off last month and nobody at the office will explain anything.,"It's my SSI from the Social Security office, not the state assistance.",Administrative Law > Welfare,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > Unemployment,True,False,True,1,Which benefits were cut off?,True,Which benefits were cut off?,Administrative Law > Unemployment || Administrative Law > Social Security/SSI || Administrative Law > Medicare/Medicaid,True,True,True,True,False,False,False,,30092
final_run_1_20260718T002609Z,v2_benefit_agency_02,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The state cut our family's assistance and we can't feed four kids on what's left.,What they actually terminated is the kids' OHP health coverage — the food benefits are fine.,Administrative Law > Welfare,Administrative Law > Medicare/Medicaid,Administrative Law > Welfare,True,True,True,1,Which benefit did the state cut?,True,Which benefit did the state cut?,Administrative Law > Welfare,True,False,True,False,False,False,False,,23340
final_run_1_20260718T002609Z,v2_benefit_agency_03,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I'm a retired public employee and there's a serious problem with my retirement money.,"The problem comes from my divorce — the decree divides my PERS with my ex, and the division order was never done right.",Administrative Law > PERS,Family Law > QDROs,Administrative Law > PERS,True,True,True,1,"Is your retirement issue about a state public employee retirement system (like PERS), Social Security retirement, or a different pension plan?",True,"Is your retirement issue about a state public employee retirement system (like PERS), Social Security retirement, or a different pension plan?",Administrative Law > PERS,False,False,False,False,False,False,False,,35527
final_run_1_20260718T002609Z,v2_benefit_agency_04,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The VA is giving my husband the runaround and we've hit a wall dealing with them.,It's about our VA home loan — the lender says the VA guarantee paperwork is defective and closing is frozen.,Administrative Law > Military/Veterans,"Real Property > Government Loans (VA, FHA, etc.)",Administrative Law > Military/Veterans,True,True,True,1,What is the main issue with the Department of Veterans Affairs (VA)?,True,What is the main issue with the Department of Veterans Affairs (VA)?,Administrative Law > Military/Veterans,False,False,False,False,False,False,False,,27106
final_run_1_20260718T002609Z,v2_benefit_agency_05,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The school is failing my son and I've exhausted every meeting and email I can think of.,"He was suspended for an article he wrote in the student paper criticizing the principal — this is about his speech rights, not services.",Administrative Law > Schools — Special Needs Education,Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights,True,True,True,1,Does your son have an IEP (Individualized Education Program) or a 504 plan for a disability?,False,,,,,True,True,False,False,False,,9621
final_run_1_20260718T002609Z,v2_benefit_agency_06,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My daughter keeps getting in trouble at school and I think it's connected to her struggles.,"She has diagnosed ADHD and dyslexia, and the school refuses to evaluate her for an IEP — the 'trouble' is them disciplining her disability.",Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights,True,True,True,2,What’s the main thing you need help with? || Does your daughter already have an IEP or a 504 plan (a written support plan at school)?,True,What’s the main thing you need help with?,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights,True,True,True,True,False,False,False,,36776
final_run_1_20260718T002609Z,v2_benefit_agency_07,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,A government office rejected my paperwork for the third time and I'm losing my mind.,It's the FAA — they keep rejecting my experimental aircraft registration on contradictory grounds.,Administrative Law > General (State),Administrative Law > General (Federal),Administrative Law > General (State) || Administrative Law > General (Federal),True,True,True,1,What was the paperwork for?,True,What was the paperwork for?,Administrative Law > General (Federal) || Administrative Law > General (State) || Administrative Law > General (Local/Municipal),True,True,True,True,False,False,False,,34938
final_run_1_20260718T002609Z,v2_benefit_agency_08,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My professional life is being destroyed by an accusation at work that isn't true.,"The nursing board opened a license investigation over the accusation — that's the part that can end my career, beyond the job itself.",Labor & Employment > General - Employee,Administrative Law > Professional Licensing,Labor & Employment > General - Employee || General Litigation > Libel/Slander/Defamation,True,True,True,1,What best describes what has happened so far?,True,What best describes what has happened so far?,Labor & Employment > General - Employee || General Litigation > Libel/Slander/Defamation,False,False,False,False,False,False,False,,41481
final_run_1_20260718T002609Z,v2_benefit_agency_09,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My contractor's license got suspended and I can't work. This is how I feed my family.,The suspension is automatic fallout from my pending DUII case — fixing the criminal case is what restores the license.,Administrative Law > Professional Licensing,Criminal Law > DUII/DWS,Administrative Law > Professional Licensing,True,True,True,0,,False,,,,,False,False,False,False,False,,22100
final_run_1_20260718T002609Z,v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,"The contract is with the state's Medicaid coordinated-care organization — 235 of our clients are covered through it, so this is a Medicaid provider-network fight.","Business and Corporate > General (contracts, entities)",Administrative Law > Medicare/Medicaid,"Business and Corporate > Litigation || Business and Corporate > General (contracts, entities)",True,True,True,3,Who ended the contract? || What does your written contract say about ending it? || Did they follow the contract’s rules for ending it (like the required notice period)?,False,,,,,False,False,False,False,False,,15931
