iteration,group,mean_jaccard_distance,alpha_jaccard
1,humans,0.2580409356725146,0.7340102769737367
1,llms,0.3395224171539961,0.6508853262468439
1,human_llm,0.33905945419103317,0.6504784160820778
1,all_five,0.33109649122807017,0.659000364018232
2,humans,0.24342105263157895,0.7500758788556874
2,llms,0.3706140350877193,0.6192576029410469
2,human_llm,0.38338206627680316,0.6062817525602345
2,all_five,0.3655555555555556,0.6245548156752172
3,humans,0.26608187134502925,0.726768475401954
3,llms,0.34381091617933723,0.6462116675568648
3,human_llm,0.37156432748538015,0.6182187380033539
3,all_five,0.35269005847953216,0.6374543746122059
4,humans,0.27046783625730997,0.7231101335295529
4,llms,0.391374269005848,0.5986074965306867
4,human_llm,0.406140350877193,0.5842356521354793
4,all_five,0.3881432748538012,0.6023911675265428
5,humans,0.22222222222222224,0.7719586612286765
5,llms,0.330458089668616,0.661389696897987
5,human_llm,0.3507553606237817,0.6402304061792421
5,all_five,0.33181286549707606,0.6597569582655298
6,humans,0.27923976608187134,0.71317469967591
6,llms,0.35765107212475633,0.6327619173398487
6,human_llm,0.3807261208576998,0.6090774359166813
6,all_five,0.36365497076023395,0.6265804095648648
7,humans,0.28654970760233917,0.7051916797421653
7,llms,0.33006822612085773,0.6606670551317798
7,human_llm,0.33976608187134505,0.650161833735671
7,all_five,0.33153508771929824,0.658868320216341
8,humans,0.21710526315789475,0.7768595041322314
8,llms,0.31812865497076026,0.6726405776930982
8,human_llm,0.3472222222222222,0.642955183787418
8,all_five,0.3254824561403509,0.6652504243943791
9,humans,0.2324561403508772,0.7603050626615018
9,llms,0.37363547758284604,0.6155362954623392
9,human_llm,0.37110136452241715,0.6176158107279531
9,all_five,0.3579970760233918,0.6312598165464325
10,humans,0.29678362573099415,0.6961103897260107
10,llms,0.3834307992202729,0.6083011904310021
10,human_llm,0.3791423001949318,0.6120951506645492
10,all_five,0.37219298245614035,0.619363169676196
11,humans,0.18201754385964913,0.8121349339349659
11,llms,0.35609161793372324,0.6332738628589863
11,human_llm,0.3676169590643275,0.6213228308524759
11,all_five,0.34559941520467835,0.6439180540280444
12,humans,0.179093567251462,0.815750049528666
12,llms,0.3169103313840156,0.6733674137330676
12,human_llm,0.32339181286549706,0.6670410692656545
12,all_five,0.30701754385964913,0.683817856646525
13,humans,0.20614035087719298,0.7886947359525935
13,llms,0.36408382066276807,0.6271334065129893
13,human_llm,0.37219785575048736,0.6188178987800464
13,all_five,0.3531578947368421,0.6382677737134876
14,humans,0.23903508771929827,0.7552219256574274
14,llms,0.3419590643274854,0.6499682121352113
14,human_llm,0.35114522417154,0.640253811119313
14,all_five,0.3371783625730994,0.6546955428024114
15,humans,0.25219298245614036,0.7407119487376779
15,llms,0.3237816764132554,0.6669310906105781
15,human_llm,0.36515594541910334,0.6244832645525032
15,all_five,0.34144736842105267,0.648839571443007
16,humans,0.25292397660818716,0.7402921192866713
16,llms,0.3436647173489279,0.6473399133400735
16,human_llm,0.37214912280701756,0.6182905173434355
16,all_five,0.3516812865497076,0.6391593107229302
17,humans,0.19444444444444445,0.8002080573242928
17,llms,0.3585282651072125,0.6320377769173002
17,human_llm,0.36474171539961014,0.6255800717303263
17,all_five,0.3458479532163743,0.6449493907176713
18,humans,0.26681286549707606,0.7257020081969926
18,llms,0.35360623781676415,0.6371278512267249
18,human_llm,0.3864522417153996,0.6031913420373259
18,all_five,0.36463450292397664,0.6255988364393101
19,humans,0.26973684210526316,0.7235245267474499
19,llms,0.42860623781676416,0.5618091114518342
19,human_llm,0.39680799220272905,0.5937212358994358
19,all_five,0.393640350877193,0.5971078161844984
20,humans,0.24780701754385967,0.7460141117573553
20,llms,0.32962962962962966,0.6620443983910755
20,human_llm,0.3485867446393762,0.6422834772782307
20,all_five,0.3328216374269006,0.6586398865759591
21,humans,0.2675438596491228,0.7254870604032877
21,llms,0.4144736842105263,0.5753601862426425
21,human_llm,0.4191520467836257,0.5702713540970459
21,all_five,0.4025877192982456,0.5873035309641016
22,humans,0.21198830409356725,0.781893481321958
22,llms,0.33791423001949317,0.6530519474040384
22,human_llm,0.3541179337231969,0.6361649127823283
22,all_five,0.3350438596491228,0.6557716951553986
23,humans,0.20687134502923976,0.7883246937938979
23,llms,0.36749512670565304,0.6240594106015006
23,human_llm,0.3494395711500975,0.6424156194396538
23,all_five,0.3405994152046784,0.6515065723749933
24,humans,0.2536549707602339,0.7399544278957797
24,llms,0.3818713450292398,0.6091995780879521
24,human_llm,0.37994639376218325,0.6108088864912347
24,all_five,0.3678947368421053,0.6232288621268054
25,humans,0.27485380116959063,0.7173482823391026
25,llms,0.35048732943469785,0.640291665554406
25,human_llm,0.35562865497076024,0.6346908749674229
25,all_five,0.3460087719298246,0.644622684489768
26,humans,0.22002923976608188,0.7740560066770985
26,llms,0.36076998050682263,0.629457725040292
26,human_llm,0.3648148148148148,0.6254839140741072
26,all_five,0.3491228070175439,0.6415149634442204
27,humans,0.27558479532163743,0.716390488266091
27,llms,0.38094541910331386,0.6084705068796814
27,human_llm,0.41822612085769983,0.5708112445183291
27,all_five,0.3927777777777778,0.5965229627974831
28,humans,0.2192982456140351,0.7741898688510674
28,llms,0.3132066276803119,0.6783164301751023
28,human_llm,0.33408869395711505,0.6563690877409125
28,all_five,0.3163450292397661,0.6747329338128143
29,humans,0.2777777777777778,0.7162507467085613
29,llms,0.3659844054580897,0.6259717627236873
29,human_llm,0.3819444444444445,0.6096946097033464
29,all_five,0.36673976608187137,0.6252435211557528
30,humans,0.23464912280701755,0.7585372060872204
30,llms,0.33226120857699804,0.6578134387384357
30,human_llm,0.34044834307992206,0.6494318041758078
30,all_five,0.3274122807017544,0.6628739900708489
31,humans,0.23099415204678364,0.7632210284760613
31,llms,0.375,0.6159739060796832
31,human_llm,0.3708089668615985,0.6203870631753885
31,all_five,0.35808479532163745,0.6332969924206647
