scenario_id,boundary_id,direction,flip_type,mechanism,opening_query,initial_category,initial_subcategory,final_category,final_subcategory,plausible_initial_labels,hidden_fact,fact_as_answer,relevant_question_topic,counterfactual_category,counterfactual_subcategory,counterfactual_hidden_fact,counterfactual_fact_as_answer,grounding_source_rows,grounding_note,safety_sensitive,vetting_note,generator_model,candidate_status
v2_benefit_agency_01,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My benefits got cut off last month and nobody at the office will explain anything.,Administrative Law,Welfare,Administrative Law,Social Security/SSI,Administrative Law > Welfare || Administrative Law > Social Security/SSI,"It's my SSI from the Social Security office, not the state assistance.","It's my SSI — the Social Security office, not the state people.",which agency and program stopped the benefit,Administrative Law,Welfare,It's my SNAP food benefits through the state DHS office.,It's my SNAP food benefits from the state DHS office.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,'My benefits' is the canonical ambiguous phrase; program identity is a pure routing disclosure.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_02,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The state cut our family's assistance and we can't feed four kids on what's left.,Administrative Law,Welfare,Administrative Law,Medicare/Medicaid,Administrative Law > Welfare || Administrative Law > Medicare/Medicaid,What they actually terminated is the kids' OHP health coverage — the food benefits are fine.,It's the kids' OHP health coverage they ended — food benefits are fine.,which specific program was terminated,Administrative Law,Welfare,"It's the TANF cash assistance they cut, over a work-requirement dispute.",It's the TANF cash they cut — some work-requirement dispute.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,OHP is the taxonomy's named Medicaid example; families bundle all programs as 'assistance.',"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_03,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,I'm a retired public employee and there's a serious problem with my retirement money.,Administrative Law,PERS,Family Law,QDROs,Administrative Law > PERS || Family Law > QDROs,"The problem comes from my divorce — the decree divides my PERS with my ex, and the division order was never done right.","It traces to my divorce — the decree splits my PERS with my ex, and the division order was botched.",whether the retirement dispute stems from a divorce decree or the plan itself,Administrative Law,PERS,No divorce involved — PERS itself miscalculated my service years and cut my monthly amount.,No divorce — PERS miscalculated my service years and cut my checks.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,The taxonomy's own PERS/QDRO distinction verbatim; source-of-dispute is the fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_04,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The VA is giving my husband the runaround and we've hit a wall dealing with them.,Administrative Law,Military/Veterans,Real Property,"Government Loans (VA, FHA, etc.)","Administrative Law > Military/Veterans || Real Property > Government Loans (VA, FHA, etc.)",It's about our VA home loan — the lender says the VA guarantee paperwork is defective and closing is frozen.,It's the VA home loan — the guarantee paperwork is supposedly defective and our closing is frozen.,whether the VA issue is benefits/healthcare or a VA-backed home loan,Administrative Law,Military/Veterans,It's his disability rating — they denied the increase despite his new diagnosis.,It's his disability rating — they denied the increase despite the new diagnosis.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,"Same agency, two distant labels; 'the VA' hides whether it's benefits or housing finance (rows 384/424 pattern).","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_05,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The school is failing my son and I've exhausted every meeting and email I can think of.,Administrative Law,Schools — Special Needs Education,Administrative Law,Student Rights,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights,"He was suspended for an article he wrote in the student paper criticizing the principal — this is about his speech rights, not services.",They suspended him over an article he wrote criticizing the principal — it's about his speech rights.,whether the dispute concerns disability services or civil liberties,Administrative Law,Schools — Special Needs Education,He has an IEP for autism and the school has ignored its requirements all year.,He has an autism IEP the school has ignored all year.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Row 429's boundary: IEP failure vs civil-liberties discipline; 'school is failing him' covers both.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_06,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My daughter keeps getting in trouble at school and I think it's connected to her struggles.,Administrative Law,Student Rights,Administrative Law,Schools — Special Needs Education,Administrative Law > Student Rights || Administrative Law > Schools — Special Needs Education,"She has diagnosed ADHD and dyslexia, and the school refuses to evaluate her for an IEP — the 'trouble' is them disciplining her disability.",She has diagnosed ADHD and dyslexia and they refuse to evaluate her for an IEP — they're disciplining her disability.,whether a disability underlies the discipline and services were denied,Administrative Law,Student Rights,No disability involved — they searched her phone and locker without cause and suspended her without any hearing.,No disability — they searched her phone and locker without cause and suspended her with no hearing.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,"Row 429 verbatim ('past experiences affecting mental health, trouble at school'); diagnosis fact selects the IEP route.","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_07,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,A government office rejected my paperwork for the third time and I'm losing my mind.,Administrative Law,General (State),Administrative Law,General (Federal),Administrative Law > General (State) || Administrative Law > General (Federal),It's the FAA — they keep rejecting my experimental aircraft registration on contradictory grounds.,"It's the FAA — my experimental aircraft registration, rejected on contradictory grounds each time.",which level of government agency is involved,Administrative Law,General (State),It's the state elections division rejecting my ballot-initiative petition formatting.,It's the state elections division — they keep rejecting my initiative petition's formatting.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Agency level is the sole difference between the general admin labels; both examples come from the descriptions.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_08,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My professional life is being destroyed by an accusation at work that isn't true.,Labor & Employment,General - Employee,Administrative Law,Professional Licensing,Labor & Employment > General - Employee || Administrative Law > Professional Licensing,"The nursing board opened a license investigation over the accusation — that's the part that can end my career, beyond the job itself.","The nursing board opened a license investigation — that's what can end my career, not just this job.",whether a licensing board proceeding is underway,Labor & Employment,General - Employee,No board involvement — it's an internal HR investigation and a suspension I'm disputing.,No board — it's internal HR and a suspension I'm fighting.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Rows 83/420: board proceedings are a separate legal system from employment; the investigation fact reroutes.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_09,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My contractor's license got suspended and I can't work. This is how I feed my family.,Administrative Law,Professional Licensing,Criminal Law,DUII/DWS,Administrative Law > Professional Licensing || Criminal Law > DUII/DWS,The suspension is automatic fallout from my pending DUII case — fixing the criminal case is what restores the license.,It's automatic fallout from my pending DUII — resolving the criminal case is what gets the license back.,whether the license action stems from a criminal case,Administrative Law,Professional Licensing,It's a board discipline case over a customer complaint — no criminal charges anywhere.,It's board discipline over a customer complaint — nothing criminal.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Downstream-vs-independent license action; the criminal-case fact redirects the whole matter.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,Business and Corporate,"General (contracts, entities)",Administrative Law,Medicare/Medicaid,"Business and Corporate > General (contracts, entities) || Administrative Law > Medicare/Medicaid","The contract is with the state's Medicaid coordinated-care organization — 235 of our clients are covered through it, so this is a Medicaid provider-network fight.","The contract is with the state Medicaid CCO — 235 clients are covered through it, so it's a Medicaid provider fight.",whether the terminated contract is with a government health program,Business and Corporate,"General (contracts, entities)",It's a private employee-assistance-program contract with a national insurer — no government program involved.,It's a private EAP contract with a national insurer — no government program.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Row 426 verbatim (CareOregon termination); the humans split on exactly this program-identity fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
