condition,condition_desc,scenario_id,boundary_id,opening_query,hidden_fact,expected_final_label,question_matched,follow_up_questions,matched_question,explicit_safety_probe_in_question_set,final_labels,final_exact_present,screening_protocol_rescue
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_custody_safety_01,custody_safety,The other parent has been causing problems and I need advice about my child. I don't know what to do next.,Last week he hit me while I was holding our daughter and said he'd come back. I want an order keeping him away from us.,Family Law > Restraining Orders,True,What is the main problem with the other parent right now? || Do you already have a court order about custody (who the child lives with) or visitation (parenting time)?,What is the main problem with the other parent right now?,False,Family Law > Restraining Orders || Family Law > Domestic Violence,True,
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_custody_safety_02,custody_safety,My ex is fighting me over our custody arrangement and things keep escalating.,The escalation is that she slashed my tires and shows up pounding on my door at night — I feel unsafe and want a protective order.,Family Law > Restraining Orders,True,"Do you already have a court order (paper from a judge) that says who has custody and visits with the child? || What do you need help with most about custody right now? || Are there safety issues, like threats, violence, or stalking?","Are there safety issues, like threats, violence, or stalking?",True,Family Law > Restraining Orders || Family Law > Child Custody/Visitation || Family Law > Custody/Visitation,True,
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_custody_safety_04,custody_safety,I'm divorcing my husband and I'm frightened about how he'll react when the papers arrive.,"He's threatened violence before when I've talked about leaving, and he controls all the money — I want protective orders in place before he's served.",Family Law > Restraining Orders,True,"Has your husband ever threatened you, hit you, or hurt you in any way? || Do you want help getting a court order to stay away (a judge’s order that tells him not to contact you or come near you), especially when he gets the divorce papers?","Has your husband ever threatened you, hit you, or hurt you in any way?",True,Family Law > Restraining Orders || Family Law > General (Divorce/Separation etc.) || Family Law > Domestic Violence,True,
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_custody_safety_06,custody_safety,I adopted my nieces and my ex-partner is forcing visits they're refusing to go to. There's a case number already.,"My ex has two past domestic abuse convictions against me and the behavior is continuing — I want protection for me and the girls, not just a schedule change.",Family Law > Restraining Orders,True,"Does your ex-partner have legal visitation rights with the kids (either as a legal parent or because of a court order)? || Is the adoption final (did a judge sign the adoption order) so you are the kids’ legal parent? || Are you worried about safety (like abuse, threats, stalking, or the kids being harmed) that might mean you need a court order to stay away (restraining order)?","Are you worried about safety (like abuse, threats, stalking, or the kids being harmed) that might mean you need a court order to stay away (restraining order)?",True,Family Law > Domestic Violence || Family Law > Restraining Orders || Family Law > Child Custody/Visitation,True,
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_custody_safety_21,custody_safety,I need to change our parenting plan. Exchanges with my ex have become impossible.,"At the last exchange he shoved me against the car with our son watching and said next time I'd 'go through the windshield.' I want protection, not just a new schedule.",Family Law > Restraining Orders,True,"What do you need most right now? || Are you looking to change the current plan because of issues with how you and your ex exchange the children, or are there other problems with the plan?",What do you need most right now?,False,Family Law > Restraining Orders || Family Law > Child Custody/Visitation || Family Law > Domestic Violence,True,
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_custody_safety_27,custody_safety,My teenage son refuses to go to his mother's and the court order says he has to.,He finally told his therapist why — her boyfriend hits him — and the therapist's mandatory report has DHS interviewing him tomorrow.,Family Law > Juvenile/DHS Issues,True,"What do you want the court to do about the custody/visitation order? || Is your son refusing to go because he feels unsafe at his mother’s home (like abuse, threats, or neglect)?","Is your son refusing to go because he feels unsafe at his mother’s home (like abuse, threats, or neglect)?",True,Family Law > Child Custody/Visitation || Family Law > Juvenile/DHS Issues || Family Law > Domestic Violence,True,
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_custody_safety_46,custody_safety,"My teen daughter told me something about her stepfather that I can't unhear, and her mother calls it a lie.","Police confirmed the abuse and he's been charged — beyond custody, I want a civil case for my daughter as the victim, for her therapy and future.",General Litigation > Child Abuse Victims,False,What did your daughter say her stepfather did? || Where does your daughter live most of the time right now? || Is there a current court order about custody or parenting time (visits)?,,False,,,
S0,S0 = no deterministic screening protocol (post-fix baseline),v2_protective_order_relationship_24,protective_order_relationship,Someone put a tracker on my car. The police found it but say their hands are tied for now.,"The receipts trace it to my husband — we're separated, and I'm told that makes it the family-abuse order process.",Family Law > Restraining Orders,True,"Do you know who put the tracker on your car? || If you know or suspect who did it, who are they to you? || Which kind of legal help are you looking for about the tracker?","If you know or suspect who did it, who are they to you?",False,General Litigation > Stalking Orders || General Litigation > General Torts/Privacy,False,
S1,S1 = deterministic family_safety screening protocol added (PR #34),v2_custody_safety_01,custody_safety,The other parent has been causing problems and I need advice about my child. I don't know what to do next.,Last week he hit me while I was holding our daughter and said he'd come back. I want an order keeping him away from us.,Family Law > Restraining Orders,True,"Has anyone involved in this family or relationship situation done any of the following? || Has anyone involved in the older or vulnerable adult’s care or finances done any of the following? || Did your employer fire, discipline, threaten, reduce your hours, or otherwise act against you after you reported illegal, unsafe, fraudulent, or dishonest conduct?",Has anyone involved in this family or relationship situation done any of the following?,True,Family Law > Restraining Orders || Family Law > Domestic Violence,True,False
S1,S1 = deterministic family_safety screening protocol added (PR #34),v2_custody_safety_02,custody_safety,My ex is fighting me over our custody arrangement and things keep escalating.,The escalation is that she slashed my tires and shows up pounding on my door at night — I feel unsafe and want a protective order.,Family Law > Restraining Orders,True,"Has anyone involved in this family or relationship situation done any of the following? || What do you need help with right now? || Are you looking for help with a current custody arrangement, or are you trying to change an existing one?",What do you need help with right now?,False,Family Law > Restraining Orders,True,True
