row_number,problem_description,current_ai_primary,audit_status,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,audit_justification
2,"I am needing an attorney familiar with the clinical mental health licensure board (OBPLCT) to help guide me through the application and character fitness process. I have surrendered my Oregon license in the past; however, was encouraged to reapply. I am now reapplying but must clear up some of the Question surrounding my background.",Administrative Law / Professional Licensing,primary audit,supported,supported,yes,one_label_sufficient,Administrative Law / Professional Licensing,,Problem is directly about reapplying for and satisfying requirements of a professional license with a state licensing board.
3,"I'm currently $11,000 in debt and am taking out a $10,000 loan and need legal advice pertaining to bankruptcy",Bankruptcy / Personal,primary audit,supported,supported,yes,one_label_sufficient,Bankruptcy / Personal,,User is an individual seeking advice about filing bankruptcy based on personal debt.
4,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Real Property / Construction/Contractors,primary audit,needs_change,needs_change,no,one_label_sufficient,Debtor/Creditor / General (Creditor),,"This is primarily a creditor-side collection problem (unpaid invoices). Although they mention liens/contracting, the core issue is collecting payment rather than a dispute about construction workmanship."
5,"We have paid in full for a wedding at Morrowlight Center in Ashford that has now been closed down by Briar County. We have not received a refund nor any communication on when that will be process or next steps. We cannot select a new venue since we have not been able to get our money back, and as the weeks tick on most venues are now full. We have called and emailed along with the other hundreds of people in this same position, Seeking guidance.",Consumer Law / General,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / General,,Clear consumer vs. business dispute over prepaid services and refund.
6,I have 2 misdemeanor charges From 2018 That I need to have expunged.,Criminal Law / Expunction,primary audit,supported,supported,yes,one_label_sufficient,Criminal Law / Expunction,,Direct request to clear/seal criminal record.
7,I haven't been financially able to pay my credit card debt to Bank of America and received a summons on June 15th.,Debtor/Creditor / General (Debtor),primary audit,supported,supported,yes,one_label_sufficient,Debtor/Creditor / General (Debtor),,Debt nonpayment with legal action/summons fits debtor defense.
8,"I was served a petition for custody and parenting time and child support. The father of my child wants parenting time. He lives in another state. I have 30 days to ""appear"" in this case. I need to file and show proof that his lawyer was formally served. I need to know what to expect and some advice what I should do. My daughter is 14 and does not want to be forced to be with her dad. She will be 15 in August. I know she has rights too.",Family Law / Child Custody/Visitation,two labels supported,supported,supported,yes,two_labels_supported,Family Law / Child Custody/Visitation,Family Law / Child Support/Modification,"Text raises both custody/parenting-time and child-support claims in the filed petition, supporting two distinct family-law subissues."
9,"I was assaulted. Cops were called for the assault. I went to er I’m ambulance after the police arrived and took my statement. The police falsified the statement, the report and did not include the witnesses statement. The police left out their body cam footage of the interview and left out the video footage of the assault. (Should be able to supena from the company the assault happened at) Before sending the case to the DA the police mixed up my name, address and number giving the DA no way to get ahold of me. I’ve provided proof that I still have a concussion and seeing medical professionals regarding the assault. The police falsified the report by leaving out information, falsifying my statement, and not mentioning the assault at all instead charged the attacker with harassment (a false charge) the man came out of no where and attacked me hitting me in the head repeatedly until I blacked out. The police seen this on camera.
Need aggressive lawyer",General Litigation / Actions Against Police,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Actions Against Police,,"Primary grievance is against police conduct and reporting, aligning with civil action against police/department."
10,"I am a writer, but am not represented by an agent, manager, or attorney. My current project, a fantasy/adventure trilogy for young adults has already generated tremendous interest, and I need very much to ask someone many Question about intellectual property, copyright, and the creation of a specialty asset trust to manage the various brands and licensing opportunities that will spin off of the books.",Intellectual Property / Trademark/Copyright,two labels supported,uncertain,uncertain,yes,two_labels_supported,Intellectual Property / Trademark/Copyright,Wills & Trusts / Living Trusts,"IP/copyright is clearly supported; the trust component appears to be a separate requested service (creating an asset trust), which fits estate-planning tools, though details are limited—hence primary label is not clearly exclusive."
11,We need an immigration lawyer for my husband because we want to look into applying for legal status for him.,International Law / Gen. Immigration/Visas,primary audit,supported,supported,yes,one_label_sufficient,International Law / Gen. Immigration/Visas,,Standard immigration/legal status request.
12,Hours was deleted from my pay and when I said something about it to the manager I was terminated,Labor & Employment / Wage and Hour Claims,two labels supported,supported,needs_change,yes,two_labels_supported,Labor & Employment / Wage and Hour Claims,Labor & Employment / Wrongful Discharge,"Wage issue is clear; termination after complaint adds a distinct potential wrongful-discharge/retaliation claim, so two labels are supported and the single primary as given is incomplete."
13,"I am seeking a consultation for a lawyer in regards to injuries I got on the job that I feel were preventable if my supervisor had listened to me. It wasn't a sudden onset injury but developed over time, I went to my lead when it became obvious something was wrong. He blew it off saying I was just tired. After a couple months I went back to him again complaining of pain, he blew it off. Over 18 months I went to him 5 times before he told me I needed a doctor's note, I went to the doctor the next day and was immediately put on light duty. My supervisor tried saying that I didn't come to him ""officially"" but there's no ""official"" procedure. There's a giant sign in the breakroom saying ""if you are injured, no matter small, tell your supervisor."" Eventually I was moved to another department and after 30 days was laid off with 43 other people. I have had 2 surgeries, with another on the way. Am in constant pain, have limitations on my primary arm and more. Thank you",Workers' Comp / State,primary audit,supported,supported,yes,one_label_sufficient,Workers' Comp / State,,Classic state workers’ compensation claim for an on-the-job injury/occupational condition.
14,"My landlord is refusing to fix a sewer leak issue, along with standing water under my home that is causing mold, and rodents that were living in my vents. Now she's trying to say it's my fault and I need to pay for everything, even though they are admitting the issues and know what's going on, as they are trying to get the builders the fix the issues. They keep lying to me and now for over 2 weeks I've had terrible sewer leaks they won't fix or even entertain. They said those leaks have fixed themselves all on their own, and they can't be leaking anymore.",Real Property / Tenant (Residential),two labels supported,supported,supported,yes,two_labels_supported,Real Property / Tenant (Residential),General Litigation / Mold Claims,Primary landlord-tenant repair dispute is clear; explicit mold conditions also support a distinct mold-claim framing if damages/health impacts are pursued.
15,"I owed IRS $273,393.00 because I withdrew all of my IRA accounts due to a scam on the internet. The scammers posed as Apple tech support and Fedelity Senior Fraud analyst instructed me to close all of my accounts and deposit them to secure separate accounts where the hackers cannot reach. After they can revalidate my identity then I can move the money back . I did not receive a penny from the scammers. I heard from a representative from IRS today informing me the balance due on my Federal tax return is now $279,498.57. I desperately need a tax attorney that can help me reduce taxes owed because I do not have any income besides our social security payments.",Taxation / Personal Income,primary audit,supported,supported,yes,one_label_sufficient,Taxation / Personal Income,,This is an individual federal tax debt/dispute arising from reported income on an IRA withdrawal.
16,Need to get an Estate Will created for my 80 Mother. She currently doesn't have one.,"Wills & Trusts / General (Wills, Trusts, Estates)",primary audit,supported,supported,yes,one_label_sufficient,"Wills & Trusts / General (Wills, Trusts, Estates)",,Straightforward estate planning (drafting a will).
17,administrative law dmv licensure,Administrative Law / DMV (Non-Criminal),primary audit,uncertain,uncertain,yes,uncertain,Administrative Law / DMV (Non-Criminal),,"DMV administrative licensing is the best fit given the minimal text, but the lack of detail makes support uncertain."
18,"Need an attorney to discuss filing Bankruptcy. I am currently low-income and own my home (making mortgage payments), but do not own any other secured property.",Bankruptcy / Personal,primary audit,supported,supported,yes,one_label_sufficient,Bankruptcy / Personal,,Individual considering bankruptcy filing.
19,"Looking for low cost help in forming a 501 non-profit to register in Oregon for a small religious organization. We have bylaws, three members for a board, and the state forms filled out, but would like someone to look over everything to make sure it's in order, and, if necessary, make edits to our documents.",Business & Corporate / Non-Profit,primary audit,supported,supported,yes,one_label_sufficient,Business & Corporate / Non-Profit,,Nonprofit formation/document review is directly requested.
20,"My vehicle (1998 Dodge Dakota, dark green with a white canopy and no license plate) got into a really bad accident and was towed by a guy named Sam. Had to go to the hospital due to the injuries from the accident, and I wasn't able to grab my valuables or personal property from the vehicle before it was towed. I tried to call the company later that day and spoke with Sam again- he said that the only way I was able to retrieve my property was by paying him the Tow Fee which was a total of $440.00 and by providing him with the title to the vehicle. The vehicle was totaled and I am only requesting to retrieve my property (my cell phone, tools, and other personal property). I refused to pay him $440.00 for personal property and would like assistance with this matter.",Consumer Law / Vehicle Towing,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Vehicle Towing,,Dispute with towing company over release of property/fees fits vehicle towing consumer issue.
21,I need help filing all documents for relief of sex offender registration through the Oregon Psychiatric Security Review Board. I'm wondering how much that would cost me.,Criminal Law / Relief From Sex Offender Registration,primary audit,supported,supported,yes,one_label_sufficient,Criminal Law / Relief From Sex Offender Registration,,Direct request for sex offender registry relief process.
22,"Being sued by Midland Credit for roughly $2,500. Attempted to settle but Vernon, Pike, & Tolland, PC are saying they can’t offer any settlements lower than 90% of the amount owed. What steps can I take to reach fair settlement? My summons was received today and says Subject to mandatory arbitration. How might I go about that process? Thank you for your help.",Debtor/Creditor / Debt Counseling/Workouts,primary audit,needs_change,needs_change,no,one_label_sufficient,Debtor/Creditor / General (Debtor),,"Current label (Debt Counseling/Workouts) is less accurate because the user is already in active litigation (summons, arbitration) and needs defense/strategy for being pursued on the debt."
23,"I am looking for a lawyer to help me get on my sons birth certificate ,also full custody and establishing paternity with my son.",Family Law / Paternity,two labels supported,supported,supported,yes,two_labels_supported,Family Law / Paternity,Family Law / Child Custody/Visitation,"Current primary (Paternity) is supported, but the request for full custody is a distinct additional family-law issue, so two labels are supported."
24,"My mother was transported to St. Elora hospital in Redmond. She was stabilized for the reason admitted. She then fell out of the bed in the ER at 1222 am, hitting her head. She broke two vertebrae, cracked her skull and split her head open. The wound was substantial and required a blood transfusion later. She was found 10 minutes later without a pulse. They performed CPR and life flighted her to Alderstone University Hospital. She had a DNR order in place. The doctors at Alderstone University Hospital said she was likely paralyzed from the neck down and was without oxygen to the brain for the time on the floor in the ER. How can an 85 year old woman, who is confined to a wheel chair ""fall"" out of an ER bed and die? I need help in making the hospital pay for their incompetence and wrongful death, as well as doing CPR against her wishes (which also caused several broken ribs).",General Litigation / Wrongful Death,two labels supported,supported,supported,yes,two_labels_supported,General Litigation / Wrongful Death,General Litigation / Malpractice-Medical,"Wrongful death is clearly implicated, but the factual basis is medical negligence, supporting an additional malpractice label."
25,"I have an idea for an improvement on an existing product and would like assistance in assessing patentability. To the best of my ability, I have conducted a patent search and did not see anything comparable. I would like to talk with an IP attorney about my idea and get guidance on the likelihood of a provisional patent being awarded.",Intellectual Property / Patent (Reg Patent Attys Only),primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Patent (Reg Patent Attys Only),,Text squarely concerns patentability and patent filing strategy; single label sufficient.
26,"Immigration issue about my legal status and working visa, mainly about H1B and E2.",International Law / Gen. Immigration/Visas,primary audit,supported,supported,yes,one_label_sufficient,International Law / Gen. Immigration/Visas,,Direct fit for immigration/visa assistance; no second distinct issue stated.
27,Possible wrongful termination and/or discrimination,Labor & Employment / Wrongful Discharge,primary audit,uncertain,uncertain,yes,uncertain,Labor & Employment / Wrongful Discharge,Labor & Employment / Discrimination,"With only a bare statement (“Possible wrongful termination and/or discrimination”), it’s unclear whether one or both are truly supported; both are plausible, but details are insufficient for high confidence."
