scenario_id,boundary_id,direction,flip_type,mechanism,opening_query,initial_category,initial_subcategory,final_category,final_subcategory,plausible_initial_labels,hidden_fact,fact_as_answer,relevant_question_topic,counterfactual_category,counterfactual_subcategory,counterfactual_hidden_fact,counterfactual_fact_as_answer,grounding_source_rows,grounding_note,safety_sensitive,vetting_note,generator_model,candidate_status
v2_benefit_agency_06,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My daughter keeps getting in trouble at school and I think it's connected to her struggles.,Administrative Law,Student Rights,Administrative Law,Schools — Special Needs Education,Administrative Law > Student Rights || Administrative Law > Schools — Special Needs Education,"She has diagnosed ADHD and dyslexia, and the school refuses to evaluate her for an IEP — the 'trouble' is them disciplining her disability.",She has diagnosed ADHD and dyslexia and they refuse to evaluate her for an IEP — they're disciplining her disability.,whether a disability underlies the discipline and services were denied,Administrative Law,Student Rights,No disability involved — they searched her phone and locker without cause and suspended her without any hearing.,No disability — they searched her phone and locker without cause and suspended her with no hearing.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,"Row 429 verbatim ('past experiences affecting mental health, trouble at school'); diagnosis fact selects the IEP route.","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,Business and Corporate,"General (contracts, entities)",Administrative Law,Medicare/Medicaid,"Business and Corporate > General (contracts, entities) || Administrative Law > Medicare/Medicaid","The contract is with the state's Medicaid coordinated-care organization — 235 of our clients are covered through it, so this is a Medicaid provider-network fight.","The contract is with the state Medicaid CCO — 235 clients are covered through it, so it's a Medicaid provider fight.",whether the terminated contract is with a government health program,Business and Corporate,"General (contracts, entities)",It's a private employee-assistance-program contract with a national insurer — no government program involved.,It's a private EAP contract with a national insurer — no government program.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Row 426 verbatim (CareOregon termination); the humans split on exactly this program-identity fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_13,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,I was let go unfairly and now I have no income coming in at all. I need legal help this week.,Labor & Employment,Wrongful Discharge - Employee,Administrative Law,Unemployment,Labor & Employment > Wrongful Discharge - Employee || Administrative Law > Unemployment,The urgent piece is my unemployment denial — my appeal hearing with the state is Tuesday and I can't do it alone.,The urgent thing is the unemployment denial — my state appeal hearing is Tuesday.,whether the immediate need is the state benefits hearing,Labor & Employment,Wrongful Discharge - Employee,"Unemployment came through fine — what I want is to sue over the firing, which happened the day after I testified for a coworker.","Unemployment came through — I want to sue over the firing, which came right after I testified for a coworker.","human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,"Mirror of 12: same grievance, immediate-relief fact selects agency hearing vs employment suit (paper's employment_admin failure mode).","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_26,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The pharmacy board flagged my dispensing records and suspended me while they 'investigate'.,Administrative Law,Professional Licensing,Criminal Law,White Collar Crime,Administrative Law > Professional Licensing || Criminal Law > White Collar Crime,Federal agents served a subpoena on the pharmacy the same week — my lawyer friend says the parallel criminal fraud investigation is the bigger danger.,Federal agents subpoenaed the pharmacy the same week — the parallel criminal fraud investigation is the real danger.,whether a parallel criminal investigation exists,Administrative Law,Professional Licensing,"No criminal anything — it's a records-audit dispute over documentation standards, and I need the suspension lifted.",Nothing criminal — it's a records-audit dispute and I need the suspension lifted.,"human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,Parallel-proceedings fact changes defense priority entirely.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_44,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The housing authority terminated our rental assistance over paperwork we never received.,Administrative Law,Welfare,Real Property,Section 8/HUD,Administrative Law > Welfare || Real Property > Section 8/HUD,"It's our Section 8 voucher — the termination skipped the informal hearing HUD rules require, and our landlord starts eviction the day the subsidy stops.","It's our Section 8 voucher — they skipped the required informal hearing, and eviction starts the day the subsidy stops.",whether Section 8/HUD procedures govern the termination,Administrative Law,Welfare,"It's the state's emergency rent-assistance program, not HUD — a state-agency appeal with its own deadline.","It's the state emergency rent program, not HUD — a state appeal with its own deadline.","human_disagreements rows 426, 429, 83",Third batch.,false,Program identity selects the HUD-specific label the runtime taxonomy provides.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_46,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,"The state overpaid me pandemic unemployment through their own error and now wants $23,000 with penalties.",Administrative Law,Unemployment,Bankruptcy,Personal,Administrative Law > Unemployment || Bankruptcy > Personal,"I lost my waiver appeal — the debt is final, collection has begun, and with my other debts the realistic question is whether bankruptcy reaches an agency overpayment.",The waiver appeal is lost and collection's begun — the real question now is whether bankruptcy reaches this overpayment along with my other debts.,whether the agency debt is final leaving only debt-relief options,Administrative Law,Unemployment,"The waiver window is still open — agency error qualifies, and the appeal deadline is in three weeks.","The waiver window's open — agency error qualifies, and I have three weeks.","human_disagreements rows 426, 429, 83",Third batch.,false,Appeal-exhausted posture converts agency practice into debt relief.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_61,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The state suspended my foster-parent certification over an allegation that was withdrawn the next day.,Administrative Law,General (State),Family Law,Juvenile/DHS Issues,Administrative Law > General (State),They also removed our foster daughter of two years during the suspension — getting her placement back through the dependency court is the fight that matters most.,They removed our foster daughter of two years during the suspension — her placement is the fight that matters.,whether a child's placement is at stake beyond the certification,Administrative Law,General (State),"No child is placed with us right now — it's purely the certification record, and the withdrawn allegation should never have triggered suspension.",No placement right now — it's the certification record itself.,"human_disagreements rows 426, 429, 83",Fourth batch.,false,Placement-at-stake fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_63,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,Our church's food pantry got shut down by an inspector over rules we've never heard of.,Administrative Law,General (Local/Municipal),Business and Corporate,Non-Profit,Administrative Law > General (Local/Municipal) || Business and Corporate > Non-Profit,The citation hinges on our nonprofit status paperwork — our 501(c)(3) food-handling exemption lapsed when a filing was missed; restoring the nonprofit compliance stack reopens us.,It hinges on our lapsed 501(c)(3) filings — restore the nonprofit compliance stack and we reopen.,whether nonprofit-status lapses drive the closure,Administrative Law,General (Local/Municipal),"Our filings are current — the inspector applied restaurant rules to a charity pantry, and the administrative appeal is the fight.",Filings are current — he applied restaurant rules to a charity pantry. Appeal it.,"human_disagreements rows 426, 429, 83",Fourth batch.,false,Compliance-lapse vs misapplied-code.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_01,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,I'm starting an organization with two friends and we need help setting it up properly.,Business and Corporate,"General (contracts, entities)",Business and Corporate,Non-Profit,"Business and Corporate > General (contracts, entities) || Business and Corporate > Non-Profit",It's a charity for veterans' housing — we need 501(c)(3) status so donations are deductible.,It's a veterans' housing charity — we need 501(c)(3) status for deductible donations.,whether the entity is charitable/nonprofit or for-profit,Business and Corporate,"General (contracts, entities)",It's a for-profit landscaping company — we need an LLC and an operating agreement between the three of us.,It's a for-profit landscaping company — LLC plus operating agreement for the three of us.,"human_disagreements rows 66, 125, 126, 33; taxonomy Business & Corporate descriptions","Business & Corporate routing turns on entity/industry facts: nonprofit status (501c3), liquor licensing (Restaurant/OLCC), franchise agreements, securities offerings, marijuana licensing, or a sale/dissolution transaction. Rows 66/125/126 all split because the description omitted the entity's nature. 'I need a business lawyer' is the generic opening; the entity fact routes it.",false,Nonprofit formation has distinct regulation and its own label; 'organization' conceals which.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_06,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,Our board got a letter from a lawyer about the site next to our property and we don't know his angle.,Business and Corporate,"General (contracts, entities)",Business and Corporate,Environmental,"Business and Corporate > General (contracts, entities) || Business and Corporate > Environmental || Business and Corporate > Non-Profit",The site is a Superfund cleanup area and the letter concerns contamination migration — this is environmental liability territory.,The site is a Superfund area and the letter is about contamination migration — environmental liability territory.,whether environmental contamination liability is the subject,Business and Corporate,"General (contracts, entities)",The letter turned out to be a routine easement-purchase offer for utility access across our lot.,It turned out to be a routine easement purchase offer for utility access.,"human_disagreements rows 66, 125, 126, 33; taxonomy Business & Corporate descriptions","Business & Corporate routing turns on entity/industry facts: nonprofit status (501c3), liquor licensing (Restaurant/OLCC), franchise agreements, securities offerings, marijuana licensing, or a sale/dissolution transaction. Rows 66/125/126 all split because the description omitted the entity's nature. 'I need a business lawyer' is the generic opening; the entity fact routes it.",false,"Row 125 verbatim (nonprofit board, Superfund site, unknown intentions); contamination fact routes it.","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
