canonical_source_row,source_row_aliases,problem_description,human_jaccard,human_label_f1,jackie_labels,qs_labels,gpt52_labels,gemini31_pro_labels,deepseek_v4_labels,five_rater_votes
128,128,we need an attorney who will complete the foreclosure on a business. We have filed the notice of liens and neither party answered. We sold my husbands business in 2016 on a sales contract. the other party has not made any payments in 2021 so we filed for foreclosure on the security in the sales contract.,0.0,0.0,"Bankruptcy > Business || Business & Corporate > General (Contracts, Business, Organization) || Debtor/Creditor > General (Creditor)",Business & Corporate > Litigation,Business & Corporate > Sale of Business || Real Property > Foreclosure,Business & Corporate > Litigation || Debtor/Creditor > General (Creditor),Real Property > Foreclosure,"Real Property > Foreclosure [2/5] || Business & Corporate > Litigation [2/5] || Debtor/Creditor > General (Creditor) [2/5] || Business & Corporate > Sale of Business [1/5] || Bankruptcy > Business [1/5] || Business & Corporate > General (Contracts, Business, Organization) [1/5]"
196,196,"I have been charged with four misdemeanors after protecting my nephew from a verbal and physical altercation with someone he used to work with. I simply yelled at both young men to nock it off and go the fuck home and the other man turned and came at me and started yelling and threatening me and he got 3 inches from my face and when yelling he was spitting on me so I shoved him away from me, and I told him go fucking home, leave us alone. He did then four days later cops showed up at my front door at 9 p.m and took me into custody, processed and held me until 1 a.m. Now I am being charged with assault, strangulation and two other charges. I at the time had two tore rotator cuffs and neouropathy in my hands. I cannot even hold a coffee cup yet alone try to strangle someone. I did yell and I did shove him, but thats it. I am being charged and seriously need help. I am 63-year-old, and I am low-income.",0.0,0.0,Criminal Law > Lessor Felony,Criminal Law > Misdemeanor,Criminal Law > Lessor Felony || Criminal Law > Major Felony || Criminal Law > Misdemeanor,Criminal Law > Misdemeanor,Criminal Law > Lessor Felony || Criminal Law > Misdemeanor,Criminal Law > Misdemeanor [4/5] || Criminal Law > Lessor Felony [3/5] || Criminal Law > Major Felony [1/5]
332,332,I was wrongfully terminated from you homeless shelter for telling my boss co workers were being negligent. She got angry knowing I have dislexia and fired me. No I am behind on rent pge and other bills. I left a good job to work there,0.0,0.0,Labor & Employment > Wrongful Discharge,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > Discrimination || Labor & Employment > Whistleblowers,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > Whistleblowers,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > Whistleblowers,Labor & Employment > Whistleblowers || Labor & Employment > Wrongful Discharge,Labor & Employment > Whistleblowers [4/5] || Labor & Employment > ADA (Disability) Act Issues [3/5] || Labor & Employment > Wrongful Discharge [2/5] || Labor & Employment > Discrimination [1/5]
66,66;139,Looking for an attorney/lawyer that specializes in small business restaurant and hospitality. Also have a need for investment property/realestate law services. general consulting and litigation services.,0.25,0.4,Business & Corporate > Restaurant/OLCC || Real Property > General (residential),"Business & Corporate > General (Contracts, Business, Organization) || Business & Corporate > Restaurant/OLCC || Real Property > General (Commercial)","Business & Corporate > General (Contracts, Business, Organization) || Business & Corporate > Restaurant/OLCC || Real Property > General (Commercial)","Business & Corporate > General (Contracts, Business, Organization) || Business & Corporate > Restaurant/OLCC || Real Property > General (Commercial)",Business & Corporate > Restaurant/OLCC,"Business & Corporate > Restaurant/OLCC [5/5] || Real Property > General (Commercial) [3/5] || Business & Corporate > General (Contracts, Business, Organization) [3/5] || Real Property > General (residential) [1/5]"
213,213,"My husband was on Alderstone Life disability short term to long-term. They gave us overpayments and now want us to repay over $4000 to them. We were receiving barely anything to live off of from them and now they want us to pay it all back. They sent us to collections without talking to us. I’ve requested multiple times for them to send us all the information and we never received stuff in the mail but just received another collections letter. We could’ve received food stamps, and Oregon health plan if they paid us the right amount, qualifying for other programs also.",0.25,0.4,Debtor/Creditor > General (Debtor) || General Litigation > Insurance (Health/Disability),Consumer Law > Insurance || Debtor/Creditor > General (Debtor) || Labor & Employment > Pensions/Benefits/Erisa,Debtor/Creditor > Collection/Harassment || Debtor/Creditor > General (Debtor) || Labor & Employment > Pensions/Benefits/Erisa,Debtor/Creditor > Collection/Harassment || Debtor/Creditor > General (Debtor) || General Litigation > Insurance (Health/Disability),Consumer Law > Insurance || Debtor/Creditor > General (Debtor),Debtor/Creditor > General (Debtor) [5/5] || Debtor/Creditor > Collection/Harassment [2/5] || Labor & Employment > Pensions/Benefits/Erisa [2/5] || General Litigation > Insurance (Health/Disability) [2/5] || Consumer Law > Insurance [2/5]
22,22;201,"Being sued by Midland Credit for roughly $2,500. Attempted to settle but Vernon, Pike, & Tolland, PC are saying they can’t offer any settlements lower than 90% of the amount owed. What steps can I take to reach fair settlement? My summons was received today and says Subject to mandatory arbitration. How might I go about that process? Thank you for your help.",0.3333333333333333,0.5,Debtor/Creditor > General (Debtor),Debtor/Creditor > Collection/Harassment || Debtor/Creditor > Debt Counseling/Workouts || Debtor/Creditor > General (Debtor),Debtor/Creditor > Debt Counseling/Workouts || Debtor/Creditor > General (Debtor),Debtor/Creditor > Debt Counseling/Workouts || Debtor/Creditor > General (Debtor),Debtor/Creditor > General (Debtor),Debtor/Creditor > General (Debtor) [5/5] || Debtor/Creditor > Debt Counseling/Workouts [3/5] || Debtor/Creditor > Collection/Harassment [1/5]
46,46;116,"My ex-husband has filed for Chapter 7 bankruptcy. My divorce lawyer had said even with the division of debts in the decree, including those not in my name, I could still be liable for his debts and pursued by his creditors in the future. I am seeking clarity, and any relevant assistance to protect my assets.",0.3333333333333333,0.5,Bankruptcy > Personal || Bankruptcy > Pro Se Coaching,Bankruptcy > Other || Bankruptcy > Personal,Bankruptcy > Other || Debtor/Creditor > General (Debtor),Bankruptcy > Creditors || Bankruptcy > Other || Debtor/Creditor > General (Debtor),Bankruptcy > Creditors,Bankruptcy > Other [3/5] || Debtor/Creditor > General (Debtor) [2/5] || Bankruptcy > Creditors [2/5] || Bankruptcy > Personal [2/5] || Bankruptcy > Pro Se Coaching [1/5]
74,74,Need Civil law attorney to make a tort report claim and lawsuit for unlawful arrested detention on North Quay Police Department when they beat me up,0.3333333333333333,0.5,General Litigation > Tort Claims Act,General Litigation > Actions Against Police || General Litigation > Civil Rights || General Litigation > Tort Claims Act,General Litigation > Actions Against Police || General Litigation > Tort Claims Act,General Litigation > Actions Against Police || General Litigation > Tort Claims Act,General Litigation > Actions Against Police,General Litigation > Tort Claims Act [4/5] || General Litigation > Actions Against Police [4/5] || General Litigation > Civil Rights [1/5]
125,125,I am a member of a board at a local non-profit related to the super fund site. We were contacted by the lawyer of a local company. He is insisting on a meeting. Not sure what the real intention of the meeting is. I can send you his email. Might need an environmental lawyer. Or I do t know what type of lawyer.,0.3333333333333333,0.5,Business & Corporate > Non-Profit,Business & Corporate > Environment || Business & Corporate > Non-Profit || Real Property > Environmental,Business & Corporate > Environment || Business & Corporate > Non-Profit,Business & Corporate > Environment || Business & Corporate > Non-Profit,Business & Corporate > Environment,Business & Corporate > Non-Profit [4/5] || Business & Corporate > Environment [4/5] || Real Property > Environmental [1/5]
212,212,"There was a car accident in which I was involved and had no car insurance. My car was destroyed nonfunctional anymore while the other person‘s car remaining without any visible damage. After this I didn’t got any contact with the person from the crash or anything. I couldn’t get hold of my mail due to some housing instability issues I have been going through this months, but today September 10th I received my mail from all this time and saw a letter, explaining I own $10,000 due to the car crash, I am hoping to see what are the options to investigate if this bill can go lower, if any payment plans could be done and I need a lawyer for legal advice.",0.3333333333333333,0.5,Debtor/Creditor > General (Debtor) || General Litigation > Property Damage,Debtor/Creditor > Debt Counseling/Workouts || Debtor/Creditor > General (Debtor),Debtor/Creditor > Debt Counseling/Workouts || General Litigation > Personal Injury || General Litigation > Property Damage,Debtor/Creditor > Debt Counseling/Workouts || General Litigation > Property Damage,Debtor/Creditor > General (Debtor),Debtor/Creditor > Debt Counseling/Workouts [3/5] || General Litigation > Property Damage [3/5] || Debtor/Creditor > General (Debtor) [3/5] || General Litigation > Personal Injury [1/5]
