run,scenario_id,boundary_id,direction,flip_type,mechanism,safety_sensitive,opening_query,hidden_fact,expected_initial_label,expected_final_label,initial_labels,initial_category_present,initial_exact_present,plausible_initial_present,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_labels,final_category_present,final_exact_present,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,expected_final_exact_lost,provider_error,latency_ms
final_run_1_20260718T203325Z,v2_benefit_agency_01,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My benefits got cut off last month and nobody at the office will explain anything.,"It's my SSI from the Social Security office, not the state assistance.",Administrative Law > Welfare,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD || Administrative Law > Unemployment,True,False,True,3,Which benefits were cut off? || Did you get a written notice or letter saying why and how to appeal? || What kind of benefits were cut off?,True,What kind of benefits were cut off?,,,,True,True,False,False,False,,41751
final_run_1_20260718T203325Z,v2_benefit_agency_02,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The state cut our family's assistance and we can't feed four kids on what's left.,What they actually terminated is the kids' OHP health coverage — the food benefits are fine.,Administrative Law > Welfare,Administrative Law > Medicare/Medicaid,Administrative Law > Welfare || General Litigation > Health Law/HIPAA || Administrative Law > Medicare/Medicaid,True,True,True,2,Which benefit did the state cut? || Did you get a written notice about the cut (with a date and appeal instructions)?,True,Which benefit did the state cut?,Administrative Law > Medicare/Medicaid || Administrative Law > Welfare,True,True,True,True,False,False,False,,33093
final_run_1_20260718T203325Z,v2_benefit_agency_03,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I'm a retired public employee and there's a serious problem with my retirement money.,"The problem comes from my divorce — the decree divides my PERS with my ex, and the division order was never done right.",Administrative Law > PERS,Family Law > QDROs,Administrative Law > PERS || Labor & Employment > Public Employees - Employee || Labor & Employment > General,True,True,True,3,"Which type of retirement benefit is this about? || What went wrong with your retirement money? || Are you having a problem with your retirement money because of how you were treated as a public employee, or is it a problem with the retirement system itself?",True,Which type of retirement benefit is this about?,Administrative Law > PERS || Family Law > QDROs || Family Law > General (Divorce/Separation etc.),True,True,False,False,True,True,False,,32649
final_run_1_20260718T203325Z,v2_benefit_agency_04,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The VA is giving my husband the runaround and we've hit a wall dealing with them.,It's about our VA home loan — the lender says the VA guarantee paperwork is defective and closing is frozen.,Administrative Law > Military/Veterans,"Real Property > Government Loans (VA, FHA, etc.)",Administrative Law > Military/Veterans || Administrative Law > Social Security/SSI,True,True,True,3,What kind of VA problem is this mostly about? || Where are you in the VA process right now? || Do you have a recent VA decision or denial letter in writing?,True,What kind of VA problem is this mostly about?,"Real Property > Government Loans (VA, FHA, etc.)",True,True,False,False,True,True,False,,42022
final_run_1_20260718T203325Z,v2_benefit_agency_05,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The school is failing my son and I've exhausted every meeting and email I can think of.,"He was suspended for an article he wrote in the student paper criticizing the principal — this is about his speech rights, not services.",Administrative Law > Schools — Special Needs Education,Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights,True,True,True,3,Which of these best fits the problem with the school? || Is your son receiving special education services? || Does your son have a disability or special needs?,True,Which of these best fits the problem with the school?,Administrative Law > Student Rights || Administrative Law > Schools — Special Needs Education || General Litigation > Libel/Slander/Defamation,True,True,True,True,False,False,False,,55139
final_run_1_20260718T203325Z,v2_benefit_agency_06,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My daughter keeps getting in trouble at school and I think it's connected to her struggles.,"She has diagnosed ADHD and dyslexia, and the school refuses to evaluate her for an IEP — the 'trouble' is them disciplining her disability.",Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights || Family Law > Juvenile/DHS Issues,True,True,True,3,What kind of trouble is your daughter having at school? || Is your daughter's trouble at school related to a disability or a condition that requires special education services? || Does your daughter have a 504 plan or an Individualized Education Program (IEP) (a special education plan) at school?,True,Is your daughter's trouble at school related to a disability or a condition that requires special education services?,Administrative Law > Schools — Special Needs Education || Family Law > Juvenile/DHS Issues,True,True,True,True,False,False,False,,60116
final_run_1_20260718T203325Z,v2_benefit_agency_07,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,A government office rejected my paperwork for the third time and I'm losing my mind.,It's the FAA — they keep rejecting my experimental aircraft registration on contradictory grounds.,Administrative Law > General (State),Administrative Law > General (Federal),Administrative Law > General (State) || Administrative Law > General (Federal) || Administrative Law > General (Local/Municipal),True,True,True,3,Which kind of government office is it? || What is the paperwork about? || Which government office rejected your paperwork?,True,Which government office rejected your paperwork?,,,,True,True,False,False,False,,49397
final_run_1_20260718T203325Z,v2_benefit_agency_08,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My professional life is being destroyed by an accusation at work that isn't true.,"The nursing board opened a license investigation over the accusation — that's the part that can end my career, beyond the job itself.",Labor & Employment > General - Employee,Administrative Law > Professional Licensing,Labor & Employment > General - Employee || Labor & Employment > Wrongful Discharge - Employee || General Litigation > Libel/Slander/Defamation,True,True,True,3,"Because of the accusation, what has happened at work so far? || What is the accusation mostly about? || What type of worker are you, and who do you work for?",False,,,,,False,False,False,False,False,,45267
final_run_1_20260718T203325Z,v2_benefit_agency_09,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My contractor's license got suspended and I can't work. This is how I feed my family.,The suspension is automatic fallout from my pending DUII case — fixing the criminal case is what restores the license.,Administrative Law > Professional Licensing,Criminal Law > DUII/DWS,Administrative Law > Professional Licensing || Business and Corporate > Litigation || Administrative Law > General (State),True,True,True,2,"Was your license suspended because of a complaint or lawsuit? || Do you want to get your license back, or do you want to sue someone?",True,Was your license suspended because of a complaint or lawsuit?,Criminal Law > DUII/DWS || Administrative Law > Professional Licensing,True,True,False,False,True,True,False,,24570
final_run_1_20260718T203325Z,v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,"The contract is with the state's Medicaid coordinated-care organization — 235 of our clients are covered through it, so this is a Medicaid provider-network fight.","Business and Corporate > General (contracts, entities)",Administrative Law > Medicare/Medicaid,"Business and Corporate > Litigation || Business and Corporate > General (contracts, entities) || General Litigation > Health Law/HIPAA",True,True,True,3,"Who was the contract with? || Was the contract mainly for providing services (your counseling work) or for selling goods? || What do you want most: to keep the contract, or to get money because they ended it?",True,Who was the contract with?,"Administrative Law > Medicare/Medicaid || Business and Corporate > Litigation || Business and Corporate > General (contracts, entities)",True,True,False,False,True,True,False,,136296
