scenario_id,boundary_id,direction,flip_type,safety_sensitive
v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,false
v2_benefit_agency_13,benefit_agency,BtoA,routing_disambiguation,false
v2_business_entity_specifics_05,business_entity_specifics,AtoB,routing_disambiguation,false
v2_business_entity_specifics_10,business_entity_specifics,AtoB,routing_disambiguation,false
v2_business_entity_specifics_43,business_entity_specifics,AtoB,routing_disambiguation,false
v2_capacity_and_protection_01,capacity_and_protection,AtoB,routing_disambiguation,false
v2_capacity_and_protection_03,capacity_and_protection,AtoB,routing_disambiguation,false
v2_capacity_and_protection_64,capacity_and_protection,AtoB,routing_disambiguation,false
v2_charge_severity_02,charge_severity,BtoA,routing_disambiguation,false
v2_charge_severity_03,charge_severity,AtoB,routing_disambiguation,false
v2_charge_severity_63,charge_severity,AtoB,routing_disambiguation,true
v2_consumer_service_route_08,consumer_service_route,AtoB,routing_disambiguation,false
v2_creditor_judgment_bankruptcy_02,creditor_judgment_bankruptcy,AtoB,routing_disambiguation,false
v2_criminal_posture_01,criminal_posture,AtoB,routing_disambiguation,false
v2_criminal_posture_45,criminal_posture,AtoB,routing_disambiguation,false
v2_custody_safety_63,custody_safety,AtoB,label_change,true
v2_debt_posture_10,debt_posture,AtoB,routing_disambiguation,false
v2_debt_posture_25,debt_posture,AtoB,routing_disambiguation,false
v2_discharge_reason_19,discharge_reason,AtoB,label_change,false
v2_divorce_context_10,divorce_context,AtoB,routing_disambiguation,false
v2_divorce_context_45,divorce_context,AtoB,routing_disambiguation,false
v2_divorce_context_46,divorce_context,AtoB,routing_disambiguation,false
v2_employment_paper_and_pay_04,employment_paper_and_pay,AtoB,routing_disambiguation,false
v2_estate_posture_46,estate_posture,AtoB,routing_disambiguation,false
v2_government_defendant_21,government_defendant,AtoB,label_change,false
v2_home_loan_posture_25,home_loan_posture,AtoB,routing_disambiguation,false
v2_immigration_posture_22,immigration_posture,AtoB,routing_disambiguation,true
v2_injury_mechanism_04,injury_mechanism,AtoB,routing_disambiguation,false
v2_injury_mechanism_08,injury_mechanism,AtoB,routing_disambiguation,false
v2_insurance_route_05,insurance_route,AtoB,routing_disambiguation,false
v2_insurance_route_45,insurance_route,BtoA,routing_disambiguation,false
v2_ip_protection_type_65,ip_protection_type,AtoB,routing_disambiguation,false
v2_land_taking_posture_05,land_taking_posture,AtoB,routing_disambiguation,false
v2_license_action_source_23,license_action_source,BtoA,routing_disambiguation,false
v2_neighbor_dispute_nature_66,neighbor_dispute_nature,BtoA,routing_disambiguation,true
v2_professional_negligence_12,professional_negligence,AtoB,label_change,false
v2_professional_negligence_45,professional_negligence,AtoB,label_change,false
v2_protective_order_relationship_12,protective_order_relationship,AtoB,routing_disambiguation,true
v2_relationship_legal_status_04,relationship_legal_status,AtoB,routing_disambiguation,false
v2_relationship_legal_status_42,relationship_legal_status,AtoB,routing_disambiguation,false
v2_reputation_harm_type_22,reputation_harm_type,BtoA,routing_disambiguation,false
v2_reputation_harm_type_23,reputation_harm_type,AtoB,routing_disambiguation,false
v2_small_claims_vs_construction_44,small_claims_vs_construction,AtoB,routing_disambiguation,false
v2_ssi_vs_ssd_03,ssi_vs_ssd,AtoB,routing_disambiguation,false
v2_tax_dispute_route_02,tax_dispute_route,AtoB,routing_disambiguation,false
v2_tenancy_property_type_15,tenancy_property_type,AtoB,routing_disambiguation,false
v2_vehicle_purchase_source_46,vehicle_purchase_source,AtoB,routing_disambiguation,false
v2_wc_state_vs_third_party_17,wc_state_vs_third_party,BtoA,label_change,false
v2_wc_state_vs_third_party_41,wc_state_vs_third_party,AtoB,label_change,false
v2_wc_system_identity_23,wc_system_identity,AtoB,routing_disambiguation,false
