category,subcategory,left_rater,right_rater,left_selected,right_selected,both_selected,positive_jaccard,positive_dice_f1
Administrative Law,DMV (Non-Criminal),gpt52,gemini31_pro,1,2,1,0.5,0.6666666666666666
Administrative Law,DMV (Non-Criminal),gpt52,deepseek_v4,1,2,1,0.5,0.6666666666666666
Administrative Law,DMV (Non-Criminal),gpt52,jackie,1,1,1,1.0,1.0
Administrative Law,DMV (Non-Criminal),gpt52,qs,1,1,1,1.0,1.0
Administrative Law,DMV (Non-Criminal),gemini31_pro,deepseek_v4,2,2,2,1.0,1.0
Administrative Law,DMV (Non-Criminal),gemini31_pro,jackie,2,1,1,0.5,0.6666666666666666
Administrative Law,DMV (Non-Criminal),gemini31_pro,qs,2,1,1,0.5,0.6666666666666666
Administrative Law,DMV (Non-Criminal),deepseek_v4,jackie,2,1,1,0.5,0.6666666666666666
Administrative Law,DMV (Non-Criminal),deepseek_v4,qs,2,1,1,0.5,0.6666666666666666
Administrative Law,DMV (Non-Criminal),jackie,qs,1,1,1,1.0,1.0
Administrative Law,General (Federal),gpt52,gemini31_pro,0,0,0,,
Administrative Law,General (Federal),gpt52,deepseek_v4,0,0,0,,
Administrative Law,General (Federal),gpt52,jackie,0,0,0,,
Administrative Law,General (Federal),gpt52,qs,0,0,0,,
Administrative Law,General (Federal),gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,General (Federal),gemini31_pro,jackie,0,0,0,,
Administrative Law,General (Federal),gemini31_pro,qs,0,0,0,,
Administrative Law,General (Federal),deepseek_v4,jackie,0,0,0,,
Administrative Law,General (Federal),deepseek_v4,qs,0,0,0,,
Administrative Law,General (Federal),jackie,qs,0,0,0,,
Administrative Law,General (Local/Municipal),gpt52,gemini31_pro,0,0,0,,
Administrative Law,General (Local/Municipal),gpt52,deepseek_v4,0,0,0,,
Administrative Law,General (Local/Municipal),gpt52,jackie,0,0,0,,
Administrative Law,General (Local/Municipal),gpt52,qs,0,0,0,,
Administrative Law,General (Local/Municipal),gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,General (Local/Municipal),gemini31_pro,jackie,0,0,0,,
Administrative Law,General (Local/Municipal),gemini31_pro,qs,0,0,0,,
Administrative Law,General (Local/Municipal),deepseek_v4,jackie,0,0,0,,
Administrative Law,General (Local/Municipal),deepseek_v4,qs,0,0,0,,
Administrative Law,General (Local/Municipal),jackie,qs,0,0,0,,
Administrative Law,General (State),gpt52,gemini31_pro,1,0,0,0.0,0.0
Administrative Law,General (State),gpt52,deepseek_v4,1,0,0,0.0,0.0
Administrative Law,General (State),gpt52,jackie,1,1,1,1.0,1.0
Administrative Law,General (State),gpt52,qs,1,1,1,1.0,1.0
Administrative Law,General (State),gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,General (State),gemini31_pro,jackie,0,1,0,0.0,0.0
Administrative Law,General (State),gemini31_pro,qs,0,1,0,0.0,0.0
Administrative Law,General (State),deepseek_v4,jackie,0,1,0,0.0,0.0
Administrative Law,General (State),deepseek_v4,qs,0,1,0,0.0,0.0
Administrative Law,General (State),jackie,qs,1,1,1,1.0,1.0
Administrative Law,Medicare/Medicaid,gpt52,gemini31_pro,1,1,1,1.0,1.0
Administrative Law,Medicare/Medicaid,gpt52,deepseek_v4,1,2,1,0.5,0.6666666666666666
Administrative Law,Medicare/Medicaid,gpt52,jackie,1,2,1,0.5,0.6666666666666666
Administrative Law,Medicare/Medicaid,gpt52,qs,1,2,1,0.5,0.6666666666666666
Administrative Law,Medicare/Medicaid,gemini31_pro,deepseek_v4,1,2,1,0.5,0.6666666666666666
Administrative Law,Medicare/Medicaid,gemini31_pro,jackie,1,2,1,0.5,0.6666666666666666
Administrative Law,Medicare/Medicaid,gemini31_pro,qs,1,2,1,0.5,0.6666666666666666
Administrative Law,Medicare/Medicaid,deepseek_v4,jackie,2,2,2,1.0,1.0
Administrative Law,Medicare/Medicaid,deepseek_v4,qs,2,2,2,1.0,1.0
Administrative Law,Medicare/Medicaid,jackie,qs,2,2,2,1.0,1.0
Administrative Law,Military/Veterans,gpt52,gemini31_pro,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,gpt52,deepseek_v4,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,gpt52,jackie,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,gpt52,qs,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,gemini31_pro,jackie,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,gemini31_pro,qs,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,deepseek_v4,jackie,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,deepseek_v4,qs,1,1,1,1.0,1.0
Administrative Law,Military/Veterans,jackie,qs,1,1,1,1.0,1.0
Administrative Law,PERS,gpt52,gemini31_pro,0,0,0,,
Administrative Law,PERS,gpt52,deepseek_v4,0,0,0,,
Administrative Law,PERS,gpt52,jackie,0,0,0,,
Administrative Law,PERS,gpt52,qs,0,0,0,,
Administrative Law,PERS,gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,PERS,gemini31_pro,jackie,0,0,0,,
Administrative Law,PERS,gemini31_pro,qs,0,0,0,,
Administrative Law,PERS,deepseek_v4,jackie,0,0,0,,
Administrative Law,PERS,deepseek_v4,qs,0,0,0,,
Administrative Law,PERS,jackie,qs,0,0,0,,
Administrative Law,Professional Licensing,gpt52,gemini31_pro,3,2,2,0.6666666666666666,0.8
Administrative Law,Professional Licensing,gpt52,deepseek_v4,3,2,2,0.6666666666666666,0.8
Administrative Law,Professional Licensing,gpt52,jackie,3,3,3,1.0,1.0
Administrative Law,Professional Licensing,gpt52,qs,3,3,2,0.5,0.6666666666666666
