run,scenario_id,boundary_id,direction,flip_type,mechanism,safety_sensitive,opening_query,hidden_fact,expected_initial_label,expected_final_label,initial_labels,initial_category_present,initial_exact_present,plausible_initial_present,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_labels,final_category_present,final_exact_present,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,expected_final_exact_lost,provider_error,latency_ms
final_run_1_20260718T225512Z,v2_benefit_agency_01,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My benefits got cut off last month and nobody at the office will explain anything.,"It's my SSI from the Social Security office, not the state assistance.",Administrative Law > Welfare,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD || Administrative Law > Welfare,True,True,True,3,"Did your employer fire, discipline, threaten, reduce your hours, or otherwise act against you after you reported illegal, unsafe, fraudulent, or dishonest conduct? || Which benefits were cut off? || What kind of benefits were cut off?",True,What kind of benefits were cut off?,Administrative Law > Social Security/SSI,True,True,True,True,False,False,False,,37618
final_run_1_20260718T225512Z,v2_benefit_agency_02,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The state cut our family's assistance and we can't feed four kids on what's left.,What they actually terminated is the kids' OHP health coverage — the food benefits are fine.,Administrative Law > Welfare,Administrative Law > Medicare/Medicaid,Administrative Law > Welfare || General Litigation > Health Law/HIPAA || Administrative Law > Medicare/Medicaid,True,True,True,0,,False,,,,,True,True,False,False,False,,7111
final_run_1_20260718T225512Z,v2_benefit_agency_03,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I'm a retired public employee and there's a serious problem with my retirement money.,"The problem comes from my divorce — the decree divides my PERS with my ex, and the division order was never done right.",Administrative Law > PERS,Family Law > QDROs,Administrative Law > PERS || Labor & Employment > Public Employees - Employee || Labor & Employment > General,True,True,True,3,"Did your employer fire, discipline, threaten, reduce your hours, or otherwise act against you after you reported illegal, unsafe, fraudulent, or dishonest conduct? || Which retirement system is this about? || Which state is your retirement through?",True,Which retirement system is this about?,,,,False,False,False,False,False,,34113
final_run_1_20260718T225512Z,v2_benefit_agency_04,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The VA is giving my husband the runaround and we've hit a wall dealing with them.,It's about our VA home loan — the lender says the VA guarantee paperwork is defective and closing is frozen.,Administrative Law > Military/Veterans,"Real Property > Government Loans (VA, FHA, etc.)",Administrative Law > Military/Veterans || Administrative Law > Social Security/SSI,True,True,True,3,Has anyone involved in this family or relationship situation done any of the following? || What is the main problem with the Department of Veterans Affairs (VA)? || Did your husband get a VA decision letter about this yet?,True,What is the main problem with the Department of Veterans Affairs (VA)?,,,,False,False,False,False,False,,34509
final_run_1_20260718T225512Z,v2_benefit_agency_05,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The school is failing my son and I've exhausted every meeting and email I can think of.,"He was suspended for an article he wrote in the student paper criticizing the principal — this is about his speech rights, not services.",Administrative Law > Schools — Special Needs Education,Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights,True,True,True,3,Does your son have an Individualized Education Program (IEP) or a 504 plan (extra help at school because of a disability)? || Is your son receiving special education services? || Does your son have a disability or special needs?,False,,,,,True,True,False,False,False,,25458
final_run_1_20260718T225512Z,v2_benefit_agency_06,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My daughter keeps getting in trouble at school and I think it's connected to her struggles.,"She has diagnosed ADHD and dyslexia, and the school refuses to evaluate her for an IEP — the 'trouble' is them disciplining her disability.",Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights || Family Law > Juvenile/DHS Issues,True,True,True,3,What part of the school problem do you need the most help with? || Is your daughter’s trouble at school connected to a disability or condition that affects learning or behavior? || What type of school does she go to?,True,Is your daughter’s trouble at school connected to a disability or condition that affects learning or behavior?,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights || Family Law > Juvenile/DHS Issues,True,True,True,True,False,False,False,,37467
final_run_1_20260718T225512Z,v2_benefit_agency_07,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,A government office rejected my paperwork for the third time and I'm losing my mind.,It's the FAA — they keep rejecting my experimental aircraft registration on contradictory grounds.,Administrative Law > General (State),Administrative Law > General (Federal),Administrative Law > General (State) || Administrative Law > General (Local/Municipal) || Administrative Law > General (Federal),True,True,True,3,"What kind of government office rejected your paperwork? || What is the paperwork for? || Did the office give you a written reason for rejecting it (like a letter, email, or notice)?",True,What kind of government office rejected your paperwork?,Administrative Law > General (Federal) || General Litigation > Aviation || Administrative Law > Transportation,True,True,True,True,False,False,False,,35583
final_run_1_20260718T225512Z,v2_benefit_agency_08,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My professional life is being destroyed by an accusation at work that isn't true.,"The nursing board opened a license investigation over the accusation — that's the part that can end my career, beyond the job itself.",Labor & Employment > General - Employee,Administrative Law > Professional Licensing,Labor & Employment > General - Employee || Labor & Employment > Wrongful Discharge - Employee || General Litigation > Libel/Slander/Defamation,True,True,True,3,"Did your employer fire, discipline, threaten, reduce your hours, or otherwise act against you after you reported illegal, unsafe, fraudulent, or dishonest conduct? || Which best matches what’s happening at work right now? || Who made the accusation?",False,,,,,False,False,False,False,False,,45920
final_run_1_20260718T225512Z,v2_benefit_agency_09,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My contractor's license got suspended and I can't work. This is how I feed my family.,The suspension is automatic fallout from my pending DUII case — fixing the criminal case is what restores the license.,Administrative Law > Professional Licensing,Criminal Law > DUII/DWS,Administrative Law > Professional Licensing || Business and Corporate > Litigation || Administrative Law > General (State),True,True,True,3,"Do you know why your contractor’s license was suspended? || Was your license suspended because of a complaint or lawsuit? || Do you want to get your license back, or do you want to sue someone?",True,Do you know why your contractor’s license was suspended?,,,,False,False,False,False,False,,45305
final_run_1_20260718T225512Z,v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,"The contract is with the state's Medicaid coordinated-care organization — 235 of our clients are covered through it, so this is a Medicaid provider-network fight.","Business and Corporate > General (contracts, entities)",Administrative Law > Medicare/Medicaid,"Business and Corporate > Litigation || Business and Corporate > General (contracts, entities) || General Litigation > Health Law/HIPAA",True,True,True,3,Who sent the letter ending the contract? || What does the contract say about ending it early? (Check all that apply.) || What are you mainly hoping for in this contract dispute?,True,Who sent the letter ending the contract?,"Administrative Law > Medicare/Medicaid || Business and Corporate > Litigation || Business and Corporate > General (contracts, entities)",True,True,False,False,True,True,False,,66283
