run,scenario_id,source_row,problem_description,gold_labels,predicted_labels,gold_label_count,predicted_label_count,exact_hits,exact_recall,compatible_predicted_hits,exact_precision,any_exact_sublabel,all_exact_sublabels,strict_exact_set,gold_category_count,predicted_category_count,category_hits,category_recall,any_correct_top_level,all_correct_top_levels,category_supported_gold_labels,category_only_gold_labels,graded_retrieval_score,outcome_tier,provider_error,promptfoo_success,latency_ms
run1,gold-0001,2,"I am needing an attorney familiar with the clinical mental health licensure board (OBPLCT) to help guide me through the application and character fitness process. I have surrendered my Oregon license in the past; however, was encouraged to reapply. I am now reapplying but must clear up some of the Question surrounding my background.",Administrative Law > Professional Licensing,Administrative Law > Professional Licensing || Administrative Law > General (State) || Labor & Employment > ADA (Disability) Act Issues,1,3,1,1.0,1,0.333333,True,True,False,1,2,1,1.0,True,True,1,0,1.0,all_exact_sublabels,,False,11391
run1,gold-0002,3,"I'm currently $11,000 in debt and am taking out a $10,000 loan and need legal advice pertaining to bankruptcy",Bankruptcy > Personal,Bankruptcy > Personal || Bankruptcy > Creditors || Bankruptcy > Other,1,3,1,1.0,1,0.333333,True,True,False,1,1,1,1.0,True,True,1,0,1.0,all_exact_sublabels,,False,21343
run1,gold-0003,4,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Real Property > Construction/Contractors || Debtor/Creditor > General (Creditor),"Business and Corporate > General (contracts, entities) || Debtor/Creditor > Judgment Collection || Real Property > Construction/Contractors",2,3,1,0.5,1,0.333333,True,False,False,2,3,2,1.0,True,True,2,1,0.75,some_exact_sublabels,,False,17979
run1,gold-0004,5,"We have paid in full for a wedding at Morrowlight Center in Ashford that has now been closed down by Briar County. We have not received a refund nor any communication on when that will be process or next steps. We cannot select a new venue since we have not been able to get our money back, and as the weeks tick on most venues are now full. We have called and emailed along with the other hundreds of people in this same position, Seeking guidance.",Consumer Law > General,Consumer Law > General,1,1,1,1.0,1,1.0,True,True,True,1,1,1,1.0,True,True,1,0,1.0,all_exact_sublabels,,False,20819
run1,gold-0005,6,I have 2 misdemeanor charges From 2018 That I need to have expunged.,Criminal Law > Expunction,Criminal Law > Expunction || Criminal Law > Misdemeanor || General Litigation > General Litigation,1,3,1,1.0,1,0.333333,True,True,False,1,2,1,1.0,True,True,1,0,1.0,all_exact_sublabels,,False,16700
run1,gold-0006,7,I haven't been financially able to pay my credit card debt to Bank of America and received a summons on June 15th.,Debtor/Creditor > General (Debtor),Debtor/Creditor > Collection/Harassment || Debtor/Creditor > Judgment Collection || Bankruptcy > Personal,1,3,0,0,0,0,False,False,False,1,2,1,1.0,True,True,1,1,0.5,top_level_only,,True,17510
run1,gold-0007,8,"I was served a petition for custody and parenting time and child support. The father of my child wants parenting time. He lives in another state. I have 30 days to ""appear"" in this case. I need to file and show proof that his lawyer was formally served. I need to know what to expect and some advice what I should do. My daughter is 14 and does not want to be forced to be with her dad. She will be 15 in August. I know she has rights too.",Family Law > Child Custody/Visitation || Family Law > Child Support/Modification,Family Law > Child Custody/Visitation || Family Law > Child Support/Modification || Family Law > Parental Responsibility,2,3,2,1.0,2,0.666667,True,True,False,1,1,1,1.0,True,True,2,0,1.0,all_exact_sublabels,,True,27416
run1,gold-0008,9,"I was assaulted. Cops were called for the assault. I went to er I’m ambulance after the police arrived and took my statement. The police falsified the statement, the report and did not include the witnesses statement. The police left out their body cam footage of the interview and left out the video footage of the assault. (Should be able to supena from the company the assault happened at) Before sending the case to the DA the police mixed up my name, address and number giving the DA no way to get ahold of me. I’ve provided proof that I still have a concussion and seeing medical professionals regarding the assault. The police falsified the report by leaving out information, falsifying my statement, and not mentioning the assault at all instead charged the attacker with harassment (a false charge) the man came out of no where and attacked me hitting me in the head repeatedly until I blacked out. The police seen this on camera. Need aggressive lawyer",General Litigation > Actions Against Police || General Litigation > Personal Injury,General Litigation > Actions Against Police || General Litigation > Crime Victims || General Litigation > General Torts/Privacy,2,3,1,0.5,1,0.333333,True,False,False,1,1,1,1.0,True,True,2,1,0.75,some_exact_sublabels,,False,18313
run1,gold-0009,10,"I am a writer, but am not represented by an agent, manager, or attorney. My current project, a fantasy/adventure trilogy for young adults has already generated tremendous interest, and I need very much to ask someone many Question about intellectual property, copyright, and the creation of a specialty asset trust to manage the various brands and licensing opportunities that will spin off of the books.",Intellectual Property > Trademark/Copyright || Wills & Trusts > Living Trusts,"Intellectual Property > Trademark/Copyright || Wills & Trusts > General (Wills/Trusts/Estates) || Business and Corporate > General (contracts, entities)",2,3,1,0.5,1,0.333333,True,False,False,2,3,2,1.0,True,True,2,1,0.75,some_exact_sublabels,,False,22855
run1,gold-0010,11,We need an immigration lawyer for my husband because we want to look into applying for legal status for him.,International Law > Gen. Immigration/Visas,International Law > General Immigration/Visas || General Litigation > General Litigation,1,2,1,1.0,1,0.5,True,True,False,1,2,1,1.0,True,True,1,0,1.0,all_exact_sublabels,,False,20912
