Category,Subcategory,Enriched Description
Administrative Law,DMV (Non-Criminal),"Concerns a government agency's decision about driving privileges or vehicle administration. Key issues include refusal to renew a license based on age, rejection of valid identification documents, or denial of a disabled parking permit. This is for bureaucratic disputes, not criminal charges like DUII."
Administrative Law,General (Federal),"Disputes involving a denial of a benefit or right from a U.S. federal agency, such as the FAA, USDA, or Army Corps of Engineers. Use this when the issue is with the federal government but doesn't fit a more specific category like Social Security or Veterans affairs."
Administrative Law,General (Local/Municipal),"Disputes with city or county-level government bodies (e.g., City Council, County planning commission). The user will describe a problem with a local bureaucratic decision that isn't related to a specific area like utilities or zoning."
Administrative Law,General (State),"Disputes involving a denial from a state-level agency, such as the Election Division or Department of Agriculture. A common example is contesting an error on a state-issued birth certificate. Distinguish from federal issues by the agency involved."
Administrative Law,Medicare/Medicaid,"User has been denied coverage or benefits from a government health insurance program like Medicare, Medicaid, OHP, or HIPP. Differentiate from private insurance disputes (Litigation-Insurance) by the involvement of a government-sponsored entity."
Administrative Law,Military/Veterans,"Concerns a veteran's interactions with the Department of Veterans Affairs (VA). The most common issue is a denial of VA healthcare, benefits, or pension. The user will likely mention the 'VA' or 'Veterans Act'."
Administrative Law,PERS,"User has a direct dispute with the Public Employees Retirement System (PERS) about their own benefits, contributions, or eligibility. Distinguish from a QDRO, which involves dividing PERS assets in a divorce (Family Law)."
Administrative Law,Professional Licensing,"User is facing denial, revocation, or suspension of a state-required occupational license (e.g., for a nurse, plumber, realtor, cab driver). This is about the right to work in a specific profession, not general employment issues. Excludes liquor licenses (Restaurant/OLCC)."
Administrative Law,Schools - Special Needs Edu.,"A student with disabilities is being denied access to, or receiving inadequate support from, an Individualized Education Program (IEP) at any educational level (school, college, university). The core issue is the right to educational resources for special needs."
Administrative Law,Social Security/SSI,"User has been denied Supplemental Security Income (SSI), a needs-based benefit. It's crucial to distinguish this from SSD, which is based on work history. Ask the caller to clarify if their issue is with SSI or SSD."
Administrative Law,SSD (Social Security Disability),"User has been denied Social Security Disability (SSD) benefits, which are based on prior work contributions. The user may also be appealing a decision to terminate their benefits. Differentiate from SSI (needs-based) and private disability insurance."
Administrative Law,Student Rights,"A school is violating a student's civil liberties, such as freedom of speech (e.g., suspension for political clothing) or due process rights. This is distinct from special education issues and often overlaps with civil rights."
Administrative Law,Transportation,"Disputes over regulations governing commercial vehicles, infrastructure, or carriers. Example: a trucking company claims a regulation for over-sized loads was applied improperly. Not for personal traffic tickets."
Administrative Law,Unemployment,"User was fired or laid off and has been denied unemployment benefits by the state. The core conflict is with the state's decision, not the employer, though the reason for termination is central to the case."
Administrative Law,Utilities,"User has a problem with a utility provider (electric, water, natural gas) regarding access to service or regulatory issues. Differentiate from simple non-payment issues (Debtor/Creditor) or overcharging (Consumer Law)."
Administrative Law,Welfare,"User has been denied benefits from needs-based government programs like SNAP (food stamps) or other support provided by the Department of Human Services (DHS). The issue is a denial of public assistance."
Administrative Law,Other,"A catch-all for niche administrative issues like Freedom of Information Act (FOIA) requests, election law, FAA pilot licensing, or specific environmental agency disputes (e.g., forestry, USDA)."
Bankruptcy,Business,"A company or business entity needs to file for Chapter 11 or Chapter 13 bankruptcy to reorganize or liquidate. The client is the business itself, not an individual."
Bankruptcy,Creditors,"The user is someone who is owed money by a person or business that is now declaring bankruptcy. The user wants to recover their investment or loan. These cases are extremely time-sensitive."
Bankruptcy,Document Review,"User intends to file for bankruptcy 'pro se' (representing themselves) and needs an attorney to review their paperwork for accuracy and completeness before filing."
Bankruptcy,Farms,"Specifically for when a farm as a business entity is going through the bankruptcy process. This is a specialized subset of Business Bankruptcy."
Bankruptcy,Personal,"An individual needs to file for Chapter 7 (liquidation) or Chapter 13 (reorganization) bankruptcy. This is the most common type. Differentiate from business bankruptcy by identifying the debtor as an individual, not a company."
Bankruptcy,Pro Se Coaching,"User needs general advice and guidance on how to navigate the bankruptcy process while representing themselves. This is broader than just document review and involves strategic advice."
Bankruptcy,Other,"Covers more niche bankruptcy topics like adversary proceedings (lawsuits within a bankruptcy case), garnishment/foreclosure defense as a bankruptcy alternative, or complex Chapter 13 debt adjustments."
Business & Corporate,Agriculture/Farm,"Legal issues related to the business operations of a farm or agricultural company. This is about contracts, organization, and corporate structure, not the real estate itself (Real Property) or bankruptcy."
Business & Corporate,Construction,"Concerns the formation, organization, and operation of a construction business. The client is the construction company itself, dealing with corporate matters, not a dispute over a specific building project (Real Property - Construction/Contractors)."
Business & Corporate,Entertainment,"For artists, musicians, or authors who need help drafting, reviewing, or negotiating contracts related to their creative work. The focus is on the business agreement behind the art."
Business & Corporate,Environment,"A business is facing legal issues related to its environmental impact, such as wastewater disposal or other regulatory compliance. The client is the company, not an individual or government agency."
Business & Corporate,Franchise,"Legal matters involving a franchise agreement. The user is either looking to buy into a franchise (e.g., McDonald's, 7-Eleven) or is in a dispute with the franchisor."
Business & Corporate,"General (Contracts, Business, Organization)","For core business needs like forming an LLC, drafting or reviewing general business contracts, or seeking advice on corporate structure. Use this when a business has a legal need not covered by a more specific category."
Business & Corporate,Litigation,"A business dispute is heading to court. The most common scenario is a breach of contract between two companies. This indicates a need for a trial lawyer for a corporate entity."
Business & Corporate,Marijuana Business,"User is trying to establish a marijuana-related business or is facing regulatory issues with an existing one, often involving the Oregon Liquor and Cannabis Commission (OLCC)."
Business & Corporate,Non-Profit,"User needs help with the specific legal requirements of forming or operating a non-profit (501c3) organization. This is distinct from a for-profit business due to different regulations and tax implications."
Business & Corporate,Publishing,"Legal matters specific to the publishing industry, such as reviewing a book deal contract or forming a publishing company. A specialized subset of Entertainment and General Business law."
Business & Corporate,Restaurant/OLCC,"For restaurants or bars dealing with health and safety regulations or, more commonly, issues with liquor licensing through the OLCC (applying for, defending against suspension of, a license)."
Business & Corporate,Sale of Business,"Legal help is needed for the transaction of buying or selling a business, or handling the departure or buyout of a business partner."
Business & Corporate,Securities,"Issues related to how a business raises money, such as stocks, bonds, and other financial instruments. The client is typically the business owner, not an investor with a fraud claim."
Business & Corporate,Other,"Niche business law areas like photography/media law, legal issues for churches, or broker/securities fraud from the business perspective. Often a more specific version of a general category."
Consumer Law,Automobiles/RVs/Mobile Homes,"User has a dispute with a dealership over a vehicle purchase, such as misrepresentation of the vehicle's condition, warranty issues, or unfair sales practices. The conflict is between a consumer and a business seller."
Consumer Law,Banking,"User has a complaint against a bank for practices like predatory lending, excessive or hidden fees, or other fraudulent activities. Differentiate from Debtor/Creditor issues, which are about inability to pay a legitimate debt."
Consumer Law,General,"Disputes over a faulty product or unsatisfactory service. Common examples include warranty claims not being honored or being charged for services (like cable or phone) that were never requested. It's a consumer vs. a business."
Consumer Law,Identity Theft,"Someone has fraudulently used the user's personal information (like SSN) to open new lines of credit, file taxes, or obtain a driver's license. This is more severe than a single credit card being stolen and used."
Consumer Law,Insurance,"User believes their insurance company is engaged in fraudulent or unfair business practices, such as deceptive sales tactics or bad faith in the handling of their policy. Differentiate from a simple claim denial (Litigation - Insurance)."
Consumer Law,Mortgage Issues (non-foreclosure),"User is having trouble with their mortgage lender regarding issues like refinancing, interest rate adjustments, or loan modifications. The user is not yet in foreclosure, but is in a dispute with the lender."
Consumer Law,Problems Between Consumers,"A dispute over a private sale of goods between two individuals (not businesses). Example: ""I bought a used car from someone on Craigslist and it broke down immediately."" The seller is not a professional dealer."
Consumer Law,Small Claims Advice,"User needs advice on how to prepare and file a case in Small Claims Court (for disputes typically under $7,500). They may need help with strategy or document preparation for self-representation."
Consumer Law,Storage Units,"User's property in a storage unit is at risk of being sold or disposed of, usually due to non-payment of fees. The issue revolves around the specific Oregon laws governing storage unit lien sales and notice requirements."
Consumer Law,Vehicle Towing,"User's vehicle was towed and they believe it was done unlawfully, or they are having issues recovering personal property from the impounded vehicle. The dispute is with the towing company over their practices."
Consumer Law,Other,"Includes specific consumer protection violations like unlawful trade practices, credit report errors, or violations of the Fair Debt Collection Practices Act (FDCPA)."
Criminal Law,Capital Murder,"The defendant is accused of a murder for which the death penalty is a possible sentence. This is the most severe criminal charge."
Criminal Law,Clemency,"The user is seeking to have a criminal sentence reduced or forgiven by the Governor through a pardon, commutation, or reprieve. This happens after a conviction."
Criminal Law,DMV(DUI Relate),"Specifically for the administrative consequence of a DUII arrest: the user has received a 'notice of intent to suspend driver's license' from the DMV and needs to request a hearing to challenge it. This is a civil administrative process separate from the criminal court case."
Criminal Law,DUII/DWS,"User has been arrested for Driving Under the Influence of Intoxicants (DUII) or Driving While Suspended (DWS). This includes operating any vehicle, including a bicycle, while impaired. This is the criminal charge itself."
