scenario_id,runs_observed,usable_runs,question_matched_runs,domestic_violence_explicit_probe_runs,expected_category_present_initial_runs,expected_category_is_initial_top_runs,expected_category_present_final_runs,expected_category_is_final_top_runs,final_exact_scorable_matched_runs,expected_exact_label_present_final_runs,distinct_question_sets,distinct_final_label_sets,swap_pair,domestic_violence_hidden_fact,paper_failure_mode
legacy_001,3,3,2,0,0,0,2,2,2,1,2,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_002,3,3,3,0,2,0,3,3,3,0,3,3,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_003,3,3,1,0,0,0,1,0,1,0,2,1,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_004,3,3,3,0,0,0,3,3,3,1,3,3,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_005,3,3,2,0,0,0,2,2,2,2,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_006,3,3,2,0,0,0,2,1,2,2,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_007,3,3,3,0,0,0,3,3,3,1,3,3,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_008,3,3,3,0,0,0,3,2,3,0,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_009,3,3,3,0,0,0,3,3,3,2,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_010,3,3,3,0,0,0,3,3,3,1,3,2,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_011,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_012,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_013,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_014,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_015,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_016,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_017,3,3,0,0,3,3,0,0,0,0,1,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
legacy_018,3,3,0,0,3,3,0,0,0,0,3,0,bankruptcy_vs_collections,False,bankruptcy_vs_collections
