source_row,scenario_id,canonical_source_row,source_row_aliases,problem_description,gold_label_count,gold_category_1,gold_subcategory_1,gold_category_2,gold_subcategory_2,gold_category_3,gold_subcategory_3,gold_category_4,gold_subcategory_4,consensus_provenance,human_reviewers_used,duplicate_source_description,support_summary_json
20,gold-0019,20,20,"My vehicle (1998 Dodge Dakota, dark green with a white canopy and no license plate) got into a really bad accident and was towed by a guy named Sam. Had to go to the hospital due to the injuries from the accident, and I wasn't able to grab my valuables or personal property from the vehicle before it was towed. I tried to call the company later that day and spoke with Sam again- he said that the only way I was able to retrieve my property was by paying him the Tow Fee which was a total of $440.00 and by providing him with the title to the vehicle. The vehicle was totaled and I am only requesting to retrieve my property (my cell phone, tools, and other personal property). I refused to pay him $440.00 for personal property and would like assistance with this matter.",1,Consumer Law,Vehicle Towing,,,,,,,three_model_plus_internal_consensus,,no,"{""Consumer Law > Vehicle Towing"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
68,gold-0067,68,68;249,"I want to gain custody and be the official guardian of my little sister, who is currently thirteen. I have permission from both of her parents but I'm unsure of my next steps and would like a consultation.",1,Family Law,Guardianship(minor),,,,,,,three_model_plus_internal_consensus,,yes,"{""Family Law > Guardianship(minor)"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
72,gold-0071,72,72;194,I was falsely accused on allegations that are not true. I have the proof via text and witnesses I’m being charged with 4 counts of misdemeanor charges for harassment and menacing. I have all the receipts that indicate I am not guilty,1,Criminal Law,Misdemeanor,,,,,,,three_model_plus_internal_consensus,,yes,"{""Criminal Law > Misdemeanor"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
73,gold-0072,73,73;268,"I need to get information on protective orders and then file these orders. Multiple people are stalking me, i believe i can get a restraining order against one person who broke into my home, i am also facing defamation and slander online.",2,General Litigation,Stalking Orders,General Litigation,Libel/Slander/Defamation,,,,,two_human_exact_consensus,jackie;qs,yes,"{""General Litigation > Libel/Slander/Defamation"": {""human_votes"": 2, ""internal_primary"": false, ""mean_model_rank"": 2.0, ""model_votes"": 2}, ""General Litigation > Stalking Orders"": {""human_votes"": 2, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
85,gold-0081,85,85,"I received a letter in the mail from the DMV stating two reasons my license will be suspended, beginning January 20. The first reason: Failure to file an accident report. The second reason: Accident while uninsured. The suspension length for reason two is one year. I will be submitting an appeal, but want a professional opinion on my case prior to the submission; possibly also to be represented at the time of the hearing.",1,Administrative Law,DMV (Non-Criminal),,,,,,,three_model_plus_internal_consensus,,no,"{""Administrative Law > DMV (Non-Criminal)"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
88,gold-0084,88,88,"I was resolving an issue from unemployment benefits, as due to a bug in their system I couldn't ask for any weeks and calling them resulted in over two hours of waiting for nothing. Late November last year this was resolved but because I didn't put in any weeks, because I couldn't, they gave me nothing for the 12 weeks I was unemployed and due to my case happening just before Thanksgiving weekend that led to a big in-between time me getting the information they wanted and getting back to them resulting in rejection of my claim, with only a hearing left. So I need to get that money to support my family.",1,Administrative Law,Unemployment,,,,,,,three_model_plus_internal_consensus,,no,"{""Administrative Law > Unemployment"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
89,gold-0085,89,89,I am looking for an attorney that handles unemployment cases that are more complex . I am concerned about my unemployment claims after receiving an administrative decision for one employer but not the other. I am seeking to retain an attorney that handles unemployment issues with the state of Oregon. I believe I may get falsely accused of unemployment fraud .,1,Administrative Law,Unemployment,,,,,,,three_model_plus_internal_consensus,,no,"{""Administrative Law > Unemployment"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
90,gold-0086,90,90,"I received unemployment compensation, then my claim was re-adjudicated and denied. I don't know what the rules are defining ""unemployed through no fault of their own"", and I have a hearing next week.",1,Administrative Law,Unemployment,,,,,,,three_model_plus_internal_consensus,,no,"{""Administrative Law > Unemployment"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
91,gold-0087,91,91,I think I need to talk w with someone who has experience in administrative hearings.,1,Administrative Law,Other,,,,,,,three_model_plus_internal_consensus,,no,"{""Administrative Law > Other"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
103,gold-0096,103,103,Looking at filing bankrupcy and have no money. Need legal advice to help me through the process.,2,Bankruptcy,Pro Se Coaching,Bankruptcy,Personal,,,,,three_model_plus_internal_consensus,,no,"{""Bankruptcy > Personal"": {""human_votes"": 0, ""internal_primary"": false, ""mean_model_rank"": 1.3333333333333333, ""model_votes"": 3}, ""Bankruptcy > Pro Se Coaching"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.6666666666666667, ""model_votes"": 3}}"
117,gold-0108,117,117,I financed a truck for someone and we since have split up. He refuses to get it out of my name or return to me so I can return to the finance company. He over drew my bank account and maxed out my 3 credit cards. I'm looking for an attorney to file chapter 7 bankruptcy but they are all too expensive.,1,Bankruptcy,Personal,,,,,,,three_model_plus_internal_consensus,,no,"{""Bankruptcy > Personal"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
