group,observations,scenarios,initial_expected_category_present_pct,initial_expected_exact_present_pct,initial_any_plausible_exact_present_pct,question_match_coverage_pct,final_expected_category_present_among_matched_pct,final_expected_exact_present_among_matched_pct,expected_final_category_present_initially_pct,expected_final_exact_present_initially_pct,expected_final_category_newly_added_pct_of_matched,expected_final_exact_newly_added_pct_of_matched,expected_final_exact_added_count,expected_final_exact_lost_count,provider_error_count
benefit_agency,36,36,88.89,83.33,86.11,58.33,58.82,35.29,33.33,22.22,11.76,11.76,2,3,0
business_entity_specifics,28,28,92.86,89.29,92.86,64.29,69.23,46.15,71.43,32.14,0.0,0.0,0,1,0
capacity_and_protection,28,28,82.14,71.43,82.14,71.43,92.31,69.23,75.0,57.14,0.0,0.0,0,1,0
charge_severity,42,42,95.24,64.29,78.57,76.19,100.0,42.31,92.86,40.48,0.0,3.85,1,3,0
consumer_service_route,26,26,88.46,76.92,88.46,57.69,66.67,66.67,50.0,30.77,0.0,8.33,1,0,0
creditor_judgment_bankruptcy,30,30,43.33,40.0,46.67,16.67,33.33,0.0,6.67,0.0,33.33,0.0,0,0,0
criminal_posture,30,30,80.0,56.67,66.67,56.67,80.0,33.33,73.33,36.67,0.0,0.0,0,3,0
custody_safety,38,38,84.21,78.95,81.58,39.47,87.5,37.5,65.79,21.05,0.0,0.0,0,0,0
debt_posture,37,37,78.38,43.24,56.76,45.95,72.73,27.27,45.95,24.32,9.09,18.18,2,4,0
discharge_reason,44,44,79.55,79.55,79.55,65.91,100.0,33.33,77.27,34.09,0.0,4.76,1,3,0
divorce_context,32,32,96.88,90.62,96.88,50.0,90.91,54.55,75.0,28.12,9.09,9.09,1,0,0
employment_paper_and_pay,12,12,83.33,75.0,75.0,50.0,100.0,33.33,75.0,25.0,0.0,0.0,0,0,0
estate_posture,34,34,82.35,67.65,88.24,61.76,87.5,75.0,76.47,52.94,6.25,18.75,3,0,0
government_defendant,30,30,73.33,70.0,73.33,46.67,100.0,85.71,73.33,36.67,0.0,14.29,2,0,0
home_loan_posture,20,20,80.0,65.0,80.0,65.0,80.0,60.0,65.0,55.0,10.0,10.0,1,1,0
immigration_posture,26,26,84.62,80.77,80.77,57.69,50.0,20.0,50.0,11.54,0.0,10.0,1,1,0
injury_mechanism,11,11,81.82,81.82,81.82,54.55,50.0,0.0,63.64,36.36,0.0,0.0,0,0,0
insurance_route,28,28,57.14,39.29,64.29,57.14,50.0,50.0,50.0,42.86,8.33,8.33,1,0,0
ip_protection_type,28,28,17.86,14.29,14.29,10.71,100.0,0.0,14.29,3.57,0.0,0.0,0,0,0
land_taking_posture,12,12,25.0,16.67,16.67,16.67,100.0,0.0,16.67,0.0,0.0,0.0,0,0,0
license_action_source,28,28,85.71,78.57,92.86,71.43,66.67,55.56,60.71,42.86,0.0,5.56,1,1,0
neighbor_dispute_nature,28,28,89.29,89.29,89.29,71.43,64.29,50.0,53.57,35.71,14.29,14.29,2,1,0
professional_negligence,30,30,73.33,43.33,73.33,40.0,72.73,18.18,66.67,36.67,0.0,0.0,0,2,0
protective_order_relationship,30,30,80.0,76.67,76.67,60.0,46.15,46.15,36.67,26.67,7.69,7.69,1,1,0
relationship_legal_status,18,18,50.0,33.33,55.56,50.0,83.33,66.67,50.0,38.89,0.0,0.0,0,0,0
reputation_harm_type,26,26,0.0,0.0,3.85,0.0,,,7.69,7.69,,,0,0,0
small_claims_vs_construction,44,44,9.09,4.55,11.36,6.82,66.67,0.0,11.36,6.82,0.0,0.0,0,0,0
ssi_vs_ssd,44,44,86.36,84.09,86.36,77.27,100.0,92.59,86.36,75.0,0.0,3.7,1,1,0
tax_dispute_route,16,16,62.5,56.25,62.5,25.0,100.0,0.0,37.5,25.0,0.0,0.0,0,1,0
tenancy_property_type,39,39,74.36,74.36,74.36,33.33,90.0,30.0,53.85,15.38,0.0,10.0,1,1,0
vehicle_purchase_source,28,28,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0,0,0
wc_state_vs_third_party,40,40,82.5,80.0,85.0,52.5,66.67,50.0,62.5,27.5,5.56,5.56,1,1,0
wc_system_identity,16,16,75.0,75.0,81.25,75.0,85.71,42.86,75.0,43.75,0.0,14.29,1,2,0
