story_index,canonical_source_row,left_rater,right_rater,pair_type,jaccard_distance,exact_set_match,absolute_label_count_difference
1,4,gpt52,gemini31_pro,llm_llm,0.0,1,0
1,4,gpt52,deepseek_v4,llm_llm,0.33333333333333337,0,1
1,4,gpt52,jackie,human_llm,0.33333333333333337,0,1
1,4,gpt52,qs,human_llm,0.33333333333333337,0,1
1,4,gemini31_pro,deepseek_v4,llm_llm,0.33333333333333337,0,1
1,4,gemini31_pro,jackie,human_llm,0.33333333333333337,0,1
1,4,gemini31_pro,qs,human_llm,0.33333333333333337,0,1
1,4,deepseek_v4,jackie,human_llm,0.6666666666666667,0,0
1,4,deepseek_v4,qs,human_llm,0.6666666666666667,0,0
1,4,jackie,qs,human_human,0.0,1,0
2,8,gpt52,gemini31_pro,llm_llm,0.0,1,0
2,8,gpt52,deepseek_v4,llm_llm,0.0,1,0
2,8,gpt52,jackie,human_llm,0.0,1,0
2,8,gpt52,qs,human_llm,0.0,1,0
2,8,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
2,8,gemini31_pro,jackie,human_llm,0.0,1,0
2,8,gemini31_pro,qs,human_llm,0.0,1,0
2,8,deepseek_v4,jackie,human_llm,0.0,1,0
2,8,deepseek_v4,qs,human_llm,0.0,1,0
2,8,jackie,qs,human_human,0.0,1,0
3,9,gpt52,gemini31_pro,llm_llm,0.33333333333333337,0,1
3,9,gpt52,deepseek_v4,llm_llm,0.33333333333333337,0,1
3,9,gpt52,jackie,human_llm,0.33333333333333337,0,1
3,9,gpt52,qs,human_llm,0.33333333333333337,0,1
3,9,gemini31_pro,deepseek_v4,llm_llm,0.6666666666666667,0,0
3,9,gemini31_pro,jackie,human_llm,0.6666666666666667,0,0
3,9,gemini31_pro,qs,human_llm,0.6666666666666667,0,0
3,9,deepseek_v4,jackie,human_llm,0.0,1,0
3,9,deepseek_v4,qs,human_llm,0.0,1,0
3,9,jackie,qs,human_human,0.0,1,0
4,10,gpt52,gemini31_pro,llm_llm,0.6666666666666667,0,0
4,10,gpt52,deepseek_v4,llm_llm,0.6666666666666667,0,0
4,10,gpt52,jackie,human_llm,0.0,1,0
4,10,gpt52,qs,human_llm,0.0,1,0
4,10,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
4,10,gemini31_pro,jackie,human_llm,0.6666666666666667,0,0
4,10,gemini31_pro,qs,human_llm,0.6666666666666667,0,0
4,10,deepseek_v4,jackie,human_llm,0.6666666666666667,0,0
4,10,deepseek_v4,qs,human_llm,0.6666666666666667,0,0
4,10,jackie,qs,human_human,0.0,1,0
5,12,gpt52,gemini31_pro,llm_llm,0.0,1,0
5,12,gpt52,deepseek_v4,llm_llm,0.0,1,0
5,12,gpt52,jackie,human_llm,0.0,1,0
5,12,gpt52,qs,human_llm,0.0,1,0
5,12,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
5,12,gemini31_pro,jackie,human_llm,0.0,1,0
5,12,gemini31_pro,qs,human_llm,0.0,1,0
5,12,deepseek_v4,jackie,human_llm,0.0,1,0
5,12,deepseek_v4,qs,human_llm,0.0,1,0
5,12,jackie,qs,human_human,0.0,1,0
6,14,gpt52,gemini31_pro,llm_llm,0.5,0,1
6,14,gpt52,deepseek_v4,llm_llm,0.5,0,1
6,14,gpt52,jackie,human_llm,0.0,1,0
6,14,gpt52,qs,human_llm,0.0,1,0
6,14,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
6,14,gemini31_pro,jackie,human_llm,0.5,0,1
6,14,gemini31_pro,qs,human_llm,0.5,0,1
6,14,deepseek_v4,jackie,human_llm,0.5,0,1
6,14,deepseek_v4,qs,human_llm,0.5,0,1
6,14,jackie,qs,human_human,0.0,1,0
7,17,gpt52,gemini31_pro,llm_llm,0.5,0,1
7,17,gpt52,deepseek_v4,llm_llm,0.5,0,1
7,17,gpt52,jackie,human_llm,0.5,0,1
7,17,gpt52,qs,human_llm,0.5,0,1
7,17,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
7,17,gemini31_pro,jackie,human_llm,0.0,1,0
7,17,gemini31_pro,qs,human_llm,0.0,1,0
7,17,deepseek_v4,jackie,human_llm,0.0,1,0
7,17,deepseek_v4,qs,human_llm,0.0,1,0
7,17,jackie,qs,human_human,0.0,1,0
8,22,gpt52,gemini31_pro,llm_llm,0.0,1,0
8,22,gpt52,deepseek_v4,llm_llm,0.5,0,1
8,22,gpt52,jackie,human_llm,0.5,0,1
8,22,gpt52,qs,human_llm,0.33333333333333337,0,1
8,22,gemini31_pro,deepseek_v4,llm_llm,0.5,0,1
8,22,gemini31_pro,jackie,human_llm,0.5,0,1
8,22,gemini31_pro,qs,human_llm,0.33333333333333337,0,1
8,22,deepseek_v4,jackie,human_llm,0.0,1,0
8,22,deepseek_v4,qs,human_llm,0.6666666666666667,0,2
8,22,jackie,qs,human_human,0.6666666666666667,0,2
9,23,gpt52,gemini31_pro,llm_llm,0.0,1,0
9,23,gpt52,deepseek_v4,llm_llm,0.5,0,1
9,23,gpt52,jackie,human_llm,0.0,1,0
9,23,gpt52,qs,human_llm,0.0,1,0
9,23,gemini31_pro,deepseek_v4,llm_llm,0.5,0,1
9,23,gemini31_pro,jackie,human_llm,0.0,1,0
9,23,gemini31_pro,qs,human_llm,0.0,1,0
9,23,deepseek_v4,jackie,human_llm,0.5,0,1
9,23,deepseek_v4,qs,human_llm,0.5,0,1
9,23,jackie,qs,human_human,0.0,1,0
10,24,gpt52,gemini31_pro,llm_llm,0.0,1,0
10,24,gpt52,deepseek_v4,llm_llm,0.0,1,0
10,24,gpt52,jackie,human_llm,0.0,1,0
10,24,gpt52,qs,human_llm,0.0,1,0
10,24,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
10,24,gemini31_pro,jackie,human_llm,0.0,1,0
10,24,gemini31_pro,qs,human_llm,0.0,1,0
10,24,deepseek_v4,jackie,human_llm,0.0,1,0
10,24,deepseek_v4,qs,human_llm,0.0,1,0
10,24,jackie,qs,human_human,0.0,1,0
11,27,gpt52,gemini31_pro,llm_llm,0.0,1,0
11,27,gpt52,deepseek_v4,llm_llm,0.0,1,0
11,27,gpt52,jackie,human_llm,0.0,1,0
11,27,gpt52,qs,human_llm,0.0,1,0
11,27,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
11,27,gemini31_pro,jackie,human_llm,0.0,1,0
11,27,gemini31_pro,qs,human_llm,0.0,1,0
11,27,deepseek_v4,jackie,human_llm,0.0,1,0
11,27,deepseek_v4,qs,human_llm,0.0,1,0
11,27,jackie,qs,human_human,0.0,1,0
12,28,gpt52,gemini31_pro,llm_llm,0.6666666666666667,0,0
12,28,gpt52,deepseek_v4,llm_llm,0.6666666666666667,0,0
12,28,gpt52,jackie,human_llm,0.5,0,1
12,28,gpt52,qs,human_llm,0.0,1,0
12,28,gemini31_pro,deepseek_v4,llm_llm,0.6666666666666667,0,0
12,28,gemini31_pro,jackie,human_llm,1.0,0,1
12,28,gemini31_pro,qs,human_llm,0.6666666666666667,0,0
12,28,deepseek_v4,jackie,human_llm,0.5,0,1
12,28,deepseek_v4,qs,human_llm,0.6666666666666667,0,0
12,28,jackie,qs,human_human,0.5,0,1
13,29,gpt52,gemini31_pro,llm_llm,0.5,0,1
13,29,gpt52,deepseek_v4,llm_llm,0.6666666666666667,0,0
13,29,gpt52,jackie,human_llm,0.6666666666666667,0,0
13,29,gpt52,qs,human_llm,0.5,0,1
13,29,gemini31_pro,deepseek_v4,llm_llm,0.5,0,1
13,29,gemini31_pro,jackie,human_llm,0.5,0,1
13,29,gemini31_pro,qs,human_llm,0.0,1,0
13,29,deepseek_v4,jackie,human_llm,0.6666666666666667,0,0
13,29,deepseek_v4,qs,human_llm,0.5,0,1
13,29,jackie,qs,human_human,0.5,0,1
14,31,gpt52,gemini31_pro,llm_llm,0.0,1,0
14,31,gpt52,deepseek_v4,llm_llm,0.0,1,0
14,31,gpt52,jackie,human_llm,0.0,1,0
14,31,gpt52,qs,human_llm,0.0,1,0
14,31,gemini31_pro,deepseek_v4,llm_llm,0.0,1,0
14,31,gemini31_pro,jackie,human_llm,0.0,1,0
14,31,gemini31_pro,qs,human_llm,0.0,1,0
