category,subcategory,stories_selected_by_any_rater,nominal_alpha_all_five,observed_nominal_disagreement,expected_nominal_disagreement,gpt52_selected,gpt52_prevalence,gemini31_pro_selected,gemini31_pro_prevalence,deepseek_v4_selected,deepseek_v4_prevalence,jackie_selected,jackie_prevalence,qs_selected,qs_prevalence
Administrative Law,DMV (Non-Criminal),2,0.7834306013702106,0.005263157894736842,0.024302408041192613,1,0.008771929824561403,2,0.017543859649122806,2,0.017543859649122806,1,0.008771929824561403,1,0.008771929824561403
Administrative Law,General (Federal),0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Administrative Law,General (Local/Municipal),0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Administrative Law,General (State),1,0.49823633156966496,0.005263157894736842,0.010489316436962354,1,0.008771929824561403,0,0.0,0,0.0,1,0.008771929824561403,1,0.008771929824561403
Administrative Law,Medicare/Medicaid,2,0.8101645907473309,0.005263157894736842,0.027724848148490733,1,0.008771929824561403,1,0.008771929824561403,2,0.017543859649122806,2,0.017543859649122806,2,0.017543859649122806
Administrative Law,Military/Veterans,1,1.0,0.0,0.017420528474085036,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Administrative Law,PERS,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Administrative Law,Professional Licensing,4,0.8035492335312802,0.008771929824561403,0.04465205192242469,3,0.02631578947368421,2,0.017543859649122806,2,0.017543859649122806,3,0.02631578947368421,3,0.02631578947368421
Administrative Law,Schools - Special Needs Edu.,1,0.7486749116607774,0.0035087719298245615,0.013961089014275584,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,0,0.0,1,0.008771929824561403
Administrative Law,Social Security/SSI,1,1.0,0.0,0.017420528474085036,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Administrative Law,SSD (Social Security Disability),2,1.0,0.0,0.03453272901057565,2,0.017543859649122806,2,0.017543859649122806,2,0.017543859649122806,2,0.017543859649122806,2,0.017543859649122806
Administrative Law,Student Rights,1,0.7486749116607774,0.0035087719298245615,0.013961089014275584,1,0.008771929824561403,1,0.008771929824561403,0,0.0,1,0.008771929824561403,1,0.008771929824561403
Administrative Law,Transportation,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Administrative Law,Unemployment,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Administrative Law,Utilities,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Administrative Law,Welfare,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Administrative Law,Other,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bankruptcy,Business,2,0.831855791962175,0.0035087719298245615,0.02086763481639071,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,2,0.017543859649122806,1,0.008771929824561403
Bankruptcy,Creditors,1,0.24867957746478875,0.005263157894736842,0.007005210742145346,0,0.0,1,0.008771929824561403,1,0.008771929824561403,0,0.0,0,0.0
Bankruptcy,Document Review,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bankruptcy,Farms,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bankruptcy,Personal,3,0.8725358422939068,0.005263157894736842,0.04129127740264545,2,0.017543859649122806,2,0.017543859649122806,2,0.017543859649122806,3,0.02631578947368421,3,0.02631578947368421
Bankruptcy,Pro Se Coaching,1,0.0,0.0035087719298245615,0.0035087719298245615,0,0.0,0,0.0,0,0.0,1,0.008771929824561403,0,0.0
Bankruptcy,Other,1,0.49823633156966496,0.005263157894736842,0.010489316436962354,1,0.008771929824561403,1,0.008771929824561403,0,0.0,0,0.0,1,0.008771929824561403
Business & Corporate,Agriculture/Farm,1,0.49823633156966496,0.005263157894736842,0.010489316436962354,0,0.0,1,0.008771929824561403,1,0.008771929824561403,0,0.0,1,0.008771929824561403
Business & Corporate,Construction,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Business & Corporate,Entertainment,1,0.0,0.0035087719298245615,0.0035087719298245615,1,0.008771929824561403,0,0.0,0,0.0,0,0.0,0,0.0
Business & Corporate,Environment,1,0.7486749116607774,0.0035087719298245615,0.013961089014275584,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,0,0.0,1,0.008771929824561403
Business & Corporate,Franchise,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Business & Corporate,"General (Contracts, Business, Organization)",9,0.6063191881918819,0.03684210526315789,0.09358369561866,5,0.043859649122807015,8,0.07017543859649122,4,0.03508771929824561,5,0.043859649122807015,6,0.05263157894736842
Business & Corporate,Litigation,4,0.5935714285714286,0.014035087719298246,0.03453272901057565,3,0.02631578947368421,3,0.02631578947368421,1,0.008771929824561403,1,0.008771929824561403,2,0.017543859649122806
Business & Corporate,Marijuana Business,1,1.0,0.0,0.017420528474085036,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Business & Corporate,Non-Profit,3,0.4955673758865248,0.010526315789473684,0.02086763481639071,1,0.008771929824561403,3,0.02631578947368421,0,0.0,1,0.008771929824561403,1,0.008771929824561403
Business & Corporate,Publishing,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Business & Corporate,Restaurant/OLCC,2,0.831855791962175,0.0035087719298245615,0.02086763481639071,2,0.017543859649122806,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Business & Corporate,Sale of Business,3,0.2950442477876106,0.012280701754385965,0.017420528474085036,3,0.02631578947368421,0,0.0,0,0.0,1,0.008771929824561403,1,0.008771929824561403
Business & Corporate,Securities,2,0.3957522123893805,0.010526315789473684,0.017420528474085036,2,0.017543859649122806,0,0.0,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Business & Corporate,Other,1,0.0,0.0035087719298245615,0.0035087719298245615,0,0.0,0,0.0,0,0.0,0,0.0,1,0.008771929824561403
Consumer Law,Automobiles/RVs/Mobile Homes,3,0.8821295401187681,0.005263157894736842,0.04465205192242469,2,0.017543859649122806,3,0.02631578947368421,2,0.017543859649122806,3,0.02631578947368421,3,0.02631578947368421
Consumer Law,Banking,1,0.24867957746478875,0.005263157894736842,0.007005210742145346,1,0.008771929824561403,0,0.0,0,0.0,1,0.008771929824561403,0,0.0
Consumer Law,General,5,0.8965454545454545,0.007017543859649123,0.0678321462707736,4,0.03508771929824561,4,0.03508771929824561,5,0.043859649122807015,3,0.02631578947368421,4,0.03508771929824561
Consumer Law,Identity Theft,1,0.7486749116607774,0.0035087719298245615,0.013961089014275584,1,0.008771929824561403,1,0.008771929824561403,0,0.0,1,0.008771929824561403,1,0.008771929824561403
Consumer Law,Insurance,1,0.24867957746478875,0.005263157894736842,0.007005210742145346,0,0.0,0,0.0,1,0.008771929824561403,0,0.0,1,0.008771929824561403
Consumer Law,Mortgage Issues (non-foreclosure),0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consumer Law,Problems Between Consumers,2,0.7834306013702106,0.005263157894736842,0.024302408041192613,2,0.017543859649122806,2,0.017543859649122806,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Consumer Law,Small Claims Advice,4,0.8184235719604297,0.010526315789473684,0.05797181882650387,4,0.03508771929824561,4,0.03508771929824561,3,0.02631578947368421,4,0.03508771929824561,2,0.017543859649122806
Consumer Law,Storage Units,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consumer Law,Vehicle Towing,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consumer Law,Other,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Criminal Law,Capital Murder,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Criminal Law,Clemency,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Criminal Law,DMV(DUI Relate),1,0.0,0.0035087719298245615,0.0035087719298245615,1,0.008771929824561403,0,0.0,0,0.0,0,0.0,0,0.0
Criminal Law,DUII/DWS,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Criminal Law,Expunction,1,1.0,0.0,0.017420528474085036,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Criminal Law,Forfeiture,1,1.0,0.0,0.017420528474085036,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403,1,0.008771929824561403
Criminal Law,Game Violations,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Criminal Law,Gun Rights,1,0.24867957746478875,0.005263157894736842,0.007005210742145346,0,0.0,1,0.008771929824561403,1,0.008771929824561403,0,0.0,0,0.0
Criminal Law,Juvenile Offender,0,,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
