row_number,problem_description,original_human_category,original_human_subcategory,gpt52_rank1,gemini31_pro_rank1,deepseek_v4_rank1,internal_review,four_pass_pattern,four_pass_max_agreement,four_pass_distinct_labels,review_basis,gpt52_all_candidates,gemini31_pro_all_candidates,deepseek_v4_all_candidates
4,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Business & Corporate,"General (Contracts, Business, Organization)",Real Property / Construction/Contractors,Real Property / Construction/Contractors,"Business & Corporate / General (Contracts, Business, Organization)",Real Property / Construction/Contractors,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""Sole proprietor construction-related business is not getting paid and is seeking help with contracts and filing property liens, which aligns with contractor payment disputes and lien rights tied to a project/property."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Creditor)"", ""justification"": ""They are owed money on overdue invoices and want to pursue collection; this is a fit if the matter is primarily collecting debts rather than construction lien remedies."", ""confidence"": ""medium""}, {""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""They also want help “do contracts,” but this is secondary to the nonpayment/lien enforcement problem covered more directly by construction/contractor disputes."", ""confidence"": ""low""}]","[{""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""The user is a construction contractor seeking to file property liens due to non-payment for their work."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Creditor)"", ""justification"": ""The user is owed money for their services and is seeking to collect on overdue invoices using legal tools. Included as a lower match because the context revolves specifically around construction property liens."", ""confidence"": ""medium""}, {""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""The user is a sole proprietor also asking for a lawyer to help 'do contracts' for their company. Included as a third option since contract drafting is a general corporate need."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""The user needs help with contracts and lien filing for their sole proprietor construction/cleaning business, which fits core business contract and organization matters."", ""confidence"": ""medium""}, {""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""The need to file property liens suggests a construction payment dispute, but the primary request is for business contracts and lien procedures, making business law the better fit."", ""confidence"": ""low""}]"
12,Hours was deleted from my pay and when I said something about it to the manager I was terminated,Labor & Employment,Wage and Hour Claims,Labor & Employment / Wage and Hour Claims,Labor & Employment / Wrongful Discharge,Labor & Employment / Wage and Hour Claims,Labor & Employment / Wage and Hour Claims,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Labor & Employment"", ""subcategory"": ""Wage and Hour Claims"", ""justification"": ""User reports hours deleted from pay (unpaid wages) and then termination after complaining, indicating wage-payment violations as the core issue."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Wrongful Discharge"", ""justification"": ""Termination appears retaliatory for raising a wage issue; this can support a wrongful discharge/retaliation theory, but the wage underpayment is the primary fact pattern provided."", ""confidence"": ""medium""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Wrongful Discharge"", ""justification"": ""The user was fired immediately after complaining about missing pay, which constitutes illegal retaliation and an exception to at-will employment."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Wage and Hour Claims"", ""justification"": ""The incident stems from the employer deleting hours from the user's pay. Included as a secondary match because while the wage theft is the cause, the termination is the most legally severe outcome."", ""confidence"": ""medium""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Wage and Hour Claims"", ""justification"": ""The user alleges hours were deleted from pay and was terminated after complaining; this is a wage and hour dispute under state law."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Wrongful Discharge"", ""justification"": ""Termination after complaining about pay could constitute wrongful discharge in retaliation for asserting wage rights, but the immediate issue is unpaid wages."", ""confidence"": ""medium""}]"
22,"Being sued by Midland Credit for roughly $2,500. Attempted to settle but Vernon, Pike, & Tolland, PC are saying they can’t offer any settlements lower than 90% of the amount owed. What steps can I take to reach fair settlement? My summons was received today and says Subject to mandatory arbitration. How might I go about that process? Thank you for your help.",Debtor/Creditor,Collection/Harassment,Debtor/Creditor / General (Debtor),Debtor/Creditor / Debt Counseling/Workouts,Debtor/Creditor / General (Debtor),Debtor/Creditor / Debt Counseling/Workouts,2/4 agreement,2,2,in-context manual review,"[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""User has been sued by a debt buyer (Midland Credit) for $2,500 and is asking about settlement steps and mandatory arbitration referenced in the summons—this is defending a collection lawsuit over an unpaid debt."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""They also want to negotiate a lower payoff/settlement; however the primary issue is already active litigation (summons/arbitration), which fits General (Debtor) better."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""The user acknowledges the debt to Midland Credit and is seeking legal help to negotiate a fair settlement rather than paying the full amount or going to trial."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user owes money and has received a summons regarding a debt they cannot fully pay. This is a lower match because Debt Counseling better captures their desire to negotiate a settlement."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user is being sued for a debt and wants to settle, which is a core debtor issue. The mention of mandatory arbitration and dealing with a collection law firm confirms they are a debtor facing a lawsuit."", ""confidence"": ""high""}]"
24,"My mother was transported to St. Elora hospital in Redmond. She was stabilized for the reason admitted. She then fell out of the bed in the ER at 1222 am, hitting her head. She broke two vertebrae, cracked her skull and split her head open. The wound was substantial and required a blood transfusion later. She was found 10 minutes later without a pulse. They performed CPR and life flighted her to Alderstone University Hospital. She had a DNR order in place. The doctors at Alderstone University Hospital said she was likely paralyzed from the neck down and was without oxygen to the brain for the time on the floor in the ER. How can an 85 year old woman, who is confined to a wheel chair ""fall"" out of an ER bed and die? I need help in making the hospital pay for their incompetence and wrongful death, as well as doing CPR against her wishes (which also caused several broken ribs).",General Litigation,Wrongful Death,General Litigation / Wrongful Death,General Litigation / Malpractice-Medical,General Litigation / Wrongful Death,General Litigation / Wrongful Death,3/4 agreement,3,2,in-context manual review,"[{""category"": ""General Litigation"", ""subcategory"": ""Wrongful Death"", ""justification"": ""An elderly mother died after an alleged hospital safety failure (fall from ER bed) and the user seeks to make the hospital pay for the death—this is a wrongful death claim."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Malpractice-Medical"", ""justification"": ""The allegations involve negligent ER care and performing CPR despite a DNR, which are medical-provider standard-of-care issues; wrongful death is ranked higher because death resulted."", ""confidence"": ""high""}]","[{""category"": ""General Litigation"", ""subcategory"": ""Malpractice-Medical"", ""justification"": ""The user is alleging that hospital staff and doctors were negligent in their care, resulting in a severe fall, a delayed response, and inappropriate CPR."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Wrongful Death"", ""justification"": ""The user is a surviving family member seeking compensation because the medical negligence allegedly caused their mother's death."", ""confidence"": ""high""}]","[{""category"": ""General Litigation"", ""subcategory"": ""Wrongful Death"", ""justification"": ""The family seeks compensation for the death of their mother due to alleged hospital negligence, which is a classic wrongful death claim. The mention of 'making the hospital pay for their incompetence and wrongful death' directly aligns with this subcategory."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Malpractice-Medical"", ""justification"": ""The underlying facts describe medical negligence (fall from bed, failure to follow DNR) causing injury and death. A medical malpractice claim would be the foundation of the wrongful death suit, but wrongful death is the more specific and appropriate final action."", ""confidence"": ""medium""}]"
27,Possible wrongful termination and/or discrimination,Labor & Employment,Wrongful Discharge,Labor & Employment / Wrongful Discharge,Labor & Employment / Wrongful Discharge,Labor & Employment / Discrimination,Labor & Employment / Wrongful Discharge,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Labor & Employment"", ""subcategory"": ""Wrongful Discharge"", ""justification"": ""User reports possible wrongful termination; the core issue is being fired for an allegedly illegal reason."", ""confidence"": ""medium""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Discrimination"", ""justification"": ""They also suspect discrimination, but no protected class facts are provided; kept as a secondary fit due to the explicit mention."", ""confidence"": ""medium""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Wrongful Discharge"", ""justification"": ""The user explicitly mentions potentially being fired for an illegal reason (wrongful termination)."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Discrimination"", ""justification"": ""The user also suspects discrimination, indicating the adverse employment action may have been based on a protected characteristic."", ""confidence"": ""high""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Discrimination"", ""justification"": ""The phrase 'possible wrongful termination and/or discrimination' directly invokes employment discrimination. The mention of 'discrimination' as a primary issue fits this subcategory."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Wrongful Discharge"", ""justification"": ""Wrongful termination is also explicitly mentioned, which could fall under wrongful discharge if it was for an illegal reason. However, without more facts, discrimination is the more specific match."", ""confidence"": ""medium""}]"
28,I was injured at work on 6/25/23. Was on worker’s compensation for about 6 months. Broke my hip and l4 & l5 on a slip and fall at Hawthorn Market’s distribution center while working in the freezer. Wondering what my options are for my personal injury.,Workers' Comp,State,Workers' Comp / Third Party litigation,Workers' Comp / Third Party litigation,Workers' Comp / State,Workers' Comp / Third Party litigation,3/4 agreement,3,2,two-model consensus,"[{""category"": ""Workers' Comp"", ""subcategory"": ""Third Party litigation"", ""justification"": ""User was injured at work and already had workers’ comp, but is asking about personal injury options—suggesting a potential claim against someone other than the employer (third-party) arising from a workplace slip-and-fall."", ""confidence"": ""medium""}, {""category"": ""Workers' Comp"", ""subcategory"": ""State"", ""justification"": ""Because the injury occurred on the job and they were on workers’ compensation, it may primarily be a workers’ comp benefits dispute if no third party is involved; ranked lower because they ask specifically about personal injury options."", ""confidence"": ""medium""}]","[{""category"": ""Workers' Comp"", ""subcategory"": ""Third Party litigation"", ""justification"": ""The user had an on-the-job injury, received workers' compensation, and is now asking about separate personal injury options, presumably against a liable third party at the distribution center."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Personal Injury"", ""justification"": ""The user wants to pursue damages for the physical injuries sustained in a slip-and-fall. Distinguish from Third Party Litigation if the user is seeking a general negligence claim completely distinct from their workers' comp status."", ""confidence"": ""medium""}]","[{""category"": ""Workers' Comp"", ""subcategory"": ""State"", ""justification"": ""The user was injured at work and received workers' compensation benefits, which is a state-level claim. The query about 'options for my personal injury' suggests they may be exploring a separate personal injury claim, but the primary legal context is the existing workers' comp case."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Personal Injury"", ""justification"": ""The user asks about 'personal injury' options, which could imply a third-party claim. However, the facts describe a workplace injury, so workers' comp is the primary category unless there's a liable third party, which is not indicated."", ""confidence"": ""low""}]"
29,"I have a signed contract with a roofing company to replace my roof, they did not do the roof, but they took $13,000 from me, and have now closed their business. I would like to file something to get my money back, I thought this was a small claims issue, but then I saw the maximum for small claims is $10,000. So, I need an attorney to help me get my money back, I'm not sure what type, maybe a breach of contract lawyer, but again, I do not know. I look forward to speaking with someone. Thank you!",Real Property,Construction/Contractors,Real Property / Construction/Contractors,Real Property / Construction/Contractors,Consumer Law / General,Real Property / Construction/Contractors,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""Homeowner paid a roofing contractor $13,000 under a signed contract, the work was not done, and the company closed—this is a contractor dispute over a home improvement project."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Litigation"", ""justification"": ""User wants to sue for breach of contract to recover money; however the dispute is tied to a specific residential construction project, so the Real Property contractor category fits better."", ""confidence"": ""medium""}]","[{""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""The user has a dispute with a roofing company that took their money and failed to complete a home construction project."", ""confidence"": ""high""}]","[{""category"": ""Consumer Law"", ""subcategory"": ""General"", ""justification"": ""The dispute is over a faulty service (roofer took money and didn't perform work), which is a consumer vs. business issue. The amount exceeds small claims, so it fits general consumer law."", ""confidence"": ""high""}, {""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""The issue involves a contractor failing to perform a roofing job, which is a construction dispute. However, the user is a consumer, not a business, so Consumer Law is a better primary match."", ""confidence"": ""medium""}]"
31,Need legal advise regarding a trustee who has breached their fiduciary duty. Possible elder financial abuse. Also is there a statue of limitation on when I need to file a complaint?,Wills & Trusts,Living Trusts,Wills & Trusts / Litigation,Wills & Trusts / Litigation,Wills & Trusts / Elder Abuse,Wills & Trusts / Litigation,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Wills & Trusts"", ""subcategory"": ""Litigation"", ""justification"": ""User alleges a trustee breached fiduciary duty and asks about statutes of limitation for filing a complaint—this is a dispute over trust administration likely requiring litigation."", ""confidence"": ""high""}, {""category"": ""Wills & Trusts"", ""subcategory"": ""Elder Abuse"", ""justification"": ""They also mention possible elder financial abuse tied to exploitation of an older person’s assets; included as secondary because the primary facts center on trustee misconduct."", ""confidence"": ""medium""}]","[{""category"": ""Wills & Trusts"", ""subcategory"": ""Litigation"", ""justification"": ""The user needs legal advice to file a complaint against a trustee for mismanaging assets and breaching their fiduciary duty."", ""confidence"": ""high""}, {""category"": ""Wills & Trusts"", ""subcategory"": ""Elder Abuse"", ""justification"": ""The user suspects that the trustee's actions constitute financial exploitation of an elderly person."", ""confidence"": ""medium""}]","[{""category"": ""Wills & Trusts"", ""subcategory"": ""Elder Abuse"", ""justification"": ""The user mentions possible elder financial abuse by a trustee, which is a key indicator of elder abuse in the context of trusts. The breach of fiduciary duty by a trustee further supports this subcategory."", ""confidence"": ""high""}, {""category"": ""Wills & Trusts"", ""subcategory"": ""Litigation"", ""justification"": ""The query involves a dispute over a trustee's actions and potential legal action, which could fall under trust litigation. However, elder abuse is the more specific and pressing issue."", ""confidence"": ""medium""}]"
33,"I am curious if a lawyer can offer some guidance on dissolving an LLC partnership business and filing bankruptcy. Essentially, my former business partner and I signed an agreement over the summer that I was to leave the partnership, transfer full ownership and responsibilities to her, and be paid out over 5 years for the $10,000 loan that I provided. She was planning to remain operating but then decided to close the business about 3 months later after realizing it was too much for her to take on. My name was never officially removed from the business in that time, so now we want to go about doing so, and dissolving the business properly, along with likely filing bankruptcy. The business has about $10k in debt from other loans (SBA and Shopify), not including the $10k from myself. All assets have been sold. At this point I understand that I will very likely not be receiving my portion of the money loaned, but I do need to ensure the dissolution goes smoothly from here on out.",Bankruptcy,Business,Bankruptcy / Business,Bankruptcy / Business,"Business & Corporate / General (Contracts, Business, Organization)",Bankruptcy / Business,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Bankruptcy"", ""subcategory"": ""Business"", ""justification"": ""User needs to dissolve an LLC and likely file bankruptcy for business debts (SBA/Shopify loans), indicating a business entity debtor situation."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Sale of Business"", ""justification"": ""There is also a partner exit/buyout agreement and ownership transfer issues, but the main request is dissolving and bankrupting the LLC, so bankruptcy is primary."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Business"", ""justification"": ""The user needs legal assistance to liquidate and file for bankruptcy for their LLC, which has accumulated debt."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""The user also needs help officially dissolving the LLC and enforcing the partnership departure agreement."", ""confidence"": ""high""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""The user needs to dissolve an LLC partnership and handle the associated business debts and bankruptcy. This involves business organization and dissolution, which is a core function of general business law."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Business"", ""justification"": ""The business likely needs to file for bankruptcy due to debts. However, the user's primary goal is dissolution and liability separation, making Business & Corporate the better overall fit."", ""confidence"": ""medium""}]"
34,Looking for an attorney that specializes in business contract law and if possible has experience in farm contracts. The issue at hand stems from a verbal extension of a written lease that the other party has decided they no longer want to honor the lease extension.,Business & Corporate,Agriculture/Farm,Business & Corporate / Agriculture/Farm,Real Property / Agriculture/Farm,Business & Corporate / Agriculture/Farm,Real Property / Agriculture/Farm,2/4 agreement,2,2,in-context manual review,"[{""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""User seeks a lawyer experienced in farm contracts regarding a farm lease and a disputed verbal extension of a written lease—this is farm business contracting."", ""confidence"": ""high""}, {""category"": ""Real Property"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""Because the dispute is specifically about a lease of farm land (real property rights), it could also fit farm real estate; ranked lower since the user frames it as contract law."", ""confidence"": ""medium""}]","[{""category"": ""Real Property"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""The core issue is a dispute over the verbal extension of a written agricultural lease, which directly relates to farm land."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""The user is asking for a business contract lawyer with experience in farm contracts. This is secondary because Real Property specifically covers disputes over agricultural leases."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""The issue involves a verbal extension of a written farm lease, which is a business contract matter specific to agriculture. The request for an attorney with farm contract experience aligns with this subcategory."", ""confidence"": ""high""}]"
