run,scenario_id,boundary_id,direction,flip_type,mechanism,safety_sensitive,opening_query,hidden_fact,expected_initial_label,expected_final_label,initial_labels,initial_category_present,initial_exact_present,plausible_initial_present,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_labels,final_category_present,final_exact_present,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,expected_final_exact_lost,provider_error,latency_ms
variability_c1_20260719T080936Z,v2_benefit_agency_06,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,My daughter keeps getting in trouble at school and I think it's connected to her struggles.,"She has diagnosed ADHD and dyslexia, and the school refuses to evaluate her for an IEP — the 'trouble' is them disciplining her disability.",Administrative Law > Student Rights,Administrative Law > Schools — Special Needs Education,Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights || Family Law > Juvenile/DHS Issues,True,True,True,3,"What do you most need help with at school? || Does your daughter have a written school support plan, like an IEP (Individualized Education Program) or a 504 plan (school disability support plan)? || Is the trouble at school connected to a disability or health condition that affects how she learns or behaves?",True,Is the trouble at school connected to a disability or health condition that affects how she learns or behaves?,,,,True,True,False,False,False,,36016
variability_c1_20260719T080936Z,v2_benefit_agency_10,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,"The contract is with the state's Medicaid coordinated-care organization — 235 of our clients are covered through it, so this is a Medicaid provider-network fight.","Business and Corporate > General (contracts, entities)",Administrative Law > Medicare/Medicaid,"Business and Corporate > Litigation || Business and Corporate > General (contracts, entities) || General Litigation > Health Law/HIPAA",True,True,True,3,"Who sent the letter ending the contract? || Does the contract say they can end it “without cause” (meaning they can end it even if you did nothing wrong)? || If the contract allows ending it, did they follow the contract’s rules (like giving enough notice or paying any required fee)?",True,Who sent the letter ending the contract?,"Administrative Law > Medicare/Medicaid || Business and Corporate > Litigation || Business and Corporate > General (contracts, entities)",True,True,False,False,True,True,False,,51882
variability_c1_20260719T080936Z,v2_benefit_agency_13,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I was let go unfairly and now I have no income coming in at all. I need legal help this week.,The urgent piece is my unemployment denial — my appeal hearing with the state is Tuesday and I can't do it alone.,Labor & Employment > Wrongful Discharge - Employee,Administrative Law > Unemployment,Labor & Employment > Wrongful Discharge - Employee || Labor & Employment > Discrimination - Employee || Labor & Employment > Whistleblowers - Employee,True,True,True,3,"Did your employer fire, discipline, threaten, reduce your hours, or otherwise act against you after you reported illegal, unsafe, fraudulent, or dishonest conduct? || Why do you think you were let go unfairly? || Did you sign a contract when you were hired?",False,,,,,False,False,False,False,False,,42174
variability_c1_20260719T080936Z,v2_benefit_agency_26,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The pharmacy board flagged my dispensing records and suspended me while they 'investigate'.,Federal agents served a subpoena on the pharmacy the same week — my lawyer friend says the parallel criminal fraud investigation is the bigger danger.,Administrative Law > Professional Licensing,Criminal Law > White Collar Crime,Administrative Law > Professional Licensing || Criminal Law > Other,True,True,True,3,Who suspended you? || What is your role? || Did you get anything in writing from the Board about the investigation or a hearing (a meeting where you can tell your side)?,False,,,,,True,False,False,False,False,,34083
variability_c1_20260719T080936Z,v2_benefit_agency_44,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The housing authority terminated our rental assistance over paperwork we never received.,"It's our Section 8 voucher — the termination skipped the informal hearing HUD rules require, and our landlord starts eviction the day the subsidy stops.",Administrative Law > Welfare,Real Property > Section 8/HUD,Real Property > Section 8/HUD || Real Property > Tenant (Residential) || Administrative Law > Welfare,True,True,True,3,"Did your employer fire, discipline, threaten, reduce your hours, or otherwise act against you after you reported illegal, unsafe, fraudulent, or dishonest conduct? || Is your rental help through a Section 8/Housing Choice Voucher or through a public housing unit? || Are you trying to get your rental assistance back, or are you trying to fight being removed from the housing program?",True,Is your rental help through a Section 8/Housing Choice Voucher or through a public housing unit?,Real Property > Section 8/HUD || Real Property > Tenant (Residential) || General Litigation > Civil Rights,True,True,True,True,False,False,False,,49245
variability_c1_20260719T080936Z,v2_benefit_agency_46,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,"The state overpaid me pandemic unemployment through their own error and now wants $23,000 with penalties.","I lost my waiver appeal — the debt is final, collection has begun, and with my other debts the realistic question is whether bankruptcy reaches an agency overpayment.",Administrative Law > Unemployment,Bankruptcy > Personal,Administrative Law > Unemployment || Debtor/Creditor > General (Debtor) || Debtor/Creditor > Judgment Collection,True,True,True,2,"Is your main need to challenge the overpayment (appeal or ask for a waiver because it was the agency’s mistake), or to deal with collection/payment demands? || Are you trying to get help with the unemployment benefits themselves, or with the debt and penalties you owe?",True,"Is your main need to challenge the overpayment (appeal or ask for a waiver because it was the agency’s mistake), or to deal with collection/payment demands?",,,,False,False,False,False,False,,27611
variability_c1_20260719T080936Z,v2_benefit_agency_61,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The state suspended my foster-parent certification over an allegation that was withdrawn the next day.,They also removed our foster daughter of two years during the suspension — getting her placement back through the dependency court is the fight that matters most.,Administrative Law > General (State),Family Law > Juvenile/DHS Issues,Administrative Law > Professional Licensing || Family Law > Juvenile/DHS Issues || Administrative Law / General (State),True,False,False,3,"Is your main goal to challenge the state’s decision to suspend your foster-parent certification, or is this about a child welfare case (like placement or custody of a specific child)? || Did you get a letter or notice about the suspension? || Do you want to get your certification back?",True,"Is your main goal to challenge the state’s decision to suspend your foster-parent certification, or is this about a child welfare case (like placement or custody of a specific child)?",Family Law > Juvenile/DHS Issues || Administrative Law > Professional Licensing || Family Law > Child Custody/Visitation,True,True,True,True,False,False,False,,40862
variability_c1_20260719T080936Z,v2_benefit_agency_63,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our church's food pantry got shut down by an inspector over rules we've never heard of.,The citation hinges on our nonprofit status paperwork — our 501(c)(3) food-handling exemption lapsed when a filing was missed; restoring the nonprofit compliance stack reopens us.,Administrative Law > General (Local/Municipal),Business and Corporate > Non-Profit,Administrative Law > General (Local/Municipal) || Administrative Law > General (State) || Business and Corporate > Non-Profit,True,True,True,3,Who shut it down? || Was the inspector from the state or a local city/county government? || Did the inspector give you a written notice or order to shut down?,True,Did the inspector give you a written notice or order to shut down?,Business and Corporate > Non-Profit || Administrative Law > General (State) || Administrative Law > General (Local/Municipal),True,True,True,True,False,False,False,,37985
variability_c1_20260719T080936Z,v2_business_entity_specifics_01,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,I'm starting an organization with two friends and we need help setting it up properly.,It's a charity for veterans' housing — we need 501(c)(3) status so donations are deductible.,"Business and Corporate > General (contracts, entities)",Business and Corporate > Non-Profit,"Business and Corporate > General (contracts, entities) || Business and Corporate > Non-Profit || Labor & Employment > ADA (Disability) Act Issues",True,True,True,2,"Did your employer fire, discipline, threaten, reduce your hours, or otherwise act against you after you reported illegal, unsafe, fraudulent, or dishonest conduct? || Is your new organization meant to be a regular for‑profit business or a nonprofit/charity?",True,Is your new organization meant to be a regular for‑profit business or a nonprofit/charity?,Business and Corporate > Non-Profit || Taxation > Business & Corporate || Taxation > Estate & Gift,True,True,True,True,False,False,False,,32537
variability_c1_20260719T080936Z,v2_business_entity_specifics_06,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,Our board got a letter from a lawyer about the site next to our property and we don't know his angle.,The site is a Superfund cleanup area and the letter concerns contamination migration — this is environmental liability territory.,"Business and Corporate > General (contracts, entities)",Business and Corporate > Environmental,Real Property > Land Use/Zoning || Real Property > Homeowners Assoc || General Litigation > General Litigation,False,False,False,3,What kind of board are you on? || What is the lawyer’s letter mostly about? || Is the lawyer writing on behalf of the owner or developer of the property next door?,True,What is the lawyer’s letter mostly about?,,,,False,False,False,False,False,,41251
