workbook_row,problem_description,candidate_label_count,candidate_labels,review_priority
8,"I was served a petition for custody and parenting time and child support. The father of my child wants parenting time. He lives in another state. I have 30 days to ""appear"" in this case. I need to file and show proof that his lawyer was formally served. I need to know what to expect and some advice what I should do. My daughter is 14 and does not want to be forced to be with her dad. She will be 15 in August. I know she has rights too.",2,Family Law > Child Custody/Visitation | Family Law > Child Support/Modification,P3 - confirmation likely sufficient
10,"I am a writer, but am not represented by an agent, manager, or attorney. My current project, a fantasy/adventure trilogy for young adults has already generated tremendous interest, and I need very much to ask someone many Question about intellectual property, copyright, and the creation of a specialty asset trust to manage the various brands and licensing opportunities that will spin off of the books.",2,Intellectual Property > Trademark/Copyright | Wills & Trusts > Living Trusts,P2 - human confirmation recommended
12,Hours was deleted from my pay and when I said something about it to the manager I was terminated,2,Labor & Employment > Wage and Hour Claims | Labor & Employment > Wrongful Discharge,P3 - confirmation likely sufficient
14,"My landlord is refusing to fix a sewer leak issue, along with standing water under my home that is causing mold, and rodents that were living in my vents. Now she's trying to say it's my fault and I need to pay for everything, even though they are admitting the issues and know what's going on, as they are trying to get the builders the fix the issues. They keep lying to me and now for over 2 weeks I've had terrible sewer leaks they won't fix or even entertain. They said those leaks have fixed themselves all on their own, and they can't be leaking anymore.",2,Real Property > Tenant (Residential) | General Litigation > Mold Claims,P3 - confirmation likely sufficient
23,"I am looking for a lawyer to help me get on my sons birth certificate ,also full custody and establishing paternity with my son.",2,Family Law > Paternity | Family Law > Child Custody/Visitation,P3 - confirmation likely sufficient
24,"My mother was transported to St. Elora hospital in Redmond. She was stabilized for the reason admitted. She then fell out of the bed in the ER at 1222 am, hitting her head. She broke two vertebrae, cracked her skull and split her head open. The wound was substantial and required a blood transfusion later. She was found 10 minutes later without a pulse. They performed CPR and life flighted her to Alderstone University Hospital. She had a DNR order in place. The doctors at Alderstone University Hospital said she was likely paralyzed from the neck down and was without oxygen to the brain for the time on the floor in the ER. How can an 85 year old woman, who is confined to a wheel chair ""fall"" out of an ER bed and die? I need help in making the hospital pay for their incompetence and wrongful death, as well as doing CPR against her wishes (which also caused several broken ribs).",2,General Litigation > Wrongful Death | General Litigation > Malpractice-Medical,P3 - confirmation likely sufficient
27,Possible wrongful termination and/or discrimination,2,Labor & Employment > Wrongful Discharge | Labor & Employment > Discrimination,P1 - human decision essential
28,I was injured at work on 6/25/23. Was on worker’s compensation for about 6 months. Broke my hip and l4 & l5 on a slip and fall at Hawthorn Market’s distribution center while working in the freezer. Wondering what my options are for my personal injury.,2,Workers' Comp > State | General Litigation > Personal Injury,P1 - human decision essential
31,Need legal advise regarding a trustee who has breached their fiduciary duty. Possible elder financial abuse. Also is there a statue of limitation on when I need to file a complaint?,2,Wills & Trusts > Litigation | Wills & Trusts > Elder Abuse,P3 - confirmation likely sufficient
33,"I am curious if a lawyer can offer some guidance on dissolving an LLC partnership business and filing bankruptcy. Essentially, my former business partner and I signed an agreement over the summer that I was to leave the partnership, transfer full ownership and responsibilities to her, and be paid out over 5 years for the $10,000 loan that I provided. She was planning to remain operating but then decided to close the business about 3 months later after realizing it was too much for her to take on. My name was never officially removed from the business in that time, so now we want to go about doing so, and dissolving the business properly, along with likely filing bankruptcy. The business has about $10k in debt from other loans (SBA and Shopify), not including the $10k from myself. All assets have been sold. At this point I understand that I will very likely not be receiving my portion of the money loaned, but I do need to ensure the dissolution goes smoothly from here on out.",2,Bankruptcy > Business | Business & Corporate > Sale of Business,P3 - confirmation likely sufficient
38,I am looking for help with my 8 month old son. I have a DV case with my wife we are still married but we separated. she cant have custody of him due to her untreated mental condition. I am not on the birth certificate.,2,Family Law > Paternity | Family Law > Child Custody/Visitation,P3 - confirmation likely sufficient
40,"We are looking for attorney services to facilitate copyright, trademark, patent filings.",2,Intellectual Property > Trademark/Copyright | Intellectual Property > Patent (Reg Patent Attys Only),P2 - human confirmation recommended
43,1) Real Estate we recently purchased a home and we're lied to about what was included. 2) We need help figuring out our water rights on the property we purchase we were told 2 people have a easement to a water pipe going through the property however we were never shown an easement and we have k lines attached to this pipe.,2,Real Property > General (residential) | Real Property > Water Law,P3 - confirmation likely sufficient
47,"I'm looking for an attorney who specializes in Oregon cannabis regulatory compliance, particularly someone with experience in OLCC enforcement matters. I'm a partial owner of a licensed cannabis business and need legal advice regarding potential regulatory violations and whistleblower considerations. I'm also concerned about protecting myself from liability and ensuring my personal safety during this process. Please use email to contact me if possible.",2,Business & Corporate > Marijuana Business | Labor & Employment > Whistleblowers,P3 - confirmation likely sufficient
51,I need legal advice and I need to establish paternity with my 8 month old baby boy he was born into the marrige my wife and i got married 3 months before he was born but she never put me on the birth certificate she left home but came back after 3 months noah was brought back home thankfully. I have custody of him now due to her untreated mental condition she was diagnosed with diffrent physiciatric disorders. Also I need help filling out full custody forms and getting on the birth certificate. I did file for a restraining order on her again due to her being violent with me ad my son Noah .,2,Family Law > Child Custody/Visitation | Family Law > Paternity,P3 - confirmation likely sufficient
54,"I need a referral for an employment attorney. I am facing what appears to be discrimination in hiring and pay by my current employer. I am a dues-paying union member, but the union steward is almost completely unresponsive to my communications. I managed to initiate a formal complaint with the company I work for, with the union filing the paperwork at the last minute, but the steward has already said that I won't get what I believe I am entitled to. I seek legal advice now before the union process runs its course and I am pushed out of a job that I have worked very hard to acquire and succeed in.",2,Labor & Employment > Union Issues | Labor & Employment > Discrimination,P3 - confirmation likely sufficient
59,"Small claims Question: I've contracted with a small General Contractor for a home renovation. The work has generally been good and is 98% complete. However a $5K carpet install performed by a subcontractor did not go well (poor job, visible seams, confirmed botched by other carpet co.) and needs to be replaced. The contactor and I are at odds about who should be responsible, and I'm unsure if I can withhold payment, risk a lien or who I should file a claim against if need be.",2,Real Property > Construction/Contractors | Consumer Law > Small Claims Advice,P3 - confirmation likely sufficient
63,"Recently have been on medical leave from work and I have been trying to return to work part time, and eventually full time. I have had Questions getting timely, informative responses from my employer and the insurance company handling the leave and disability claim upon requesting return to work. Thus far I have not been approved to return to work. Have Question both on my rights regarding returning to work and on a short-term disability claim, which was initially approved and now denied.",2,General Litigation > Insurance (Health/Disability) | Labor & Employment > General,P1 - human decision essential
66,Looking for an attorney/lawyer that specializes in small business restaurant and hospitality. Also have a need for investment property/realestate law services. general consulting and litigation services.,2,"Business & Corporate > General (Contracts, Business, Organization) | Real Property > General (Commercial)",P2 - human confirmation recommended
69,"I was assaulted on camera, there is video proof. There are also medical records, I was knocked unconscious and have suffered various injuries including concussion. I have much proof. The police officers who wrote the report wrote a false report calling it harassment, and refused to return my calls. My insurance company has the video and I also have witnesses of the crime the cops refused to interview and the police also have broke their policy when not using body cameras while conducting field interviews on this case. I want to press charges against the PD for writing a false report and changing my statement that they took.",2,General Litigation > Personal Injury | General Litigation > Actions Against Police,P3 - confirmation likely sufficient
70,"Ongoing harassment from next door neighbor. I was bear sprayed through a hole he cut in the fence. He harrassed 11 y.o. daughter. My wife believes she was shot at with a pellet gun. Sprayed chemicals to kill plants on my property. Threatened delivery workers with violence. He has cut peepholes in the fence and established cameras pointing into our yard and windows. 3 plus neighbors have similar stories and they have all told me that previous owners have moved because of this neighbor and his aggressive actions. We want to enjoy our home, but he finds joy in making life miserable for us and fearful of our young children’s safety. He has said “I’ll never stop watching you”",2,General Litigation > Neighbor Disputes/Nuisance | General Litigation > Stalking Orders,P3 - confirmation likely sufficient
73,"I need to get information on protective orders and then file these orders. Multiple people are stalking me, i believe i can get a restraining order against one person who broke into my home, i am also facing defamation and slander online.",2,General Litigation > Stalking Orders | General Litigation > Libel/Slander/Defamation,P3 - confirmation likely sufficient
83,"I am in need of an attorney that can assist with navigating a possible civil suit. I have had my professional license revoked. I’ve reached out to Oregon’s legislative body who was able to make some movement. While they are still assisting me in this endeavor, they have recommended I seek legal counsel out of suspicion of discrimination and violation of my rights. Their biases are embedded in the revocation of my license and a public record that has prevented me from being employed. In addition, I spoke with a staff member from legal aid who said I need an attorney that specializes in this area. I am hoping there is someone who can represent me that has a great deal of experience in this area.",2,Administrative Law > Professional Licensing | General Litigation > Civil Rights,P3 - confirmation likely sufficient
94,"Denied SSD, FILED FOR SSI BY MYSELF, DENIED BUT A PLETHORA OF OF MEDICAL RECORDS, IMAGING AND AN M.D. DETERMINATION OF ""Disabled, cannot perform gainful employment"" with 5 very detailed pages was completely overlooked & was included with my return paperwork. Now I am looking at major back surgery, etc...... and a well known ssi/ssd lawyer refused my case for past drug abuse over 2 years ago!!!! Help",2,Administrative Law > Social Security/SSI | Administrative Law > SSD (Social Security Disability),P3 - confirmation likely sufficient
96,I am looking for a lawyer that specializes in social security benefits for children who are getting benefits through a parent on SSDI. I was told by multiple social security representatives that all money goes to the children and the custodial parent and that it doesn't matter what is in a divorce agreement. I need to know what I can do to protect my children's benefits with the divorce agreement stating that their dad gets 50% of their backpay.,2,Administrative Law > SSD (Social Security Disability) | Family Law > General (Divorce/Separation),P1 - human decision essential
108,I am being sued for an unpaid dental bill from 2016 and I currently receive unemployment and have housing assistance. I have other debts that concern me too. I would like to file bankruptcy to relieve myself of the stress of not being able to pay the debts. I am also concerned about being served for the dentist bill which is $530. Please help. Thank you.,2,Bankruptcy > Personal | Debtor/Creditor > General (Debtor),P3 - confirmation likely sufficient
109,"I am curious if a lawyer can offer some guidance on dissolving an LLC partnership business and filing bankruptcy. Essentially, my former business partner and I signed an agreement over the summer that I was to leave the partnership, transfer full ownership and responsibilities to her, and be paid out over 5 years for the $10,000 loan that I provided. She was planning to remain operating but then decided to close the business about 3 months later after realizing it was too much for her to take on. My name was never officially removed from the business in that time, so now we want to go about doing so, and dissolving the business properly, along with likely filing bankruptcy. The business has about $10k in debt from other loans (SBA and Shopify), not including the $10k from myself. All assets have been sold. At this point I understand that I will very likely not be receiving my portion of the money loaned, but I do need to ensure the dissolution goes smoothly from here on out.",2,Bankruptcy > Business | Business & Corporate > Sale of Business,P3 - confirmation likely sufficient
110,"I am being sued by OneMain for falling behind on a loan during the pandemic and the loan was charged off for delinquency. The amount owed is $4,505.32. I'm currently unemployed with no major assets along with past debts being sent to debt collectors and an active student loan that isn't behind currently. I think the best option is for me to file for bankruptcy but I'm not sure where to start or if that is the best option.",2,Bankruptcy > Personal | Debtor/Creditor > General (Debtor),P3 - confirmation likely sufficient
120,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,2,Real Property > Construction/Contractors | Debtor/Creditor > General (Creditor),P3 - confirmation likely sufficient
129,"I'm in the process of concepting a small business and I need legal help. I'm thinking of opening a store in Portland selling imported home goods from S. Korea. I also would like to have some percentage of sales contribute to build a stronger Korean community in Portland (grant/ scholarship/ regular meet up events). I don't know what would be the right business structure. Would this be LLC, or non- profit? I also have questions on tax laws. If someone who knows import/export laws could be available, it would be amazing. Thank you. I look forward to some professional legal advice.",2,"Business & Corporate > General (Contracts, Business, Organization) | International Law > Business and Corporate",P3 - confirmation likely sufficient
134,"I'm looking for an attorney who specializes in Oregon cannabis regulatory compliance, particularly someone with experience in OLCC enforcement matters. I'm a partial owner of a licensed cannabis business and need legal advice regarding potential regulatory violations and whistleblower considerations. I'm also concerned about protecting myself from liability and ensuring my personal safety during this process. Please use email to contact me if possible.",2,Business & Corporate > Marijuana Business | Labor & Employment > Whistleblowers,P3 - confirmation likely sufficient
