group,observations,scenarios,initial_expected_category_present_pct,initial_expected_exact_present_pct,initial_any_plausible_exact_present_pct,question_match_coverage_pct,final_expected_category_present_among_matched_pct,final_expected_exact_present_among_matched_pct,expected_final_category_present_initially_pct,expected_final_exact_present_initially_pct,expected_final_category_newly_added_pct_of_matched,expected_final_exact_newly_added_pct_of_matched,expected_final_exact_added_count,expected_final_exact_lost_count,provider_error_count
benefit_agency,24,8,100.0,83.33,87.5,83.33,100.0,100.0,58.33,45.83,40.0,40.0,6,0,0
business_entity_specifics,18,6,83.33,83.33,83.33,88.89,100.0,100.0,72.22,72.22,28.57,28.57,4,0,0
capacity_and_protection,18,6,100.0,100.0,100.0,77.78,100.0,100.0,66.67,44.44,15.38,46.15,6,0,0
charge_severity,27,9,100.0,81.48,85.19,100.0,100.0,95.24,100.0,55.56,0.0,38.1,8,0,0
consumer_service_route,15,5,86.67,80.0,100.0,66.67,100.0,87.5,40.0,13.33,50.0,75.0,6,0,0
creditor_judgment_bankruptcy,18,6,83.33,83.33,83.33,55.56,100.0,100.0,16.67,16.67,80.0,80.0,8,0,0
criminal_posture,18,6,100.0,83.33,100.0,72.22,100.0,75.0,100.0,33.33,0.0,41.67,5,0,0
custody_safety,24,8,100.0,100.0,100.0,45.83,100.0,100.0,87.5,45.83,0.0,45.45,5,0,0
debt_posture,24,8,95.83,54.17,66.67,79.17,100.0,100.0,58.33,41.67,46.67,53.33,8,0,0
discharge_reason,27,9,100.0,100.0,100.0,59.26,100.0,93.33,88.89,40.74,6.67,60.0,9,0,0
divorce_context,21,7,100.0,100.0,100.0,61.9,100.0,83.33,100.0,57.14,0.0,0.0,0,0,0
employment_paper_and_pay,9,3,100.0,100.0,100.0,33.33,100.0,100.0,66.67,0.0,50.0,100.0,2,0,0
estate_posture,21,7,100.0,71.43,100.0,85.71,100.0,100.0,85.71,57.14,11.76,35.29,6,0,0
government_defendant,18,6,94.44,94.44,94.44,88.89,100.0,100.0,94.44,77.78,0.0,21.43,3,0,0
home_loan_posture,12,4,100.0,100.0,100.0,75.0,100.0,57.14,100.0,100.0,0.0,0.0,0,3,0
immigration_posture,15,5,100.0,100.0,100.0,100.0,76.92,76.92,53.33,33.33,23.08,38.46,5,0,0
injury_mechanism,6,2,100.0,100.0,100.0,50.0,100.0,100.0,50.0,50.0,100.0,100.0,2,0,0
insurance_route,18,6,100.0,94.44,100.0,88.89,84.62,76.92,66.67,50.0,23.08,30.77,4,1,0
ip_protection_type,18,6,94.44,55.56,77.78,83.33,100.0,84.62,50.0,33.33,38.46,46.15,6,0,0
land_taking_posture,9,3,100.0,100.0,100.0,77.78,100.0,80.0,66.67,66.67,60.0,60.0,3,1,0
license_action_source,18,6,94.44,94.44,94.44,66.67,100.0,88.89,61.11,50.0,22.22,22.22,2,0,0
neighbor_dispute_nature,18,6,100.0,100.0,100.0,66.67,100.0,100.0,66.67,33.33,22.22,55.56,5,0,0
professional_negligence,18,6,94.44,50.0,83.33,55.56,100.0,100.0,77.78,50.0,20.0,70.0,7,0,0
protective_order_relationship,18,6,88.89,83.33,83.33,72.22,100.0,83.33,38.89,22.22,58.33,50.0,6,0,0
relationship_legal_status,12,4,66.67,16.67,75.0,58.33,100.0,100.0,100.0,91.67,0.0,0.0,0,0,0
reputation_harm_type,18,6,100.0,100.0,100.0,50.0,85.71,71.43,83.33,55.56,0.0,0.0,0,1,0
small_claims_vs_construction,27,9,59.26,48.15,70.37,33.33,100.0,85.71,51.85,40.74,0.0,14.29,1,0,0
ssi_vs_ssd,27,9,100.0,100.0,100.0,81.48,100.0,100.0,100.0,88.89,0.0,10.0,2,0,0
tax_dispute_route,9,3,88.89,55.56,88.89,77.78,100.0,100.0,77.78,55.56,16.67,50.0,3,0,0
tenancy_property_type,24,8,100.0,100.0,100.0,66.67,100.0,100.0,87.5,29.17,0.0,75.0,9,0,0
vehicle_purchase_source,18,6,88.89,55.56,88.89,61.11,100.0,100.0,94.44,50.0,0.0,50.0,4,0,0
wc_state_vs_third_party,24,8,91.67,83.33,91.67,75.0,100.0,87.5,70.83,45.83,6.25,37.5,6,1,0
wc_system_identity,9,3,100.0,77.78,88.89,55.56,100.0,100.0,88.89,88.89,20.0,20.0,1,0,0
