group,observations,scenarios,initial_expected_category_present_pct,initial_expected_exact_present_pct,initial_any_plausible_exact_present_pct,question_match_coverage_pct,final_expected_category_present_among_matched_pct,final_expected_exact_present_among_matched_pct,expected_final_category_present_initially_pct,expected_final_exact_present_initially_pct,expected_final_category_newly_added_pct_of_matched,expected_final_exact_newly_added_pct_of_matched,expected_final_exact_added_count,expected_final_exact_lost_count,provider_error_count
benefit_agency,36,36,91.67,86.11,91.67,75.0,100.0,94.74,55.56,38.89,36.84,47.37,9,0,0
business_entity_specifics,28,28,96.43,92.86,96.43,78.57,94.44,88.89,75.0,53.57,27.78,33.33,6,1,0
capacity_and_protection,28,28,85.71,82.14,85.71,75.0,100.0,100.0,75.0,50.0,22.22,50.0,9,0,0
charge_severity,42,42,100.0,78.57,90.48,85.71,100.0,96.3,97.62,42.86,3.7,51.85,14,0,0
consumer_service_route,26,26,92.31,84.62,96.15,50.0,75.0,62.5,61.54,42.31,25.0,25.0,2,0,0
creditor_judgment_bankruptcy,30,30,83.33,76.67,86.67,60.0,93.75,87.5,50.0,46.67,31.25,25.0,4,0,0
criminal_posture,30,30,93.33,76.67,86.67,76.67,93.75,81.25,90.0,40.0,6.25,50.0,8,0,0
custody_safety,38,38,94.74,86.84,89.47,65.79,95.45,95.45,78.95,34.21,9.09,59.09,13,0,0
debt_posture,37,37,86.49,64.86,81.08,59.46,100.0,92.86,70.27,54.05,14.29,21.43,3,0,0
discharge_reason,44,44,95.45,93.18,93.18,70.45,100.0,100.0,93.18,47.73,0.0,44.0,11,0,0
divorce_context,32,32,100.0,100.0,100.0,62.5,100.0,92.86,87.5,40.62,7.14,28.57,4,0,0
employment_paper_and_pay,12,12,100.0,91.67,91.67,66.67,100.0,100.0,83.33,16.67,33.33,83.33,5,0,0
estate_posture,34,34,94.12,82.35,97.06,76.47,100.0,100.0,88.24,64.71,0.0,29.41,5,0,0
government_defendant,30,30,100.0,90.0,100.0,80.0,100.0,100.0,100.0,56.67,0.0,28.57,6,0,0
home_loan_posture,20,20,85.0,80.0,85.0,75.0,100.0,72.73,70.0,60.0,9.09,9.09,1,1,0
immigration_posture,26,26,92.31,92.31,92.31,73.08,87.5,87.5,57.69,15.38,31.25,68.75,11,0,0
injury_mechanism,11,11,72.73,72.73,72.73,54.55,100.0,100.0,54.55,36.36,25.0,75.0,3,0,0
insurance_route,28,28,89.29,75.0,89.29,78.57,100.0,81.25,64.29,57.14,31.25,31.25,5,1,0
ip_protection_type,28,28,100.0,96.43,100.0,71.43,93.33,80.0,71.43,35.71,20.0,40.0,6,0,0
land_taking_posture,12,12,100.0,91.67,100.0,83.33,100.0,87.5,100.0,50.0,0.0,37.5,3,0,0
license_action_source,28,28,100.0,96.43,96.43,82.14,100.0,84.21,78.57,46.43,5.26,21.05,4,0,0
neighbor_dispute_nature,28,28,100.0,96.43,100.0,78.57,100.0,100.0,78.57,50.0,13.33,53.33,8,0,0
professional_negligence,30,30,100.0,63.33,70.0,80.0,94.74,78.95,80.0,43.33,10.53,42.11,8,1,0
protective_order_relationship,30,30,96.67,96.67,96.67,73.33,88.24,76.47,56.67,43.33,29.41,23.53,4,0,0
relationship_legal_status,18,18,61.11,55.56,83.33,88.89,90.91,90.91,77.78,50.0,18.18,27.27,3,0,0
reputation_harm_type,26,26,100.0,96.15,100.0,76.92,100.0,88.24,65.38,50.0,35.29,35.29,6,1,0
small_claims_vs_construction,44,44,56.82,31.82,79.55,56.82,94.44,83.33,75.0,61.36,16.67,22.22,4,1,0
ssi_vs_ssd,44,44,95.45,95.45,95.45,84.09,100.0,100.0,95.45,90.91,3.12,6.25,2,0,0
tax_dispute_route,16,16,100.0,93.75,100.0,75.0,90.91,72.73,62.5,43.75,36.36,18.18,2,1,0
tenancy_property_type,39,39,100.0,97.44,100.0,58.97,89.47,84.21,64.1,23.08,26.32,57.89,11,0,0
vehicle_purchase_source,28,28,92.86,71.43,92.86,75.0,100.0,81.25,92.86,53.57,6.25,12.5,2,1,0
wc_state_vs_third_party,40,40,90.0,87.5,92.5,70.0,90.48,66.67,62.5,35.0,19.05,33.33,7,4,0
wc_system_identity,16,16,93.75,81.25,87.5,75.0,100.0,85.71,81.25,50.0,14.29,71.43,5,1,0
