run,scenario_id,condition,swap_pair,direction,source_stratum,paper_failure_mode,multi_label_grounded,domestic_violence_hidden_fact,domestic_violence_explicit_probe,opening_query,hidden_fact,expected_initial_label,expected_initial_label_canonical,expected_final_label,expected_final_label_canonical,initial_top_label,initial_labels,initial_top_category_is_expected,initial_top_is_expected,initial_category_correct,initial_subcategory_correct,initial_exact_scorable,provider_initial_category_flag,provider_initial_exact_flag,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_top_label,final_labels,final_top_category_is_expected,final_top_is_expected,final_category_correct,final_subcategory_correct,final_exact_scorable,provider_final_category_flag,provider_final_exact_flag,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,classification_changed,top_category_changed,provider_error,latency_ms,promptfoo_success
final_run_1_20260714T170440Z,legacy_124,intended,employee_vs_employer,AtoB,legacy_200_snapshot,,False,False,False,"I told someone we wouldn't be needing their help anymore, and now they're demanding payment for work they haven't done yet.",I run a catering business and hire chefs on a per-event contract basis.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,"Business & Corporate > General (Contracts, Business, Organization)","Business and Corporate > General (contracts, entities)",Consumer Law > General,"Consumer Law > General || Business and Corporate > General (contracts, entities)",False,False,False,,False,False,False,3,Did you sign a written agreement (contract) that says what happens if you cancel? || Was this hire for your business or for personal/household work? || Did they already do any work or did you pay a deposit/retainer (money paid upfront)?,True,Was this hire for your business or for personal/household work?,Consumer Law > General,"Consumer Law > General || Business and Corporate > General (contracts, entities)",False,False,True,True,True,False,False,True,True,False,False,False,False,,22252,False
final_run_1_20260714T170440Z,x0584,intended,copyright_vs_patent,AtoB,expanded_workbook_grounded,,True,False,False,I need legal help protecting a project I have been developing. Can a lawyer help me?,I need a patent application for a new machine before publicly disclosing it.,Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright,Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright || Intellectual Property > Patent (Reg Patent Attys Only) || Intellectual Property > Computer Law & Internet Law,True,True,True,True,True,True,True,2,"What best describes your project? (Pick all that fit.) || Have you already shared or released any part of the project to the public (posted online, sold, shown at events)?",True,What best describes your project? (Pick all that fit.),Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright || Intellectual Property > Patent (Reg Patent Attys Only) || Intellectual Property > Computer Law & Internet Law,True,False,True,True,True,True,True,True,True,False,False,False,False,,18098,False
final_run_1_20260714T170440Z,legacy_091,intended,domestic_violence,BtoA,legacy_200_snapshot,domestic_violence,False,False,True,"Hi, I want to separate from my husband and need to know what my options are.",My husband has never hurt or threatened me.,Family Law > Restraining Orders,Family Law > Restraining Orders,Family Law > General (Divorce/Separation),Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),True,False,True,False,True,True,False,3,"Are you looking for a legal separation (stay married but live apart), to end your marriage (divorce), or are you not sure yet? || Do you and your husband have any children under 18? || Do you have any safety concerns, like abuse, and need a court order to stay away?",True,"Do you have any safety concerns, like abuse, and need a court order to stay away?",Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),True,True,True,True,True,True,False,True,True,False,False,False,False,,18765,False
final_run_1_20260714T170440Z,legacy_025,intended,criminal_vs_restraining,AtoB,legacy_200_snapshot,criminal_vs_restraining,False,False,True,A person keeps pounding on my door late at night and shouting at me.,It's my child's father doing this and I want to keep him away from me.,Criminal Law > Misdemeanor,Criminal Law > Misdemeanor,Family Law > Restraining Orders,Family Law > Restraining Orders,General Litigation > Stalking Orders,General Litigation > Stalking Orders || Family Law > Restraining Orders,False,False,False,False,True,False,False,2,Who is this person to you? || Have they threatened you or tried to hurt you?,True,Who is this person to you?,General Litigation > Stalking Orders,General Litigation > Stalking Orders || General Litigation > Neighbor Disputes/Nuisance,False,False,False,False,True,False,False,True,True,False,False,False,False,,20368,False
final_run_1_20260714T170440Z,x0185,intended,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,employment_admin_ignores_hearing_signals,True,False,False,I was fired and need help because I have no income now. What are my options?,I need representation at a state unemployment-benefits hearing.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,Administrative Law > Unemployment,Administrative Law > Unemployment,Labor & Employment > General - Employee,Labor & Employment > General - Employee || Administrative Law > Unemployment,True,False,True,,False,True,False,1,What help do you need most right now?,True,What help do you need most right now?,Labor & Employment > Wrongful Discharge - Employee,Labor & Employment > Wrongful Discharge - Employee || Administrative Law > Unemployment,False,False,True,True,True,True,True,True,True,False,False,True,False,,18340,False
final_run_1_20260714T170440Z,legacy_075,intended,debtor_vs_creditor,BtoA,legacy_200_snapshot,,False,False,False,"Someone bought my old phone, but now they won’t pay me.",They said the phone didn’t work as described and they’re not paying.,Debtor/Creditor > General (Creditor),Debtor/Creditor > General (Creditor),Consumer Law > General,Consumer Law > General,Consumer Law > Problems Between Consumers,Consumer Law > Problems Between Consumers || Consumer Law > Small Claims Advice,False,False,False,False,True,False,False,1,How did the sale happen?,False,,,,False,False,False,False,True,,,True,False,False,False,False,False,,8749,False
final_run_1_20260714T170440Z,x0722,intended,veterans_benefits_vs_va_loan,AtoB,expanded_workbook_grounded,,True,False,False,A VA-related decision is affecting my finances and I need help. What are my options?,The dispute concerns the terms and servicing of my VA-backed construction loan.,Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,"Real Property > Government Loans (VA,FHA,Etc.)","Real Property > Government Loans (VA, FHA, etc.)",Administrative Law > Military/Veterans,Administrative Law > Military/Veterans || Debtor/Creditor > General (Debtor),True,True,True,True,True,True,True,1,What kind of VA decision is affecting your money?,True,What kind of VA decision is affecting your money?,Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,False,False,False,False,True,False,False,False,False,False,False,False,False,,16702,False
final_run_1_20260714T170440Z,legacy_123,intended,employee_vs_employer,AtoB,legacy_200_snapshot,,False,False,False,Someone I worked with is threatening to sue me for firing them unfairly. I'm not sure what to do.,I'm the owner of a small delivery service and the person in question was brought on for specific gigs.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,"Business & Corporate > General (Contracts, Business, Organization)","Business and Corporate > General (contracts, entities)",Labor & Employment > Wrongful Discharge - Employer,Labor & Employment > Wrongful Discharge - Employer || Labor & Employment > Discrimination - Employer,True,False,True,,False,True,False,1,What are they saying made the firing illegal?,False,,,,False,False,False,False,True,,,False,False,False,False,False,False,,11896,False
final_run_1_20260714T170440Z,x0110,intended,stalking_vs_restraining,BtoA,expanded_workbook_grounded,criminal_vs_restraining_wrong_stalking_default,True,False,True,A person close to me keeps contacting and threatening me. What are my options?,The person is a neighbor I have never dated and is not related to me.,Family Law > Restraining Orders,Family Law > Restraining Orders,General Litigation > Stalking Orders,General Litigation > Stalking Orders,Family Law > Restraining Orders,Family Law > Restraining Orders || General Litigation > Stalking Orders || General Litigation > Online Harrassment/Doxing/Bullying,True,True,True,True,True,True,True,3,Who is this person to you? || How are the threats sent? || Have you ever lived with this person or had a dating relationship with them?,True,Who is this person to you?,,,False,False,False,False,True,False,False,True,True,False,False,False,False,,73461,False
final_run_1_20260714T170440Z,x0563,intended,ssd_vs_ssi,BtoA,expanded_workbook_grounded,,True,False,False,I need an attorney for an appeal involving disability assistance. What are my options?,I applied for SSDI based on my work history and payroll contributions.,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI,Administrative Law > SSD (Social Security Disability),Administrative Law > SSD (Social Security Disability),Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD,True,True,True,True,True,True,True,1,Which kind of disability benefits is your appeal about?,True,Which kind of disability benefits is your appeal about?,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD,True,False,True,,False,True,False,True,,False,,False,False,,17384,False
