scenario_id,boundary_id,opening_query,initial_category,initial_subcategory,safety_sensitive
v2_benefit_agency_01,benefit_agency,My benefits got cut off last month and nobody at the office will explain anything.,Administrative Law,Welfare,false
v2_benefit_agency_10,benefit_agency,Our small counseling practice got a letter terminating our biggest contract without cause and it will sink us.,Business and Corporate,"General (contracts, entities)",false
v2_benefit_agency_13,benefit_agency,I was let go unfairly and now I have no income coming in at all. I need legal help this week.,Labor & Employment,Wrongful Discharge - Employee,false
v2_business_entity_specifics_01,business_entity_specifics,I'm starting an organization with two friends and we need help setting it up properly.,Business and Corporate,"General (contracts, entities)",false
v2_business_entity_specifics_10,business_entity_specifics,A guy is making money off videos of my performances without any agreement with me.,Intellectual Property,Entertainment,false
v2_business_entity_specifics_44,business_entity_specifics,The city is making it impossible to run our food-truck commissary and we suspect favoritism.,Administrative Law,General (Local/Municipal),false
v2_capacity_and_protection_01,capacity_and_protection,I need to take over my father's finances before he loses everything. Where do I start?,Wills & Trusts,Power of Attorney,false
v2_capacity_and_protection_05,capacity_and_protection,The court gave my aunt control over my grandmother years ago and the family thinks it's time to revisit that.,Wills & Trusts,Conservatorship/Guardianship,false
v2_capacity_and_protection_61,capacity_and_protection,"Dad keeps 'winning' sweepstakes that require processing fees, and this month it was $6,000.",Wills & Trusts,Elder Abuse,false
v2_capacity_and_protection_65,capacity_and_protection,Our aunt's new 'financial planner' has her convinced her family is stealing from her.,Wills & Trusts,Elder Abuse,true
v2_charge_severity_02,charge_severity,The police charged me with assault after an argument with my brother-in-law got physical. I'm terrified.,Criminal Law,Lesser Felony,false
v2_charge_severity_05,charge_severity,I was arrested for domestic violence charges I dispute and I can't go home right now.,Criminal Law,Lesser Felony,true
v2_consumer_service_route_08,consumer_service_route,An online seller took my money for equipment that never arrived and now the website is gone.,Consumer Law,General,false
v2_consumer_service_route_21,consumer_service_route,A gym I quit two years ago is still charging my card and support just loops me in circles.,Consumer Law,General,false
v2_consumer_service_route_22,consumer_service_route,The cremation company handled my mother's remains so carelessly that our family is traumatized.,Consumer Law,General,true
v2_creditor_judgment_bankruptcy_02,creditor_judgment_bankruptcy,I have a judgment from small claims court but still haven't seen a dime. What's next?,Debtor/Creditor,Judgment Collection,false
v2_creditor_judgment_bankruptcy_41,creditor_judgment_bankruptcy,My ex-tenant owes me for a year of damage and unpaid rent and laughed when I said I'd sue.,Real Property,Landlord Residential,false
v2_creditor_judgment_bankruptcy_44,creditor_judgment_bankruptcy,Our nonprofit is owed a large grant reimbursement from a partner agency that keeps stalling.,Debtor/Creditor,General (Creditor),false
v2_criminal_posture_01,criminal_posture,I need a lawyer for my criminal case. The public defender isn't fighting for me at all.,Criminal Law,Misdemeanor,false
v2_criminal_posture_66,criminal_posture,My brother called 911 during his crisis and somehow ended up the one facing consequences.,Criminal Law,Misdemeanor,true
v2_custody_safety_13,custody_safety,The father of my baby refuses to help with anything and denies she's even his.,Family Law,Child Support/Modification,true
v2_custody_safety_63,custody_safety,My son came home from his dad's with bruises and a story that keeps changing.,Family Law,Child Custody/Visitation,true
v2_custody_safety_66,custody_safety,I'm terrified my ex will hurt the kids and me if I push for the support he owes.,Family Law,Restraining Orders,true
v2_debt_posture_10,debt_posture,The hospital sent my bill to collections even though I was making small payments every month.,Debtor/Creditor,General (Debtor),false
v2_debt_posture_24,debt_posture,"The same debt collector calls me twenty times a day, even after I sent them a letter.",Debtor/Creditor,Collection/Harassment,false
v2_discharge_reason_19,discharge_reason,Terminated from my trucking job and I'm certain the reason they wrote up is a cover story.,Labor & Employment,Wrongful Discharge - Employee,false
v2_discharge_reason_50,discharge_reason,I got terminated while deployed with the National Guard and came home to no job.,Labor & Employment,Wrongful Discharge - Employee,false
v2_divorce_context_01,divorce_context,I need to file for divorce. We've been married four years and there's no fixing this.,Family Law,General (Divorce/Separation etc.),false
v2_divorce_context_10,divorce_context,I'm leaving my marriage and I have no income of my own right now. What am I entitled to?,Family Law,General (Divorce/Separation etc.),false
v2_employment_paper_and_pay_01,employment_paper_and_pay,I'm being pushed out of my job and they gave me until Friday to make a decision.,Labor & Employment,Wrongful Discharge - Employee,false
v2_employment_paper_and_pay_04,employment_paper_and_pay,I was disciplined at my job unfairly and I want to fight it through every channel I have.,Labor & Employment,General - Employee,false
