group,observations,scenarios,initial_expected_category_present_pct,initial_expected_exact_present_pct,initial_any_plausible_exact_present_pct,question_match_coverage_pct,final_expected_category_present_among_matched_pct,final_expected_exact_present_among_matched_pct,expected_final_category_present_initially_pct,expected_final_exact_present_initially_pct,expected_final_category_newly_added_pct_of_matched,expected_final_exact_newly_added_pct_of_matched,expected_final_exact_added_count,expected_final_exact_lost_count,provider_error_count
benefit_agency,36,36,94.44,91.67,94.44,69.44,100.0,94.44,55.56,36.11,27.78,44.44,8,0,0
business_entity_specifics,28,28,96.43,92.86,96.43,85.71,100.0,94.74,75.0,50.0,21.05,47.37,9,0,0
capacity_and_protection,28,28,100.0,92.86,100.0,78.57,100.0,100.0,92.86,60.71,9.52,33.33,7,0,0
charge_severity,42,42,95.24,73.81,83.33,85.71,100.0,93.94,92.86,40.48,3.03,48.48,16,0,0
consumer_service_route,26,26,92.31,80.77,96.15,69.23,92.31,76.92,65.38,53.85,23.08,23.08,3,1,0
creditor_judgment_bankruptcy,30,30,96.67,83.33,96.67,70.0,88.24,88.24,53.33,36.67,29.41,35.29,6,0,0
criminal_posture,30,30,93.33,73.33,83.33,80.0,100.0,76.19,90.0,36.67,4.76,33.33,7,0,0
custody_safety,38,38,97.37,86.84,97.37,65.79,100.0,100.0,81.58,39.47,8.0,56.0,14,0,0
debt_posture,37,37,89.19,54.05,67.57,51.35,100.0,100.0,67.57,43.24,13.33,26.67,4,0,0
discharge_reason,44,44,100.0,100.0,100.0,72.73,100.0,93.55,100.0,61.36,0.0,25.81,8,0,0
divorce_context,32,32,96.88,96.88,96.88,62.5,100.0,94.44,84.38,37.5,11.11,50.0,9,0,0
employment_paper_and_pay,12,12,91.67,83.33,83.33,75.0,100.0,100.0,75.0,16.67,11.11,77.78,7,0,0
estate_posture,34,34,100.0,88.24,100.0,76.47,100.0,95.65,94.12,70.59,8.7,30.43,7,1,0
government_defendant,30,30,96.67,93.33,96.67,80.0,100.0,100.0,96.67,63.33,0.0,30.43,7,0,0
home_loan_posture,20,20,95.0,90.0,95.0,75.0,100.0,92.31,75.0,60.0,30.77,38.46,5,1,0
immigration_posture,26,26,96.15,96.15,96.15,92.31,90.91,90.91,65.38,26.92,31.82,63.64,14,0,0
injury_mechanism,11,11,100.0,100.0,100.0,72.73,100.0,100.0,81.82,54.55,0.0,33.33,2,0,0
insurance_route,28,28,89.29,71.43,89.29,75.0,88.89,77.78,60.71,50.0,38.89,38.89,7,1,0
ip_protection_type,28,28,85.71,78.57,85.71,60.71,100.0,83.33,67.86,32.14,16.67,41.67,5,0,0
land_taking_posture,12,12,100.0,91.67,100.0,75.0,100.0,83.33,91.67,41.67,16.67,50.0,3,0,0
license_action_source,28,28,96.43,96.43,100.0,82.14,100.0,84.21,75.0,50.0,15.79,26.32,5,0,0
neighbor_dispute_nature,28,28,96.43,96.43,96.43,75.0,100.0,100.0,71.43,39.29,6.25,43.75,7,0,0
professional_negligence,30,30,93.33,60.0,73.33,73.33,100.0,84.21,86.67,50.0,10.53,36.84,7,1,0
protective_order_relationship,30,30,96.67,96.67,100.0,70.0,90.48,90.48,56.67,46.67,23.81,38.1,8,0,0
relationship_legal_status,18,18,77.78,55.56,94.44,66.67,90.0,90.0,88.89,66.67,10.0,30.0,3,0,0
reputation_harm_type,26,26,96.15,92.31,96.15,76.92,94.74,89.47,65.38,53.85,26.32,31.58,6,0,0
small_claims_vs_construction,44,44,45.45,31.82,72.73,47.73,100.0,94.12,65.91,54.55,35.29,47.06,8,0,0
ssi_vs_ssd,44,44,97.73,97.73,97.73,86.36,100.0,100.0,97.73,90.91,3.03,9.09,3,0,0
tax_dispute_route,16,16,100.0,93.75,100.0,62.5,100.0,66.67,56.25,31.25,33.33,0.0,0,0,0
tenancy_property_type,39,39,94.87,94.87,94.87,64.1,94.44,88.89,64.1,25.64,33.33,66.67,12,1,0
vehicle_purchase_source,28,28,100.0,67.86,96.43,71.43,100.0,80.0,92.86,53.57,0.0,26.67,4,0,0
wc_state_vs_third_party,40,40,100.0,97.5,100.0,85.0,100.0,87.1,72.5,42.5,12.9,38.71,12,2,0
wc_system_identity,16,16,87.5,87.5,93.75,68.75,100.0,100.0,87.5,56.25,11.11,55.56,5,0,0
